author_name,Gender,Gender Probability
Farinaz Koushanfar,female,0.97
Shiv Shankar,male,0.95
Tong Guo,male,0.85
Jing Wang,female,0.78
Yunfei Niu,male,0.71
Shancheng Fang,male,1.0
Yu Cao,female,0.51
Yingfeng Chen,male,0.77
Qian Chen,male,1.0
Xiaofei Zhou,female,0.56
Han Liu,male,0.62
Jinhua Peng,female,0.6
Yilin Shen,female,0.95
Yolanda E-Martín,female,0.99
Rahul Ramesh,male,1.0
Anuj Karpatne,male,1.0
Heng Tao Shen,male,0.84
Han Shu,female,0.58
Tong Li,male,1.0
Junming Wang,male,0.95
Pascal Bercher,male,0.99
Jianjun Chen,male,0.95
Quanxue Gao,female,0.87
Qionghai Dai,unknown,0.0
Giovanni Casini,male,0.99
Dapeng Tao,male,1.0
Alvaro Perez-Diaz,male,1.0
Chenjuan Guo,female,1.0
Chanyoung Park,male,0.85
Rong Du,female,0.55
Minghao Liu,male,0.97
Matthijs T. J. Spaan,male,1.0
Umang Bhaskar,male,0.97
Bryan Wang,male,1.0
Ying Wen,female,0.75
Kai Liu,male,0.91
Kai Wang,male,1.0
Wei Fan,male,0.86
Xiaohua Liu,female,0.69
Ruth M. J. Byrne,female,1.0
Runnan Li,female,0.5
Yizhou Zhang,male,0.73
Chuancai Liu,male,1.0
Zhihuai Xie,male,1.0
Yury Maximov,male,0.61
Jianzhong Qi,male,0.99
Bin Wang,male,0.95
Zhichen Gong,male,0.78
Chaotao Chen,unknown,0.0
Manish Ravula,male,1.0
Virginia Dignum,female,1.0
Jing Liu,female,0.78
Jorge Pérez-Martín,male,1.0
Aditya Prasad Mishra,male,1.0
Weiming Jiang,male,0.94
Zhihan Yang,female,0.5
Jun Wang,male,1.0
Andrius Vaicenavicius,male,0.99
Qingyao Wu,female,0.57
Zhaoyang Li,male,0.9
Shuai Li,male,0.83
Huiqi Li,female,0.89
Chong Li,male,0.88
Shangyu Chen,male,0.63
Yanghua Xiao,male,0.52
Yuxin Wang,female,0.94
Fuxun Yu,male,1.0
Kyowoon Lee,male,0.75
Mehul Bhatt,male,1.0
Lindsay Sanneman,female,0.94
Mahdieh Abbasi,female,0.98
Deli Wang,male,0.55
Toshiyuki Amagasa,male,1.0
Meghyn Bienvenu,female,1.0
Jian Zhao,male,0.86
Jan Peter,male,0.99
Ian Miguel,male,1.0
Baolin Peng,male,0.87
Maurice Funk,male,0.99
Shengze Yu,male,1.0
Sang Michael Xie,male,1.0
Yusu Wang,male,0.89
Emanuele Bugliarello,male,0.99
Lefei Zhang,female,0.62
Joseph F. JáJá,male,0.99
Amrita Sadarangani,female,0.98
Xin Xin,female,0.83
Junjiao Tian,female,0.75
Pengfei Jiao,male,0.95
Mahdi Bidar,male,0.97
Gjergji Kasneci,male,0.99
Seyed Hamid Rezatofighi,male,1.0
Yu Shi,female,0.83
Svetlana Obraztsova,female,0.99
Tianzhu Zhang,male,0.74
Gautham Vasan,male,1.0
Dale Schuurmans,male,0.93
Yuqing Ma,female,0.82
Yuxin Su,female,0.94
Jirí Svancara,male,0.97
Pan Li,female,0.5
Levi H. S. Lelis,male,0.97
Jun Gao,male,0.85
Abhishek Sinha,male,1.0
Nawal Benabbou,female,0.95
Haralambie Leahu,male,0.73
Longbing Cao,male,1.0
Kurt Keutzer,male,1.0
Yue Kong,male,1.0
Hang Ma,female,0.83
Kunfeng Lai,male,1.0
Min Xia,female,1.0
Aryan Deshwal,male,0.95
Behrouz Babaki,male,0.99
Somak Aditya,male,0.98
Pierre Bourhis,male,0.99
Huaimin Wang,male,0.67
Andrzej Kaczmarczyk,male,1.0
Jie Zhang,male,0.52
Stephan Gocht,male,1.0
Fuli Luo,male,0.7
Guoliang Pang,male,0.99
Zhaowen Wang,male,0.73
Changlong Sun,male,1.0
Davide Lanti,male,1.0
Shujian Huang,male,0.93
David V. Budescu,male,1.0
Jun Xu,male,1.0
Adish Singla,male,0.91
Kwangseob Kim,female,0.75
Zhiyong Wu,male,0.97
Kinzang Chhogyal,male,0.69
Zhesong Yu,male,1.0
Ling Shao,female,0.81
Yan Zheng,male,0.67
Xinpeng Ding,male,0.94
Nan Li,female,1.0
Jinlan Fu,female,0.96
Zhaojie Liu,male,0.85
Dexin Ren,male,0.84
Xixian Chen,male,0.63
Joshua B. Tenenbaum,male,1.0
Alberto Fernández,male,1.0
Mingyi Hong,male,0.57
Wang Liu-Wei,unknown,0.0
Chitta Baral,male,0.88
Matthias F. J. Hofer,male,1.0
Yanfang Ye,female,0.97
Raymond J. Mooney,male,1.0
Bidisha Samanta,female,0.98
Fangyuan Zhao,female,0.71
Naren Ramakrishnan,male,0.97
Jin-Hee Cho,female,0.86
Shi-cong Zhang,male,1.0
Jianping Wang,male,0.7
Nirandika Wanigasekara,female,1.0
Jun Sakuma,male,0.85
Chuhan Wu,male,0.78
Zihao He,male,1.0
Dongyun Yi,male,0.71
Yinan Li,female,0.54
Samuel Kaski,male,0.99
Rui Lin,male,0.63
Shizhe Chen,male,0.84
Ludwig Schubert,male,0.99
Stefano Ermon,male,1.0
Jindong Chen,male,0.96
Yanxia Qin,female,0.99
Silvan Sievers,male,0.97
Steven W. Su,male,1.0
Zhou Zhao,male,0.6
Yifeng Zhao,male,0.84
Xiaoming Jin,male,0.79
Hwanjo Yu,male,1.0
Ramasuri Narayanam,unknown,0.0
Minlong Peng,male,0.82
Wenping Wang,male,0.53
Zhalama,unknown,0.0
Parameswaran Kamalaruban,male,1.0
Juan D. Correa,male,0.99
Guangjian Tian,male,1.0
Junwei Bao,male,0.93
Hongliang Fei,male,0.97
Ye Liu,male,0.57
Alessandro Betti,male,1.0
Vihan Jain,male,0.96
Jun Zhou,male,1.0
Matthieu Zimmer,male,1.0
Jing Wang,female,0.78
Joydeep Biswas,male,0.98
Yufeng Diao,male,0.73
Liangjun Zang,male,0.87
Helen Meng,female,1.0
Nimrod Talmon,male,0.99
Ming Yang,male,0.92
Wenzhong Li,male,0.98
Heng Yu,male,0.89
Hélène Fargier,female,1.0
Haodi Zhang,male,0.97
David Abel,male,1.0
Wei Zhang,male,1.0
Evi Micha,female,0.97
Mykel J. Kochenderfer,male,0.94
Xuming Huang,male,0.88
Pedro Zuidberg Dos Martires,male,0.99
Scott Niekum,male,1.0
Lu Sun,female,0.86
Ruizhi Zhang,male,0.76
Daochen Zha,male,1.0
Huizhao Wang,female,1.0
Tansel Uras,male,0.87
Wenbin Zhang,male,0.95
Kangle Deng,male,0.79
Julien Vianey,male,0.99
Shichao Sun,male,0.86
Feng Tian,male,1.0
Thanh Ha Le,male,0.59
Andrew Docherty,male,1.0
Sayan Banerjee,male,0.98
Xiangyang Mou,male,0.85
Qiang Yang,male,1.0
Zhaoqun Li,female,0.5
Hady W. Lauw,male,0.88
Guodong Long,male,0.98
Amir Pouran Ben Veyseh,male,0.97
Huchuan Lu,unknown,0.0
Christian Bessiere,male,0.99
Jing Yu Koh,female,0.78
Wenlong Ye,male,1.0
Mark Feblowitz,male,1.0
Zheng Liu,male,0.92
Liangqing Wu,male,0.73
Bai-chuan Huang,unknown,0.0
Tobias Friedrich,male,1.0
Gianluca Cima,male,1.0
Norah E. Dunbar,female,0.98
Marco Maier,male,1.0
Kanchana Padmanabhan,female,0.87
Shaowu Yang,male,1.0
Thibault Laugel,male,0.99
Yuan Hu,female,1.0
Cheng Yang,male,0.87
Binqiang Zhao,male,1.0
Jakob Nordström,male,1.0
Fenglin Liu,male,0.52
Zhen Wang,male,0.85
Ankit Shah,male,1.0
Hao Peng,male,0.75
Ahmad Mahmoody,male,0.98
Lior Rokach,male,0.71
Richard Stec,male,1.0
Xu Geng,male,0.76
Wu Liu,male,0.52
Subhasis Chaudhuri,male,0.99
Chang Wang,male,0.67
Ting Zhao,female,0.66
Sergei Makarychev,male,1.0
Yasin N. Silva,male,0.97
Yexiang Xue,male,0.8
Guillaume Salha,male,1.0
Luca Cardelli,male,0.97
Cheng Deng,male,0.63
Peter Y. A. Ryan,male,1.0
Weixiong Zhang,male,0.96
Pan Lu,female,0.86
Zhao Zhang,male,1.0
Thomas Lukasiewicz,male,1.0
Jeremias Berg,male,0.99
Quan Hoang,male,0.67
Garima Shakya,female,1.0
Yongjie Yang,male,0.92
Volkan Cevher,male,0.98
Shuiwang Ji,male,1.0
Luojun Lin,male,0.63
Ofer Meshi,male,0.97
Khaled Belahcène,male,0.98
Jakob Suchan,male,1.0
Chi-Man Vong,male,0.89
Tong Xiao,female,0.56
Ray Kurzweil,male,0.98
Xiaoxiao Wang,female,0.82
Alexander Shapeev,male,1.0
Wu-Dong Xi,unknown,0.0
Christian Meyer,male,1.0
Mohamed-Bachir Belaid,male,1.0
Sihui Luo,female,0.92
Red Mendoza,male,0.76
Hai Wan,female,1.0
Jiawei Liu,male,0.75
Andreas G. Veneris,male,1.0
Simon Mackenzie,male,0.99
Shuo Dong,male,0.66
Antonella Poggi,female,0.99
Shenglin Zhao,male,0.77
Yejin Kim,female,0.99
Viet-Cuong Ta,male,1.0
Guohui Xiao,male,0.92
Kush R. Varshney,male,0.98
Xinhai Liu,male,0.9
Kenny Young,male,0.97
Ge Li,male,0.58
Rupert Freeman,male,1.0
Kelsey R. Allen,female,0.96
Xiao-Ming Wu,unknown,0.0
Manuel Luque,male,1.0
Iryna Gurevych,female,1.0
Shijie Zhao,male,0.81
Marta Kwiatkowska,female,0.99
Chenglin Miao,male,0.79
Chung-Chi Chen,female,0.5
Keonwoo Kim,male,1.0
Yuan Xin,female,0.77
Jingwei Chen,male,0.68
Cristina Sirangelo,female,0.99
Duc-Trong Le,unknown,0.0
Maarten de Rijke,male,1.0
Amin Jaber,male,1.0
I-Tung Chiang,unknown,0.0
Katherine Rose Driggs-Campbell,female,1.0
Malte Helmert,male,0.99
Tor Lattimore,male,0.97
Mark Díaz,male,1.0
Jilles Vreeken,male,0.98
Cedric Geissmann,male,0.99
Cynthia Breazeal,female,1.0
Tim Rocktäschel,male,1.0
Peter J. Stuckey,male,1.0
Lipeng Cai,male,0.61
Shirui Pan,female,0.56
Yongfeng Huang,male,0.95
Xueliang Zhao,male,0.95
Michael L. Littman,male,1.0
Yang Song,female,0.5
Pavel Atanasov,male,0.99
K. S. M. Tozammel Hossain,male,1.0
Hui Su,female,1.0
Moninder Singh,male,0.67
Yang Wei,male,1.0
Yi Wang,male,1.0
Weidong Cai,male,0.97
Xiao Ding,male,1.0
Xiaochun Cao,female,0.51
Shuai Chen,male,0.83
Francesco Sommavilla,male,1.0
Qinlan Shen,unknown,0.0
Yupeng Li,male,0.91
Juho Kannala,male,1.0
Dawei Du,male,0.98
Haotian Fu,male,0.93
Samuel Kolb,male,0.99
Shenghua Gao,male,0.75
Piotr Skowron,male,1.0
Malek Mouhoub,male,1.0
Xiushan Nie,male,0.55
Jianhuang Lai,male,1.0
Ehud Shapiro,male,1.0
Haoming Li,male,0.95
Roy Assaf,male,0.99
Yufeng Li,male,0.73
Chang Xu,male,0.91
Yuxuan Wei,male,0.52
Ting Chen,female,1.0
Cheng Wu,male,1.0
Zining Liu,female,0.66
Yang Yi,male,0.88
Fang Kong,male,1.0
María del Carmen Fernández Martínez,female,0.99
Yingwei Fu,male,0.6
Jiale Zhi,male,0.72
James T. Kwok,male,1.0
Zheng-Fan Wu,male,0.58
Jing Jiang,male,1.0
Zichang Tan,male,0.93
Haibo Mi,male,0.92
Marcus Hutter,male,1.0
Bo Yuan,male,1.0
Yuan Gong,male,0.53
Jingchang Liu,male,0.83
Jonathan Dodge,male,1.0
Benjamin C. M. Fung,male,1.0
Hae Won Park,female,0.85
Beilei Ling,female,0.94
Gerardo I. Simari,male,1.0
Wei Gao,male,1.0
Xiangdong Zhang,male,0.95
Christopher Kiekintveld,male,1.0
Bo Yang,female,0.5
Sheng-Jun Huang,male,1.0
Kaixuan Chen,male,0.59
Yun Wang,female,0.62
Christoph Roch,male,1.0
