author_name,Gender,Gender Probability
Hong Liu,male,1.0
Jean-Pierre Müller,male,1.0
Yunke Wang,male,0.78
Yingfeng Chen,male,0.77
Yotam Gafni,male,1.0
Ruifang Liu,female,0.91
Yilin Shen,female,0.95
Ke Tang,male,0.84
Henny Admoni,female,0.72
Wei Yang Bryan Lim,male,1.0
Xiaolong Ma,male,0.97
Heng Tao Shen,male,0.84
Yan Zeng,male,0.58
Jintang Li,male,0.75
Chen-Chen Zong,female,0.9
Wei Huang,male,0.78
Shaoting Zhang,female,0.54
Zujie Wen,male,0.75
Pascal Bercher,male,0.99
Tao Bai,male,0.84
Bingsheng He,male,1.0
Ben Batten,male,0.98
Ramakrishnan Krishnamurthy,male,0.97
Sheng Qi,male,1.0
Chenjuan Guo,female,1.0
Xiangyu Duan,male,0.69
Grigorios Tsoumakas,male,1.0
Fulya Trösser,female,0.97
Quan Hung Tran,male,0.87
Lincheng Li,male,0.8
Olivier Pietquin,male,0.99
Dawn Song,female,1.0
Guanyi Chu,male,0.66
Yvonne Lasars,female,1.0
Jessica Hong,female,1.0
Fudong Lin,male,0.93
Chao Xing,male,0.67
Ruifang Zhang,female,0.91
Jianzhong Qi,male,0.99
Ziheng Zhang,male,0.92
Lubin Fan,female,0.76
Kefeng Zhu,male,0.86
Wenjia Wang,female,0.79
Ronghan Li,male,0.75
Alfredo Cuesta-Infante,male,1.0
Pengzhen Ren,male,1.0
Xuye Liu,male,0.86
Xiping Hu,male,0.54
Yuxin Wang,female,0.94
Fabian Pedregosa,male,1.0
Jie-Jing Shao,male,0.91
Wei Wang,male,1.0
Meghyn Bienvenu,female,1.0
Yu Rong,female,0.5
Xiaohui Guo,female,0.66
Jingjing Li,female,0.94
Marius Kloft,male,0.99
Quan Yuan,male,1.0
Huiqin Jiang,female,0.93
Jinwoo Shin,male,0.99
Manuel Namici,male,0.99
Dong Wang,male,0.95
Fan Zhou,female,0.76
Jindong Wang,male,0.96
Mengdan Zhang,female,0.93
Sang-goo Lee,male,1.0
Maurice Funk,male,0.99
Marc Glisse,male,1.0
Yonghong Tian,male,0.62
Zhihua Wei,male,0.76
Nicolas Usunier,male,1.0
Haoyi Xiong,male,0.67
Theresa Eimer,female,1.0
Georgios Papasotiropoulos,male,1.0
Pengfei Jiao,male,0.95
