author_name,Gender,Gender Probability
Alessandro Sperduti,male,1.0
Monika Rauch Henzinger,female,0.99
Prem Melville,male,0.97
Russell Greiner,male,1.0
Jon Curtis,male,0.99
Doina Precup,female,0.99
Hector Geffner,male,1.0
Pierre Marquis,male,0.99
Ryutaro Ichise,male,1.0
Suresh Manandhar,male,0.99
Armagan Tarim,male,0.74
Christine Clark,female,1.0
Carmel Domshlak,female,0.86
R. P. S. O'Donoghue,male,0.77
Thomas J. Graser,male,1.0
Steffen Staab,male,1.0
Franz Baader,male,0.99
Terence Schauenberg,male,1.0
Hector J. Levesque,male,1.0
Nicola Leone,male,1.0
Alexander Bochman,male,1.0
Jan Van den Bussche,male,0.89
Abhaya C. Nayak,male,0.87
Delbert D. Bailey,male,1.0
Huan Liu,male,1.0
Sepandar D. Kamvar,male,0.94
Magda Valls,female,0.99
Phokion G. Kolaitis,unknown,0.0
Edmund H. Durfee,male,1.0
Manuela M. Veloso,female,0.99
David A. Cohen,male,1.0
Chris Gearhart,male,0.91
Wei Fan,male,0.86
Carlos Gershenson,male,1.0
Satanjeev Banerjee,male,1.0
Geoffrey J. Gordon,male,1.0
Frederico Luiz Gonçalves de Freitas,male,1.0
Sylvie Thiébaux,female,0.99
Petri Myllymäki,male,0.82
Matthias Fichtner,male,1.0
Yorick Wilks,male,1.0
Joelle Pineau,female,0.98
Jin Huang,male,1.0
Stacy Marsella,female,0.93
Carlos Areces,male,1.0
Peter Haddawy,male,1.0
Mary Berna,female,0.99
Mehdi Dastani,male,0.98
Shaw-Hwa Lo,unknown,0.0
Axel Großmann,male,0.99
Guilherme Bittencourt,male,1.0
Moshe Y. Vardi,male,0.99
Eyal Amir,male,1.0
Jim McFadden,male,1.0
Alon Y. Halevy,male,0.96
Dorian Suc,male,0.95
Jesse S. Jin,male,0.98
Dan Klein,male,0.99
Kathleen R. McKeown,female,1.0
Frédéric Dehais,male,1.0
Chuck P. Lam,male,1.0
Reid G. Simmons,male,0.78
Wolfgang Faber,male,1.0
Ian Miguel,male,1.0
Xiangen Hu,male,0.75
Cèsar Fernández,male,0.99
Krzysztof Gajos,male,1.0
Jisun Park,female,0.86
William C. Regli,male,1.0
Frank Pfenning,male,1.0
Joo-Hwee Lim,male,0.74
Alvaro del Val,male,1.0
Corin R. Anderson,female,0.73
Alan M. Frisch,male,1.0
J. Andrew Bagnell,male,1.0
Franciska de Jong,female,0.99
Javier Larrosa,male,1.0
Michael Walsh,male,1.0
Michael Witbrock,male,1.0
Adnan Darwiche,male,0.99
Barbara J. Grosz,female,1.0
José del R. Millán,male,0.98
Chiaki Sakama,female,0.94
Jicheng Zhao,male,0.91
Michel C. A. Klein,male,0.94
Xiaomeng Wu,female,0.75
Heather Pon-Barry,female,1.0
Adrian Petcu,male,0.99
Magnus Ågren,male,1.0
Sheila A. McIlraith,female,1.0
Vincent Vidal,male,0.99
Teresa Maria Altomare Basile,female,0.99
Avi Pfeffer,male,0.92
Ashish Sabharwal,male,1.0
