author_name,Gender,Gender Probability
Kiarash Zahirnia,male,0.98
Derek G. Bridge,male,1.0
Jingyuan Li,female,0.57
Jing Wang,female,0.78
Yifan Wang,male,0.56
Sandeep Chinchali,male,0.94
Arthur Batel,male,1.0
Carsten Wenzel,male,1.0
Vassilissa Lehoux-Lebacque,female,1.0
Hung Nguyen,male,1.0
Matteo Tiezzi,male,1.0
Shaoting Zhang,female,0.54
Pascal Bercher,male,0.99
Michel Riveill,male,0.94
Neil Traft,male,1.0
Peter McBurney,male,1.0
Carlos Abreu Ferreira,male,1.0
Ben Batten,male,0.98
Guy Shani,male,1.0
Christopher T. Freeman,male,1.0
Mutahira Khalid,female,0.88
Grigorios Tsoumakas,male,1.0
Zhongliang Guo,male,1.0
Feng Zhou,male,1.0
Dingjie Zhou,male,0.69
Alex Jackson,male,1.0
Attila Joó,male,1.0
Chenjia Bai,female,0.85
Xiangke Zeng,male,1.0
Maciej Dabrowny,male,1.0
Jianbo Lu,male,0.97
Qiwei Liang,male,0.75
Jintao Tang,male,0.8
Anne Liret,female,0.99
Weiye Wang,male,0.85
Jan Jakubuv,male,0.89
Sebastian Houben,male,1.0
Mehdi Dastani,male,0.98
Xiping Hu,male,0.54
Nan Dong,female,0.86
Yanghua Xiao,male,0.52
Chao Feng,male,1.0
Xiaoyu Tan,female,0.69
Svetha Venkatesh,female,1.0
Sanjay Modgil,male,0.99
Georgios Paliouras,male,1.0
Zhiwei Liu,male,0.88
Xingce Wang,male,1.0
Jan Mielniczuk,male,0.89
Sven Schewe,male,1.0
Soumi Das,female,0.81
Lefei Zhang,female,0.62
Qian Guo,female,1.0
Leo Yu Zhang,male,0.96
Nicholas Teh,male,1.0
Xiangyu Li,male,0.69
Kaiwen Wei,male,0.91
Bjarte Johansen,male,1.0
Baijiong Lin,female,0.67
Omar Naim,male,1.0
Gjergji Kasneci,male,0.99
Artyom Tugaryov,male,1.0
Hong Shi,female,0.5
Vladimir V. Gusev,male,1.0
Alejandro Sánchez-de-Castro-Fernández,male,1.0
Daniel Valencia,male,1.0
Shahaf Bassan,male,0.53
Zijun Zhang,male,0.88
Angelo Oddi,male,0.99
Chuanming Wang,male,0.92
Jinbei Zhang,male,0.85
Eduardo Sánchez-Karhunen,male,1.0
Xiang Ying,female,1.0
Nicolas Szczepanski,male,1.0
Zhongzhen Huang,male,0.8
Shin'ichi Satoh,male,1.0
Haoze He,male,1.0
Chandra Thapa,male,0.92
Henrik Boström,male,1.0
Zhidong Li,male,0.91
Alexander Diedrich,male,1.0
Jie Gao,male,0.52
Mikko A. Heikkilä,male,0.99
Bosheng Yan,male,0.88
Luigi Bonassi,male,0.99
Nadia Creignou,female,0.99
Bistra Dilkina,female,0.97
Yue Sun,male,1.0
Jingya Zhou,female,0.96
Haowen Li,male,0.96
Xiaobai Li,male,0.53
Alexander Lodemann,male,1.0
A. Ben Hamza,male,0.97
Joshua Kavner,male,1.0
Roman Liessner,male,0.99
Amelie Sophie Robrecht,female,0.99
Zhiyong Cui,male,0.97
Wenxi Li,female,0.67
Jing Wang,female,0.78
Lukas Lührs,male,0.99
Raïda Ktari,female,0.92
Kevin Hsu,male,1.0
Yunfei Han,male,0.71
Moshe Eliasof,male,0.99
Ferdinando Cicalese,male,1.0
Shasha Li,female,0.91
Zheng Wang,male,1.0
Mutsuyo Wada,female,0.71
Silvan Sievers,male,0.97
Xiangyu Wang,male,0.69
Yeongjae Cho,male,0.88
Yu Zhou,female,0.51
Mihai Cucuringu,male,0.98
Aleena Siji,female,0.98
Changwei Wang,male,0.95
Lee-or Alon,female,0.89
Fabio Somenzi,male,1.0
Feifei Zhai,female,0.84
Zied Bouraoui,male,0.98
Azra Abtahi,female,0.95
Alessandro Betti,male,1.0
Zijian Zhang,male,0.96
Tao Wang,male,1.0
Yufeng Diao,male,0.73
Daejong Jin,male,1.0
Zhengyang Shen,male,0.91
Chunkit Chan,male,0.98
Hui Li,female,1.0
Marco Drache,male,1.0
Lu Sun,female,0.86
Meiyi Ma,female,0.99
Lei Kang,female,0.53
Wenbin Zhang,male,0.95
Mushui Liu,male,1.0
Mohammad Reza Karimi Nejad,male,0.99
Yu Yan,female,0.87
Gianluca Rizzo,male,1.0
Andoni I. Garmendia,male,0.99
Yifei Zhang,female,0.52
Jens Lehmann,male,1.0
Yuping He,female,0.75
Hangfei Li,male,0.6
Andrew Coles,male,1.0
Vicky Charisi,female,0.9
Nathan Corecco,male,1.0
Aneesh Komanduri,male,0.99
Yongkang Liu,male,0.96
Wenhao Jiang,male,0.95
Xinyi Li,female,0.98
Aoyang Liu,female,0.67
Zhiqiang Liu,male,1.0
Tomislav Duricic,male,1.0
Narayanan C. Krishnan,male,0.71
Junfeng Yao,male,0.95
Benjamin Molinet,male,1.0
Gheorghe Lisca,male,0.93
Lior Rokach,male,0.71
Christophe Grand,male,1.0
Kaiyang Lan,male,0.92
Alberto Huertas Celdrán,male,1.0
Matteo Zavatteri,male,1.0
Guibo Luo,male,0.78
Matthieu Duvinage,male,1.0
Ming Sun,male,0.93
Ying Nie,female,1.0
Jia Hu,female,0.65
Ziqiang Cao,male,0.96
Khaled Belahcène,male,0.98
Bakh Khoussainov,male,0.9
Kazuyuki Demachi,male,1.0
Andrea Micheli,male,1.0
Boyang Wang,male,0.84
Inês Sousa,female,1.0
Murat Firat,male,1.0
Luca A. Lanzendörfer,male,0.97
Marc Rickart,male,1.0
Aleksandr I. Panov,male,1.0
Teng Guo,male,1.0
Xueming Tang,male,0.77
Zefeng Wang,male,0.98
Fengyi Yang,female,0.59
Zhengren Wang,male,1.0
Melika Behjati,female,0.98
Raghavan B. Sunoj,male,0.97
Chihyun Park,male,0.59
Rongtao Xu,male,1.0
Shibiao Xu,male,0.83
Lei Fang,male,1.0
Christian Bartelt,male,0.99
Jyotirmoy V. Deshmukh,male,0.98
Qianwei Zhou,female,0.59
Longin Jan Latecki,male,0.89
Eduardo E. Veas,male,1.0
Chenhao Wang,male,0.96
Giuseppe Spallitta,male,0.99
Yuan Xin,female,0.77
Nandyala Hemachandra,male,0.97
Maarten de Rijke,male,1.0
Haicheng Liao,male,0.93
Gang Li,male,0.96
Taowen Wang,male,0.67
Isabel Benlloch-Blasco,female,0.99
Ioannis Papathanail,male,1.0
Jialin Liu,female,0.91
Yiqun Zhang,female,0.52
Abbas Rahimi,male,1.0
Mikolás Janota,male,0.69
Shigeng Zhang,male,1.0
Kaikai An,female,0.57
Changhao Lai,male,0.96
Brian Logan,male,1.0
Weiping Wang,male,0.64
Shirui Pan,female,0.56
Christian R. Shelton,male,0.99
Haodong Jing,male,0.94
Tinghui Zhu,female,0.69
Xugang Zhou,male,0.88
Yunbing Xing,female,0.64
Yan Guo,male,1.0
Yang Song,female,0.5
Shuai Han,male,0.83
Hui Wang,female,0.5
Ilias Chalkidis,male,0.99
Yuanhao Liu,male,0.98
Xin Liu,female,0.64
Maurice Dekker,male,0.99
Lin Ma,female,0.67
Yi Wang,male,1.0
Seong-Eun Cho,female,0.79
Mingjie Zhao,male,0.78
Jan Kretínský,male,0.89
Henri Surugue,male,0.98
Alessio Lomuscio,male,0.99
Leonardo Amado,male,1.0
Riccardo Rasconi,male,1.0
Qiaolan Meng,female,1.0
Mohamed Ali Souibgui,male,0.98
Paul Thompson,male,1.0
Khaled Elbassioni,male,0.98
Xiang Chen,male,1.0
Nic Wilson,male,0.86
Tomasz Was,male,1.0
Chu-Min Li,female,1.0
Nanchang Cheng,male,1.0
Houjun Wang,male,0.9
Pijush Bhuyan,male,0.98
Jiayang Cheng,male,0.64
Fei Yang,male,1.0
Stratis Limnios,male,0.99
Yaqian Li,female,0.94
Jianguo Jiang,male,0.99
Kien Do,male,1.0
Ronit Bustin,female,0.77
Giuseppe Perelli,male,0.99
Kun Hu,male,0.78
Bashar M. Deeb,male,0.99
Tongya Zheng,male,0.92
Paul Groth,male,1.0
Boyu Gao,male,0.82
Xinpeng Zhang,male,0.94
Simone Marullo,female,0.57
Dieu-Hien Nguyen,male,0.59
Guofa Li,male,1.0
Daiki Suehiro,male,0.99
Seham Nasr,female,0.98
Fangyuan Chang,female,0.71
Xiaohui Song,female,0.66
Jinyu Zhao,female,0.59
Mengwei Xu,female,0.66
Marco Cognetti,male,1.0
Ocan Sankur,male,0.66
Roberto Rodrigues Filho,male,1.0
Changxin Huang,male,0.95
Mrinmaya Sachan,unknown,0.0
Meng Wang,male,1.0
Hoang D. Nguyen,male,0.74
Gabriele Masina,male,0.86
Li Shen,male,0.6
Steven Davy,male,1.0
Xiaoyu Yang,female,0.69
Chenyang Li,male,0.71
Yiu-ming Cheung,male,1.0
Agnieszka Pregowska,female,0.99
Vinayak S. Prabhu,male,1.0
Heuiseok Lim,male,1.0
Tuan Anh Tran,male,1.0
Michele Casoni,female,0.54
Sergio Burdisso,male,1.0
Weiming Li,male,0.94
Sahar Vahdati,female,0.94
Luc De Raedt,male,0.99
Lies Hadjadj,female,0.84
Yuanjun Liu,male,0.75
See-Kiong Ng,unknown,0.0
Bo Li,male,1.0
Bin Wang,male,0.95
Rita P. Ribeiro,female,0.99
Célia D'Cruz,female,0.99
Marius Lindauer,male,0.99
René Heesch,male,0.98
Runming Yang,male,0.83
Roni Stern,male,0.74
Zheng Chen,male,1.0
David Solans Noguero,male,1.0
Frédéric Flouvat,male,1.0
Alexander Shleyfman,male,1.0
Jean-Marc Bereder,male,1.0
Odile Papini,female,0.99
Andrea Tagarelli,female,0.69
Anastasia Krithara,female,0.99
Hanpeng Liu,male,1.0
Mingshan Sun,male,0.68
Wei Liu,male,0.69
John C. S. Lui,male,1.0
David Ulloa,male,1.0
Ting Wang,male,0.67
Flavio Petruzzellis,male,1.0
Wei Huang,male,0.78
John P. McCrae,male,1.0
Zhihang Liu,male,0.89
Jian Wang,female,1.0
Minbiao Han,male,1.0
Jian Yu,male,0.93
Ottla Arrigoni,female,1.0
Wuti Xiong,male,0.7
Jingyi Yang,female,0.98
Jin-Hui Wu,female,0.5
Md Fahim,male,0.94
Céline Hudelot,female,1.0
Wei Zhang,male,1.0
Natalia Koliou,female,0.99
Viacheslav Komisarenko,male,1.0
Liang Yang,male,0.75
Denis Huseljic,male,0.94
Wenzhe Zhang,male,0.82
Xu Zhang,male,0.91
Heejun Shin,male,0.93
Damian Kurpiewski,male,0.99
Igor Salnikov,male,1.0
Léo Saulières,male,0.97
Dmitrii Korzh,male,1.0
Robin Ghyselinck,male,0.77
Yunshan Ma,male,0.57
Shuchao Pang,male,0.92
Jinsong Su,male,0.89
Tat-Seng Chua,unknown,0.0
Jimin Xiao,female,0.54
Yoshiyuki Ishii,male,1.0
Neil Sebire,male,1.0
Zhenhang Li,male,0.92
Qingwei Lin,male,0.87
Zhong Qian,female,1.0
Fausto Giunchiglia,male,1.0
Chen Wang,male,1.0
Yafeng Zhang,male,0.75
Juarez Monteiro,male,0.97
Jinwen Ma,male,0.56
Mohamed Graiet,male,0.98
Yuchen Guo,male,0.53
Gaurav Dixit,male,1.0
Senbin Liu,male,1.0
Taiki Todo,male,0.99
Daniel Fiser,male,0.99
Lei Shi,female,1.0
Ana Paiva,female,1.0
Kento Yoshida,male,0.99
Michele Brienza,female,0.54
Qichao Ying,male,0.9
Emiliano Lorini,male,0.99
Xiaoxiao Shi,female,0.82
Akash Balasaheb Dhasade,male,0.99
Xuehan Zhao,female,0.82
Junlin Liu,male,0.78
Patryk Wielopolski,male,1.0
Madhumita Kundu,female,1.0
Alessandro Cimatti,male,1.0
Xuan Di,male,0.5
Shamik Sural,male,0.97
Sao Mai Nguyen,female,0.96
Danyal Aftab,male,0.94
Li-Yun Wang,female,1.0
Lihi Dery,female,0.98
Hyeonjun Park,male,0.97
Yu Kang,male,0.93
George Meramveliotakis,male,0.99
Zsuzsanna Jankó,female,1.0
Matías Molina,male,0.99
Laavanaya Dhawan,male,0.93
Yaqi Wang,female,0.85
Jiguang Zhang,male,0.93
Bartlomiej Twardowski,male,1.0
Simon Wasiela,male,0.99
Julian Spravil,male,0.99
Davide Costa,male,1.0
Nicolas Kourtellis,male,1.0
Dingfan Chen,male,1.0
Uliya Nekrasova,female,0.99
Andrew Cropper,male,1.0
Jens Lemmens,male,1.0
Yi-Jie Huang,female,0.69
Quoc-Vinh Lai-Dang,male,1.0
Yi Wang,male,1.0
Alexey Zaytsev,male,1.0
Naman Lal,male,0.99
Stepan Dergachev,male,0.99
Anaëlle Wilczynski,female,1.0
Kayla Thames,female,1.0
Chin-Yuan Yeh,male,0.91
Shantanu Chandra,male,1.0
Salah-eddine Laidoudi,male,1.0
Yifan Pan,male,0.56
Xin Liu,female,0.64
Weijie Li,male,0.89
Zhuoru Li,female,0.6
Erik B. Terres-Escudero,male,0.99
Gerard Canal,male,0.99
Massih-Reza Amini,male,0.71
Jussi Rintanen,male,0.98
Taoan Huang,male,1.0
Jinyun Tong,female,0.7
Daniel Gnad,male,0.99
Ruth Urner,female,1.0
Asaf Shabtai,male,0.99
Hau Chan,male,1.0
Zhongjian Qiao,male,1.0
Natasha Alechina,female,0.99
Matej Cief,male,1.0
Di Liang,male,1.0
Dimitry Mindlin,male,0.99
Wei Tan,female,0.5
Jorge Díez,male,1.0
Yifeng Geng,male,0.84
Mengxiao Zhang,female,0.75
Zilan Yu,female,0.9
Hongbo Jin,male,0.84
Dorota Celinska-Kopczynska,female,0.99
Douglas S. Lange,male,1.0
Zhaoyan Shen,female,0.56
Chihan Huang,male,0.52
Mengke Li,female,0.69
Zhongmei Yao,female,0.86
Markus Götz,male,1.0
Heeyoung Lee,female,0.81
Guillem Alenyà,male,1.0
Xuan Phong Pham,male,0.89
Yuzhou Yang,male,0.82
P. Krishna Kumar,male,0.85
Weihua Wang,male,0.66
Alexander Schiendorfer,male,1.0
Zhehuan Zhao,male,0.8
Jaco van de Pol,male,0.99
Timothy E. Wang,male,1.0
Thi Kieu Khanh Ho,male,0.68
Zijia Wang,female,0.55
Wolfgang Hintze,male,1.0
Ke Bian,male,0.84
Juergen Branke,male,1.0
Muhammad Uzair-Ul-Haq,male,0.99
Cong Hu,male,0.95
Laura Nenzi,female,0.99
Mingkun Zhang,male,0.96
Penghao Sun,male,1.0
Cherif-Hassan Nousradine,male,1.0
Markus Stocker,male,1.0
Frédéric Precioso,male,1.0
Nan Yu,female,1.0
Jan Tóth,male,0.89
Christian Wirth,male,0.99
Liejun Wang,female,0.75
Michail Savvas,male,1.0
Fabian Dethof,male,1.0
Roberto Capobianco,male,1.0
Paul-Gauthier Noé,unknown,0.0
Tennison Liu,male,0.52
Tong Wu,male,0.85
Edward C. Malthouse,male,1.0
Seungyeon Choi,female,0.77
Lei Wu,female,0.53
Hinrich Schütze,male,0.99
Yan Shao,male,1.0
Stephen Wissow,male,1.0
Yu Wang,male,1.0
Teng Zhou,male,0.79
Ziwei Zhang,female,0.64
Bruno Yun,male,1.0
Sylvia Keßler,female,1.0
Xiankang He,male,1.0
Alina Pak,female,0.99
Nina Pardal,female,0.98
Jérôme Arjonilla,male,1.0
Badran Raddaoui,male,0.8
Yanli Li,female,0.91
Dylan Cope,male,0.99
Zaiqiao Meng,unknown,0.0
Roger Xavier Lera-Leri,male,1.0
Yihong Liu,female,0.51
Ran Liu,male,0.61
Tingsheng Tan,male,0.92
Mei Yu,female,0.98
Christelle Loiodice,female,0.99
Dong Han,male,1.0
Tomasz P. Michalak,male,1.0
Carola-Bibiane Schönlieb,unknown,0.0
Miguel Escarda-Fernández,male,1.0
Mehdi Sabiri,male,0.98
Ali Salesi,male,0.95
Ansgar Scherp,male,0.99
Jayanta Mandi,male,0.98
Zoya Volovikova,female,0.96
Xin Yu,female,0.92
Manajit Das,male,1.0
Rina Dechter,female,0.98
Biyu Zhou,female,0.73
Yulong Liu,male,0.97
Emanuele Sansone,male,0.99
Jun Xu,male,1.0
Mahdieh Soleymani Baghshah,female,0.98
Xiaolong She,male,0.97
Yue Ma,female,0.83
Xi Zhou,female,0.88
Lucia Gordon,female,0.99
Mohammad Essa Alsomali,male,0.99
Haoyang Ju,male,0.98
Min Hun Lee,male,0.56
Keqin Peng,male,0.53
Guillaume Cleuziou,male,1.0
Ziqun Chen,female,0.56
Erez Karpas,male,0.99
Wenrui Dai,male,0.54
Cèsar Ferri,male,0.99
Truyen Tran,male,0.8
Eldad Haber,male,0.99
Weijia Zhang,female,0.58
Hana Weitman,female,0.97
Rudolf Felix,male,1.0
Nicolas Maudet,male,1.0
Panagiotis Kouvaros,male,1.0
Saravan Rajmohan,male,0.92
Katarzyna R. Baran,female,0.99
Jiahao Li,male,0.99
Yauwai Yim,male,0.88
Boyang Liu,male,0.84
George Killick,male,0.99
Tatiana Boura,female,0.99
Yang Yang,female,0.62
Thomas Aicher,male,1.0
Mariia Shpir,female,0.99
Zhizhong Liu,male,0.95
Karl Mason,male,0.99
Taiqiang Wu,male,1.0
Sifan Zhou,female,0.67
Philipp Sievers,male,1.0
Chengqing Zong,male,0.77
Alberto José Bugarín Diz,male,0.98
Luis Galárraga,male,1.0
Ginny Y. Wong,female,1.0
Qiang Lu,male,0.95
Zitao Liu,male,0.9
Pierre Monnin,male,0.99
Maria Glushanina,female,0.99
Lihao Liu,male,0.88
Yasmeen M. Khedr,female,0.98
Liang Xie,male,0.92
Marlo Souza,male,0.74
Thomas M. Moerland,male,1.0
Shamala D/O Thilarajah,female,0.98
Wei Liu,male,0.69
Daniel Hernández,male,1.0
Lin Sheng,male,1.0
Daniel Shapiro,male,0.99
Jose F. Quesada-Moreno,male,0.99
Kuldeep S. Meel,male,0.93
Zeyuan Zhou,male,0.82
Arne Meier,male,1.0
Nathan R. Sturtevant,male,1.0
Hui-Yue Yang,male,0.58
Xuhui Fan,male,0.7
Phurinut Srisawad,male,1.0
Nick Cheney,male,0.99
Ye Yan,female,1.0
Umberto Grandi,male,1.0
Elena Cabrio,female,0.99
Saket Saurabh,male,1.0
Nurit Cohen-Inger,female,0.99
Hankz Hankui Zhuo,male,1.0
Xingyu Song,male,0.61
Maoxun Yuan,unknown,0.0
Willem-Jan van Hoeve,male,1.0
Lingdong Shen,male,0.88
Sourangshu Bhattacharya,male,1.0
Zahra Atashgahi,female,0.97
Haigen Hu,male,0.97
Christian Sauer,male,0.99
Richard McCreadie,male,1.0
Thorsten Klößner,male,1.0
Chaoxi Niu,male,0.86
Luca Viganò,male,0.97
Sarit Kraus,female,0.98
Tobias John,male,1.0
Jing Zhou,male,1.0
Sergio Abriola,male,1.0
Xin-Chun Li,unknown,0.0
Yongkang Li,male,0.96
Yanbin Liu,male,0.77
Alessandro Sperduti,male,1.0
Xiang Gu,male,0.9
Duy Le Dinh Anh,male,0.99
Kira Maag,female,0.93
Fangkai Yang,male,1.0
Jonathan Pirnay,male,1.0
Raed Abdel Sater,male,0.98
Hénoïk Willot,male,0.55
Xiaoning Liu,female,0.52
Ivan Donadello,male,0.99
Juan Martínez-Romo,male,0.99
Guohao Lan,male,0.98
Helena Spiridou Goncalves,female,0.99
Ramon Fraga Pereira,male,0.99
Jiahe Ying,male,0.72
Yi Zhou,male,0.67
Hui Xue,female,0.88
Haorao Wei,male,0.69
Jade Garcia Bourrée,female,0.93
Ashutosh Trivedi,male,1.0
Yicheng Liu,male,0.96
Xiaochao Fan,male,0.84
Liang Liu,male,0.92
Alessandro Vinciarelli,male,1.0
Serena Villata,female,0.99
Elizaveta Kovtun,female,1.0
Yongkai Tian,male,0.97
Nicolás Benjamín Ocampo,male,0.99
Rongye Shi,male,0.75
Yuval Elovici,male,0.65
Jan Dubinski,male,0.89
Kimihiro Yamazaki,male,1.0
Shahaf S. Shperberg,male,0.53
Belén Díaz-Agudo,female,0.99
Kim Hoang Tran,female,0.75
Jonghwan Choi,male,1.0
Jean-Marie Lagniez,male,0.58
Lipeng Zhuang,male,0.61
Davide Rigoni,male,1.0
Jean-Louis Dufour,male,0.99
Haina Tang,female,0.89
Martina Mattioli,female,0.99
Emmanouil Seferis,male,0.99
Teli Liu,male,0.52
Stefano Melacci,male,1.0
Niklas Landerer,male,1.0
Hugo Gilbert,male,1.0
Zhentao Xie,male,1.0
Jian Xiao,male,0.67
Thomas Bonald,male,1.0
Dai Do,male,0.54
Letterio Galletta,male,0.99
Bracha Shapira,female,0.99
Zhihao Qu,male,0.98
Christophe Guettier,male,1.0
Miquel Perelló-Nieto,male,0.99
Giulia Vilone,female,0.99
Eugene Yang,male,0.99
Gautham Kishore,male,1.0
Luca Marzari,male,0.97
Jinjin Xu,female,0.68
Ruxin Zhang,male,0.86
Sanjukta Roy,female,0.99
Pedro Saleiro,male,0.99
Angelo Rodio,male,0.99
Seonmin Koo,female,0.71
Boyu Li,male,0.82
Ufuk Topcu,male,0.96
