author_name,Gender,Gender Probability
Jialiang Zhang,male,0.92
Fei Wu,male,1.0
Guangda Huzhang,male,1.0
Francesco Ricca,male,1.0
Na Fu,female,0.68
Yilin Shen,female,0.95
Ke Tang,male,0.84
Shreyas Sekar,male,1.0
Heng Tao Shen,male,0.84
Yong Gao,male,0.73
Dhivya Eswaran,female,0.99
Pascal Bercher,male,0.99
Quanxue Gao,female,0.87
Franz Baader,male,0.99
Kunpeng Zhang,male,0.98
Giovanni Casini,male,0.99
Jie Yang,male,1.0
Chi Xu,male,0.55
Mark D. Fuge,male,1.0
Baharak Rastegari,female,0.97
Baocai Yin,male,1.0
Olivier Pietquin,male,0.99
Haroun Habeeb,male,0.98
Ivan Stojkovic,male,0.99
Srikanta Bedathur,male,0.97
Virginia Dignum,female,1.0
James Trimble,male,1.0
Jianbin Tang,male,0.96
Michael Thielscher,male,1.0
Fei Gao,male,0.54
Qingyao Wu,female,0.57
Benedikt Bünz,male,1.0
Sylvain Lagrue,male,0.99
Teppo Mikael Niinimäki,male,0.99
Yanghua Xiao,male,0.52
Lukás Chrpa,male,1.0
Mingyu Fan,male,0.66
Meghyn Bienvenu,female,1.0
Kathleen R. McKeown,female,1.0
Svetha Venkatesh,female,1.0
Quan Yuan,male,1.0
Svetan M. Ratchev,male,1.0
Ariel Rosenfeld,male,0.83
Yixing Xu,male,0.66
Yu Hu,male,0.67
Seung-won Hwang,male,0.94
Ivan Papusha,male,0.99
Wolfgang Dvorák,male,1.0
Minh Do,male,0.74
Lefei Zhang,female,0.62
Greg Ver Steeg,male,1.0
Evgenij Thorstensen,male,0.97
Igor Rochlin,male,1.0
Somdeb Sarkhel,male,1.0
Xunpeng Huang,male,1.0
Yingtao Tian,male,0.62
Noga Talmor,female,0.96
Cheng Zhu,female,1.0
Kotaro Funakoshi,male,1.0
Xin Wang,male,0.67
Amos Azaria,female,0.66
Ruihua Song,female,0.58
Mateu Villaret,male,0.95
Dale Schuurmans,male,0.93
Jeremy Kong,male,1.0
Levi H. S. Lelis,male,0.97
Tomoharu Iwata,male,1.0
Muhammad Ali,male,0.96
Nawal Benabbou,female,0.95
Ruining He,female,0.71
Hiroyuki Kido,male,1.0
Longbing Cao,male,1.0
Hang Ma,female,0.83
Cheng Fang,female,0.57
Nikos Aréchiga,male,0.99
Behrouz Babaki,male,0.99
Zexuan Ji,male,0.65
Pierre Bourhis,male,0.99
Paul Harrenstein,male,1.0
Zhe Li,male,1.0
Xucheng Luo,male,1.0
Andrzej Kaczmarczyk,male,1.0
Nazli Ikizler-Cinbis,female,0.95
Xusheng Luo,male,0.97
Shujian Huang,male,0.93
Hao Wu,male,1.0
Senka Krivic,female,0.95
Jonathan P. Rowe,male,1.0
Mausam,male,0.79
Ling Shao,female,0.81
Yuying Li,female,0.93
Wen-Huang Cheng,male,1.0
Yongqing Wang,male,0.83
Ondrej Cepek,male,0.99
Bistra Dilkina,female,0.97
Markus Brill,male,1.0
Nan Li,female,1.0
Dusan Knop,male,1.0
Kalpa Gunaratna,male,0.64
Thomas Linsbichler,male,1.0
Simon Docherty,male,0.99
Xu Shen,male,0.88
Michael Barz,male,1.0
Raymond J. Mooney,male,1.0
Yao Li,male,0.83
Jiaqi Zhou,female,0.92
Chunliang Zhang,male,0.97
Bidisha Samanta,female,0.98
Hans Degroote,male,0.99
Clare Dixon,female,0.99
Jaegul Choo,male,1.0
Ankita Gupta,female,1.0
Pengtao Xie,male,1.0
Shaonan Wang,male,0.58
Xin Zhao,male,0.8
Binbin Chen,male,0.69
Christophe Lecoutre,male,1.0
Sandeep R. Panta,male,0.94
Alan L. Yuille,male,1.0
Zhou Zhao,male,0.6
Aniket Chakrabarti,male,1.0
Nianyi Li,female,0.86
Lin Liu,female,0.67
Congfu Xu,male,1.0
Gianluigi Greco,male,1.0
Shie Mannor,female,0.81
Nicola Gigante,male,0.81
