author_name,Gender,Gender Probability
Derek G. Bridge,male,1.0
Konrad Rawlik,male,1.0
Ka Man Lei,male,0.57
Guillaume Infantes,male,1.0
Mohan Sridharan,male,0.99
Kunpeng Zhang,male,0.98
Peter McBurney,male,1.0
Victor R. Lesser,male,1.0
Xiangyu Duan,male,0.69
Paul Scott,male,1.0
Phokion G. Kolaitis,unknown,0.0
David A. Cohen,male,1.0
Matthias Westphal,male,1.0
Wangsheng Zhang,male,1.0
Hai Zhuge,male,0.77
Klaus Berberich,male,0.99
Moritz Tenorth,male,1.0
Chang Wang,male,0.67
Mehdi Dastani,male,0.98
Teppo Mikael Niinimäki,male,0.99
Lukás Chrpa,male,1.0
Meghyn Bienvenu,female,1.0
Enrico Costanza,male,1.0
Sanjay Modgil,male,0.99
Brian Charles Williams,male,1.0
Nuria Oliver,female,0.99
Yangdong Ye,male,0.75
Satoshi Oyama,male,1.0
Denis Deratani Mauá,male,0.94
Alexander Felfernig,male,1.0
Minlue Wang,unknown,0.0
Wei Wu,male,1.0
Cheng Zhu,female,1.0
Aniruddha Bhargava,male,1.0
Wenji Mao,male,0.58
Yue Shi,female,0.67
Hans van Ditmarsch,male,0.99
Yuichi Yoshida,male,0.99
Levi H. S. Lelis,male,0.97
Longbing Cao,male,1.0
Gerhard J. Woeginger,male,1.0
Yuejie Zhang,female,0.63
Benjamin Zarrieß,male,1.0
Juan A. Rodríguez-Aguilar,male,0.99
Pierre Bourhis,male,0.99
Paul Harrenstein,male,1.0
Sean Brennan,male,1.0
Haili Dong,female,0.86
Wei Zhang,male,1.0
Chun Chen,male,0.89
Yves Lespérance,male,0.98
Mo Chen,male,0.85
Ling Shao,female,0.81
Nadia Creignou,female,0.99
Joshua B. Tenenbaum,male,1.0
Stuart Moran,male,1.0
Ching-Yung Lin,male,1.0
Pengtao Xie,male,1.0
Marc Cavazza,male,1.0
Eric Horvitz,male,1.0
Olivier Buffet,male,0.99
Sheng Li,male,0.6
Xiaoming Jin,male,0.79
Gianluigi Greco,male,1.0
Ramasuri Narayanam,unknown,0.0
Xiaojie Li,female,0.55
Jianfeng Lu,male,0.94
Sophie Martin,female,0.75
Samuel Nicol,male,0.99
Wei Feng,male,0.92
Luis Fariñas del Cerro,male,1.0
Nisarg Shah,male,1.0
Tom Schaul,male,0.99
Noam Peled,male,0.75
Hélène Fargier,female,1.0
Carlos A. Henríquez Q.,male,1.0
Zhihua Zhang,male,0.76
Takayuki Ito,male,1.0
Hiroki Yanagisawa,male,1.0
Mathijs Michiel de Weerdt,male,1.0
Naveen Sundar Govindarajulu,male,0.97
Xiaona Ren,female,0.98
Yong-Deok Kim,female,0.75
Marco Franchini,male,1.0
Mark Voortman,male,1.0
Maxime Latulippe,male,0.97
Christian Bessiere,male,0.99
Xinyuan Cai,female,0.67
Denis Cornaz,male,0.94
Ke Zhang,male,0.84
Ximing Wen,male,0.78
Masaaki Nagata,male,1.0
James McInerney,male,1.0
Biao Liu,male,0.98
Lior Rokach,male,0.71
Faruk Polat,male,1.0
Weixiong Zhang,male,0.96
Thomas Lukasiewicz,male,1.0
Joaquín Adiego,male,0.99
Andrea G. B. Tettamanzi,female,0.69
Shu-Jun Yang,unknown,0.0
Rong Yang,female,0.55
Guohui Xiao,male,0.92
Jianxin Wu,male,0.87
Joseph Keshet,male,0.99
Yalong Bai,male,0.92
Juhong Xu,male,0.68
Diane E. Kitchin,female,1.0
Monika Schubert,female,0.99
Malte Helmert,male,0.99
Barry Hurley,male,0.99
Mikolás Janota,male,0.69
Ryan P. Adams,male,0.99
Jianping Shi,male,0.7
Brian Logan,male,1.0
Shirui Pan,female,0.56
Stefano Alvisi,male,1.0
Zhiqiang Sui,male,1.0
Julien Hué,male,0.99
Alexander Reinefeld,male,1.0
Li Chen,female,0.92
Guang Ling,male,1.0
Xiaochun Cao,female,0.51
Ping Luo,female,0.61
Qiang Yang,male,1.0
Xuetao Ding,male,0.78
Pradeep Ravikumar,male,1.0
Malek Mouhoub,male,1.0
Ronan LeBras,male,1.0
Alice Miller,female,0.99
Alessio Lomuscio,male,0.99
Stanislav Zivný,female,0.5
Weidong Yang,male,0.97
Fang Kong,male,1.0
James T. Kwok,male,1.0
Yang Liu,male,0.58
José Luis Ambite,male,0.98
Wei Gao,male,1.0
Bo Yang,female,0.5
Jiangfeng Qu,male,0.96
Yali Wang,female,0.72
Stephen H. Muggleton,male,1.0
Hang Li,male,1.0
Mike Shann,male,1.0
Wu-Jun Li,unknown,0.0
Liang Du,male,0.92
John Licato,male,1.0
Kate Larson,female,0.99
Moshe Bitan,male,0.99
Fazlul Hasan Siddiqui,male,0.96
Frank Wolter,male,1.0
Zili Zhang,male,0.56
Thomas Ågotnes,male,1.0
Valentin Robu,male,0.99
Chenxia Wu,female,0.91
Kazuhiro Seki,male,1.0
Ju Fan,female,1.0
Radim Belohlávek,male,0.99
Martin Slota,male,0.99
Despoina Magka,female,0.99
Cristian Molinaro,male,0.99
Birte Glimm,female,0.98
Yiu-ming Cheung,male,1.0
Jure Zabkar,male,0.97
Partha Pratim Chakrabarti,male,1.0
Linas Baltrunas,male,0.97
Guangyou Zhou,male,1.0
Luc De Raedt,male,0.99
Enrique Romero,male,1.0
Deming Zhai,female,0.53
Paul R. Schrater,male,1.0
Jon M. Kleinberg,male,0.99
Zhen Wen,male,0.8
Roni Stern,male,0.74
Zheng Chen,male,1.0
Frédéric Flouvat,male,1.0
Yao Hu,male,0.9
Yuri Malitsky,male,0.61
Ming Zhou,male,0.67
Dana S. Nau,female,0.94
Frank Hutter,male,1.0
Torsten Schaub,male,1.0
Katsutoshi Hirayama,male,0.99
Jian-Huang Lai,female,0.51
Roman Kontchakov,male,0.99
Samantha Kleinberg,female,0.99
Alberto Suárez,male,1.0
Thorsten Schütt,male,1.0
Andrea Moro,male,1.0
Konstantinos Blekas,male,1.0
Benjamin Moseley,male,1.0
Nazha Selmaoui-Folcher,female,0.93
Rajeev Alur,male,1.0
Jonathan May,male,1.0
Ario Santoso,male,0.99
Martin Neil,male,1.0
Karl Tuyls,male,0.99
Jie Zhang,male,0.52
Vikas Joshi,male,1.0
Yang Bao,male,0.69
João Leite,male,1.0
Tingting Li,female,0.96
Heng Huang,male,1.0
John G. Stell,male,1.0
Lizhu Zhou,female,0.85
Martine De Cock,female,0.99
Lars Otten,male,1.0
Ho-fung Leung,male,1.0
Frédéric Koriche,male,1.0
Takayuki Katsuki,male,1.0
Daniel A. Spielman,male,0.99
Yilin Cai,female,0.95
Yi-Dong Shen,unknown,0.0
Chris H. Q. Ding,male,0.91
Florian Pommerening,male,1.0
Jérémy Sanhes,male,1.0
Sophie Pinchinat,female,0.99
Jussi Rintanen,male,0.98
Yuexian Hou,female,0.82
Marina Danilevsky,female,0.99
Ivan Bratko,male,0.99
Thomas Quaritsch,male,1.0
Sergio Flesca,male,1.0
Hau Chan,male,1.0
Boris Motik,male,0.99
Haoruo Peng,male,0.86
Natasha Alechina,female,0.99
Martijn de Jongh,male,1.0
Julien Filion,male,0.99
Bing Liu,male,0.8
Jin-Kao Hao,unknown,0.0
Dileep Kini,male,0.97
Simon Vernhes,male,0.99
Lydia Tlilane,female,0.99
Hui Fang,female,0.98
David B. Smith,male,1.0
Xuegang Hu,male,0.96
Giorgio Corani,male,0.99
Nando de Freitas,male,0.99
Yoram Bachrach,male,0.99
Dave de Jonge,male,1.0
Alessandro Moschitti,male,1.0
