author_name,Gender,Gender Probability
Dariusz Kucharski,male,1.0
Ali Parviz,male,0.98
Zeno Belligoli,male,0.95
Xiubo Geng,male,0.6
Francesco Ricca,male,1.0
Fabrizio Falchi,male,1.0
Han Liu,male,0.62
Vassilina Nikoulina,female,1.0
Ke Tang,male,0.84
Paul Höft,male,1.0
Olga Ohrimenko,female,0.99
Pascal Bercher,male,0.99
Guy Shani,male,1.0
Matthijs T. J. Spaan,male,1.0
Hyunjun Lee,male,0.98
Kai Chen,male,0.9
Junjian Huang,male,1.0
Xiao Liu,female,0.5
Mingyu Liu,male,0.66
Li He,female,1.0
Pedro A. Santos,male,0.99
Mengjie Shi,female,0.83
Yijun Duan,female,0.54
Darlene Cavalier,female,1.0
Jun Wang,male,1.0
Yuan Luo,male,0.53
Mehdi Dastani,male,0.98
Shu Hu,female,0.58
Salomé Eriksson,female,0.98
Jing Huo,female,0.78
Georgios Paliouras,male,1.0
Xing Jia,female,1.0
Zaipeng Xie,male,1.0
Haonan Chen,male,0.87
Hélène Waeselynck,female,1.0
Jan Mielniczuk,male,0.89
Chengjin Xu,male,0.65
Ronan Hamon,male,1.0
Sven Schewe,male,1.0
Alexander Felfernig,male,1.0
Yuxuan Ye,male,0.52
Tu Minh Phuong,female,0.78
Suman Sadhukhan,male,0.7
Fan Yang,female,0.76
Nicholas Teh,male,1.0
Massimo Mecella,male,1.0
Detian Zhang,male,0.87
Juntao Tan,male,0.92
Nawal Benabbou,female,0.95
Eduardo Fernandes Montesuma,male,1.0
Bingchao Wang,male,0.86
Jia Pan,female,1.0
Krystian Radlak,male,0.99
Cheng Zhou,male,1.0
Nicolas Szczepanski,male,1.0
Yu Liu,female,0.51
Andrzej Kaczmarczyk,male,1.0
Meng Cao,male,0.66
Jie Gao,male,0.52
Yan Liu,female,0.5
Luigi Bonassi,male,0.99
Jie Wu,male,1.0
Yan Zheng,male,0.67
Di Chen,male,0.5
Dusan Knop,male,1.0
Haoran Yu,male,0.97
Chunwei Wu,male,0.83
Sumeet Gupta,male,0.94
Jean-Raphaël Gaglione,male,1.0
Xin Cong,male,1.0
Peter A. N. Bosman,male,1.0
Jiacheng Liu,male,0.99
Federico Alberici,male,1.0
Jianping Wang,male,0.7
Dongkun Lee,male,1.0
Mineichi Kudo,male,1.0
Xiaojun Shi,male,0.68
Xintong Wang,female,0.84
Zhenhuan Liu,male,0.9
Silvan Sievers,male,0.97
Qinfei Huang,female,0.75
Yan Liu,female,0.5
Gianluigi Greco,male,1.0
Ramasuri Narayanam,unknown,0.0
Kyuseok Shim,male,1.0
Nicola Gigante,male,0.81
Fabio Somenzi,male,1.0
Sen Hu,male,0.88
Shweta Bhumikaa Jain,female,1.0
Dominik Zurek,male,0.99
Arundhati Banerjee,female,1.0
Nimrod Talmon,male,0.99
Yirui Chen,female,0.68
Daniel Schmand,male,0.99
Hanchen D. Wang,male,0.71
Lu Sun,female,0.86
Vito Walter Anelli,male,0.99
Wenbin Zhang,male,0.95
Kai Ouyang,male,0.91
Cui Tao,male,1.0
Subrat Kumar Swain,male,1.0
Jie Yang,male,1.0
Jens Lehmann,male,1.0
Yuhan Dong,female,0.87
Yihao Sun,male,0.94
Yousif Almulla,male,0.97
Gianmarco Parretti,male,1.0
Zhen Wang,male,0.85
Lyndon Benke,male,1.0
Cristóbal Rojas,male,0.99
Jun Wang,male,1.0
Daxin Liu,male,0.96
Jing Wu,male,1.0
Wanli Ouyang,male,0.71
Yanhao Wang,male,0.83
Sen Wang,male,1.0
Alexander W. Goodall,male,1.0
Libing Wu,male,0.51
Thomas Lukasiewicz,male,1.0
Manfred Herrmann,male,1.0
Ming Gao,male,1.0
Jeremias Berg,male,0.99
Garima Shakya,female,1.0
Huanqin Ping,female,0.57
Bakh Khoussainov,male,0.9
Geng Tu,female,0.54
Frank Rudzicz,male,1.0
Jonathan Ferrer-Mestres,male,1.0
Bhavyajeet Singh,male,1.0
Dengpeng Xing,male,1.0
Yue Hu,female,0.67
Xiangying Wu,female,0.77
Yun Xiong,female,0.62
Seongwoong Oh,male,1.0
Amir Rezaei Balef,male,0.97
Pankaj Dayama,male,0.98
Redha Taguelmimt,male,0.98
Svitlana Vakulenko,female,0.99
Zhiying Deng,female,0.83
Chenhao Wang,male,0.96
Qi Qi,female,0.86
Jueming Hu,male,1.0
Dengdi Sun,female,0.51
Yiqun Zhang,female,0.52
Javier Segovia-Aguas,male,1.0
Filip Ilievski,male,0.99
Shigeng Zhang,male,1.0
Xiangfu Zhao,male,0.94
Mikolás Janota,male,0.69
Brian Logan,male,1.0
Surya Shravan Kumar Sajja,male,1.0
Yongfeng Huang,male,0.95
Zhihui Fu,male,0.55
Ziqi Liu,female,0.92
Tong Shen,male,1.0
Kangyang Luo,female,0.89
Yang Song,female,0.5
Wei Wang,male,1.0
Yan Guo,male,1.0
Manish Gupta,male,1.0
Lin Ma,female,0.67
Yi Wang,male,1.0
Shuai Chen,male,0.83
Pradeep Ravikumar,male,1.0
Yicheng Chen,male,0.96
Jiazhong Chen,male,0.91
Qi Liu,male,0.85
Yubing Ren,female,0.62
Yun Li,female,0.81
Mihai Pomarlan,male,0.98
Wolfgang Stammer,male,1.0
Guanqi Chen,male,0.79
Viktor Besin,male,1.0
Nic Wilson,male,0.86
Daxin Jiang,male,0.96
Qingfa Xiao,male,0.83
Yuwen Wang,female,0.67
Qinwei Huang,male,0.62
Amir Gholami,male,0.97
Baogui Xu,male,0.71
Qingying Sun,female,0.91
Yu-Ping Ruan,female,0.64
Giuseppe Perelli,male,0.99
Jingzhang Sun,male,1.0
Jeff Schneider,male,1.0
Bisheng Tang,male,0.64
Lin Gui,female,1.0
Haihong Yang,female,0.67
Ying-Cong Chen,male,0.52
Resmi RamachandranPillai,female,0.6
Tian Lan,male,0.53
Edward Raff,male,1.0
Shengcai Liu,male,1.0
Qiang Cao,male,0.95
Yiu-ming Cheung,male,1.0
Xiaolei Diao,male,0.58
Smaïl Niar,male,0.98
Sahar Vahdati,female,0.94
Yuanyu Wan,female,0.55
Jinshan Ma,male,0.71
Yunhao Yuan,male,0.88
Roni Stern,male,0.74
Guifei Jiang,female,0.75
Alexander Shleyfman,male,1.0
Azzurra Ragone,female,0.99
Qun Li,male,1.0
