author_name
Xiaoping Chen
Juan Antonio Recio-García
Sven Seuken
Moshe Y. Vardi
Wei Liu
Alon Y. Halevy
Laura Wynter
Sanjiang Li
Yizhong Liang
Mahito Sugiyama
Ricardo de Aldama
Michael Codish
Jae Hee Lee
R. Bruce van Dover
Mohamed Elsayed Hussein
Bo Xu
Adnan Darwiche
Mingjie Qian
Zuoguan Wang
Katsuhiko Ishiguro
Gang Pan
Ulrich Schaechtle
Alessandro Artale
Stephanie Rosenthal
Pascal Poupart
Chengxiang Zhai
Wenliang Zhong
Elias Ruiz
Eamonn J. Keogh
Jiqing Han
Subbarao Kambhampati
De-Chuan Zhan
Tom Rodden
Xiaofei Guo
Riddhiman Ghosh
Satyen Kale
Jialei Wang
Francisco C. Santos
Manuele Bicego
Hassan L. Hijazi
Michael J. Wooldridge
Lluís Màrquez
Amit Sharma
Yuqian Li
Sophie Tourret
Edith Hemaspaandra
Joel E. Fischer
Simina Brânzei
Selmer Bringsjord
Timo von Oertzen
Mirella Lapata
Yingbiao Ling
Liangda Fang
Jonathan Gratch
Dacheng Tao
Jean-Guy Mailly
Slobodan Vucetic
Zack Fitzsimmons
Evdokia Nikolova
Yi Fan
Noam Slonim
Anton Dries
Yu Cheng
Daisuke Hatano
Charles Orgill Gretton
Mo Yu
Jialu Liu
Michael James Gratton
Shlomo Zilberstein
Jonathan Lawry
Qiaoming Zhu
Laurent Simon
Zheng Qian
Trong Nghia Hoang
Martha Anne Flinders Lewis
Jinfeng Zhuang
Meichun Hsu
François Charpillet
Rolf Pfeifer
Thorsten Liebig
Agustín Valverde
Chang-Tien Lu
Maurice Pagnucco
Alessandro Previti
Till Mossakowski
Ziyu Wang
Akinori Fujino
Ronald Alford
Michaël Thomazo
Songshan Guo
Jilles Steeve Dibangoye
Hua Wang
Alvis Cheuk M. Fong
Christos Hadjinikolis
Eric P. Xing
Peifeng Li
Christopher J. Hazard
Cyril Leung
Siwei Jiang
Weiwei Cheng
Gerhard Brewka
Qing He
Daniel Ellis Holman
Marina Velikova
James P. Delgrande
Zhouyu Fu
Xudong Luo
Oskar Skibski
Yajuan Lv
Jean-François Boulicaut
Rong Pan
David Poole
Bernardo Cuenca Grau
Shixiang Lu
Sarvapali D. Ramchurn
Zhong-Qiu Zhao
Rodrigue Talla Kuate
Shou-De Lin
Wei Li
Rafael Peñaloza
Yisong Wang
Aliaksei Severyn
Wei Xue
Jiliang Tang
Chunhua Tian
Tobias Scheffer
Chia-Li Kuo
Futoshi Naya
Zhongming Jin
Daniel Borrajo
Long-Kai Huang
Genmao Yang
Wei Li
Yu Lei
Guoji Zhang
Paul Weng
Franz Wotawa
Hao Wang
Frans Adriaan Oliehoek
Mohammad Abdelaziz Gowayyed
Jie Cao
Jakub Michaliszyn
Munindar P. Singh
Ángel Mora
Pablo Morales-Mombiela
Hootan Nakhost
Wei Zhang
Xiaogang Wang
Zhihua Zhang
James Everett Young
Yunxia Xue
Prateek Jindal
Zhiwu Lu
Takayuki Osogami
Arzoo Katiyar
Craig Boutilier
Joel Oren
Yu Zhang
Vladimir Lifschitz
Patrice Perny
R. Preston McAfee
Junlong Zhou
Cam-Tu Nguyen
Qi Gao
Xiaofang Zhou
Yundi Qian
Fumiya Iida
Xingquan Zhu
Yingbin Zheng
Christoph Lange
Oliver Kutz
Hai H. Wang
Xiaoqiang Yan
Salvatore Ruggieri
Yahong Han
Jieping Ye
Toby Walsh
Sunho Park
Michael Beetz
Nouhad Amaneddine
Juanzi Li
Amr Ahmed
Vikas K. Garg
Vladislav Ryzhikov
Georg Gottlob
Michael Sioutis
Andreas Steigmiller
Hai Zhao
Edouard Bonnet
Hiroshi Sawada
Yuheng Hu
Yunsong Meng
Gerhard Weikum
Amey Karkare
Junjie Wu
Marc Toussaint
Jeff Z. Pan
Jian-Min Ji
Andrei Popescu-Belis
Tjitze Rienstra
Yi Yang
Geert-Jan Houben
Guibing Guo
Jianke Zhu
George Katsirelos
Stefan Wermter
Agnieszka Kulacka
Zhenying He
Huiji Gao
Weike Pan
Naiqi Li
Mikhail Bilenko
Olivier Spanjaard
Mélanie König
Jiajun Bu
Pan Gu
Lijing Qin
Jian Pu
Marc Schoenauer
Haizhong Wang
Mark H. M. Winands
Martha A. Larson
Gilles Audemard
Nemanja Djuric
Can Wang
Marco Montali
Hui Xiong
Yi Zhen
Marian-Andrei Rizoiu
Johann Dréo
Barry Smyth
Anton Belov
Baihua Xiao
Davide Grossi
Julian Gutierrez
Quang-Cuong Pham
Kai Ming Ting
Pablo Hernandez-Leal
Bei Xu
Udi Ben-Arie
Peng Yu
Alexander Clifford Perzylo
Stefan Wölfl
Sumit Gulwani
Jonathan Rubin
L. Venkata Subramaniam
Logan Gittelson
Milind Tambe
Yan Zhang
Ehsan Abbasnejad
Enrico H. Gerding
Romain Reuillon
Haiping Lu
Haitham Bou-Ammar
Yue Zhang
Fang Wang
Jeremiah Blocki
Fabio Patrizi
Nina Narodytska
Alberto Barrón-Cedeño
Mark B. Ring
Xin Yao
Michael Pomeranz
Florian Jamain
Zhuoye Ding
Shuchang Zhou
Jie Fan
Rudy Raymond
Sridhar Mahadevan
Stefan Borgwardt
Markus Krötzsch
Gerwin Schalk
Edith Elkind
Junsheng Zhou
Jianyong Wang
Brendan Juba
Ngoc Cuong Truong
Curtis Glen Menton
Nir Oren
Xiao Ling
Raz Lin
Chunyan Miao
Álvaro Torralba Arias de Reyna
Heng Zhang
Carla P. Gomes
Emmanuel Hebrard
Xuelei Hu
Piotr L. Szczepanski
Maria Vanina Martinez
Dmitriy Zheleznyakov
Yusheng Xie
Shuangyin Li
Vaishak Belle
Eunho Yang
The Anh Han
Ou Hui
Prashant Doshi
Sebastian Sardiña
Gregory M. Provan
Xue Chen
Priyanka Agrawal
Xiaoyan Zhu
Xiaoli Li
Ian Horrocks
Kaile Su
Deyi Xiong
Hector Geffner
Alexander Feldman
Hannes Strass
Jing Wang
Shahab Tasharrofi
Pei Yang
Zizhen Zhang
Alexander Bochman
Lachlan McCalman
Nir Lipovetzky
Huan Liu
Guo-Xian Yu
John K. Slaney
Wentao Fan
Andreas Krause
Jun-Ming Xu
Daniel Hernández-Lobato
Stefan Ellmauthaler
Ngo Anh Vien
Tianyi Zhou
Sylvie Thiébaux
Mingyu Guo
Wei-Shi Zheng
Dan Roth
Maria Luisa Bonet
Steven C. H. Hoi
Gal Raz
Massimiliano Cattafi
Takuya Iwamura
Lutz Schröder
Priyankar Ghosh
Adam Sadilek
Guoqing Chao
Yujia Li
Javier Larrosa
