author_name,Gender,Gender Probability
Alessandro Agostini,male,1.0
Branislav Katreniak,male,0.99
Shell-Ying Huang,male,0.54
Juan José Rodríguez,male,1.0
Emil Gatial,male,0.99
Alberto Palomares,male,1.0
Pierre Marquis,male,0.99
Trinh Minh Tri Do,male,0.91
Cristiano Castelfranchi,male,1.0
Guillaume Infantes,male,1.0
Laszlo Szathmary,male,0.99
Huy Pham,male,0.98
Daniel Olmedilla,male,0.99
Julien Laumonier,male,0.99
Hector J. Levesque,male,1.0
Laure Vieu,female,0.98
Mahdi Zargayouna,male,0.97
Jean Lieber,female,0.62
Philippe Besnard,male,1.0
Primo Zingaretti,male,0.99
Henri Briand,male,0.98
Radu Marinescu,male,0.94
Marcus Hund,male,1.0
Johannes Fürnkranz,male,1.0
Alberto Finzi,male,1.0
Padraig Cunningham,male,1.0
Petri Myllymäki,male,0.82
Peter Poller,male,1.0
Antoine Rolland,male,0.99
Onn Shehory,male,0.84
Thomas Meyer,male,1.0
Gerold Schneider,male,1.0
Sven Meyer zu Eissen,male,1.0
Mar Marcos,female,1.0
Mehdi Dastani,male,0.98
Yilian Qin,female,0.95
Nicklas Forsell,male,1.0
Nathalie Peyrard,female,0.99
Daniel Le Berre,male,0.99
Klaus Brinker,male,0.99
Ian Miguel,male,1.0
Fabio Gadducci,male,1.0
Laura Giordano,female,0.99
Enrico Giunchiglia,male,1.0
Alexis Tsoukiàs,male,0.85
Alexander Felfernig,male,1.0
Huiliang Zhang,male,0.82
Javier Larrosa,male,1.0
Son Bao Pham,male,0.69
Chiaki Sakama,female,0.94
Roie Zivan,male,0.94
Steven Halim,male,1.0
Valentina Poggioni,female,0.99
Tsz-Chiu Au,female,0.54
Richard Tichy,male,1.0
Vincent Vidal,male,0.99
Uwe Egly,male,1.0
Brahim Chaib-draa,male,0.98
Stella Heras Barberá,female,0.99
Angelo Oddi,male,0.99
Nikolaos M. Avouris,male,1.0
Georgios Sakellariou,male,1.0
Maria Silvia Pini,female,1.0
Bruno Beaufils,male,1.0
Donatella Guarino,female,1.0
Gabriele Monfardini,male,0.86
Adam Zagorecki,male,0.98
Juan A. Rodríguez-Aguilar,male,0.99
Toni Mancini,female,0.52
