author_name,Gender,Gender Probability
John O'Donovan,unknown,0.0
Fábio Gagliardi Cozman,unknown,0.0
Xiaochun Cheng,unknown,0.0
Bernadette Martínez Hernández,unknown,0.0
Francesco Ricca,unknown,0.0
Kenji Shoji,unknown,0.0
Russell Greiner,unknown,0.0
Shinichi Nakajima,unknown,0.0
Oisín Boydell,unknown,0.0
Doina Precup,unknown,0.0
Pierre Marquis,unknown,0.0
Philip Kilby,unknown,0.0
Christine Clark,unknown,0.0
Yong Gao,unknown,0.0
Doug Downey,unknown,0.0
Eugene C. Freuder,unknown,0.0
Neal Snooke,unknown,0.0
Franz Baader,unknown,0.0
Igor Cavrak,unknown,0.0
Hector J. Levesque,unknown,0.0
Nicola Leone,unknown,0.0
Michael D. Moffitt,unknown,0.0
Alexander Bochman,unknown,0.0
Victor R. Lesser,unknown,0.0
Petri Kontkanen,unknown,0.0
Huan Liu,unknown,0.0
Raghu Ramakrishnan,unknown,0.0
John K. Slaney,unknown,0.0
Masahiro Fujita,unknown,0.0
Joseph Kopena,unknown,0.0
Edmund H. Durfee,unknown,0.0
Igor Razgon,unknown,0.0
Andreas Krause,unknown,0.0
Jason Andrew Wolfe,unknown,0.0
Radu Marinescu,unknown,0.0
David A. Cohen,unknown,0.0
Alberto Finzi,unknown,0.0
Brian C. Williams,unknown,0.0
Rita Sharma,unknown,0.0
Stephen Soderland,unknown,0.0
Jeffrey Junfeng Pan,unknown,0.0
Padraig Cunningham,unknown,0.0
Ari K. Jónsson,unknown,0.0
Daniel Winterstein,unknown,0.0
Ehud Reiter,unknown,0.0
Petri Myllymäki,unknown,0.0
Hans Tompits,unknown,0.0
Geoffrey E. Hinton,unknown,0.0
David C. Parkes,unknown,0.0
Wenbin Chen,unknown,0.0
Dan Roth,unknown,0.0
Julie Porteous,unknown,0.0
Blake Hannaford,unknown,0.0
Michael Thielscher,unknown,0.0
Stacy Marsella,unknown,0.0
Peter Haddawy,unknown,0.0
David C. Wilkins,unknown,0.0
David Rajaratnam,unknown,0.0
Sylvain Lagrue,unknown,0.0
Neil Madden,unknown,0.0
Aaron Sloman,unknown,0.0
Vítor Santos Costa,unknown,0.0
Miguel Ángel Sotelo,unknown,0.0
Pedro Meseguer,unknown,0.0
Eyal Amir,unknown,0.0
Mark H. Liffiton,unknown,0.0
Dorian Suc,unknown,0.0
Gerald Steinbauer,unknown,0.0
Richard Dearden,unknown,0.0
Arnab Dhua,unknown,0.0
Michael P. Wellman,unknown,0.0
Edwin O. Heierman III,unknown,0.0
Jens-Steffen Gutmann,unknown,0.0
Emir Kapanci,unknown,0.0
Wolfgang Faber,unknown,0.0
John L. Bresina,unknown,0.0
Francesco Calimeri,unknown,0.0
Ian Miguel,unknown,0.0
Kenji Araki,unknown,0.0
Gal Bahar,unknown,0.0
David A. McAllester,unknown,0.0
Cèsar Fernández,unknown,0.0
Marc Gyssens,unknown,0.0
Robert F. Lax,unknown,0.0
René Bañares-Alcántara,unknown,0.0
William C. Regli,unknown,0.0
Helmut Horacek,unknown,0.0
Matjaz Gams,unknown,0.0
Hiroshi Motoda,unknown,0.0
Julien Velcin,unknown,0.0
Christoph Lüth,unknown,0.0
Alan M. Frisch,unknown,0.0
Yaniv Hamo,unknown,0.0
Javier Larrosa,unknown,0.0
Deepak Ramachandran,unknown,0.0
Adnan Darwiche,unknown,0.0
Brian Milch,unknown,0.0
José del R. Millán,unknown,0.0
Chiaki Sakama,unknown,0.0
Marco Ragni,unknown,0.0
Valentina Poggioni,unknown,0.0
Jean-Francois Puget,unknown,0.0
Somayajulu Sripada,unknown,0.0
Guillaume Letellier,unknown,0.0
Adrian Petcu,unknown,0.0
Elena Sánchez-Nielsen,unknown,0.0
Magnus Danielsson,unknown,0.0
Trevor J. M. Bench-Capon,unknown,0.0
Minh Binh Do,unknown,0.0
Michael R. James,unknown,0.0
Paul E. Dunne,unknown,0.0
Dale Schuurmans,unknown,0.0
Amy Loutfi,unknown,0.0
Avi Pfeffer,unknown,0.0
Laurence White,unknown,0.0
I-Fan Shen,unknown,0.0
Pascal Poupart,unknown,0.0
Lawrence Mandow,unknown,0.0
Moshe Tennenholtz,unknown,0.0
Branislav Kveton,unknown,0.0
Ben Hachey,unknown,0.0
Georgios Sakellariou,unknown,0.0
Romuald Debruyne,unknown,0.0
