author_name,Gender,Gender Probability
Karim Tabia,male,0.98
Mohamed Nadif,male,1.0
África López-Illescas,female,0.98
Shell-Ying Huang,male,0.54
Richárd Farkas,male,1.0
Tadasu Uchiyama,male,0.94
Meritxell Vinyals,female,1.0
Hector Geffner,male,1.0
Pierre Marquis,male,0.99
Guillaume Infantes,male,1.0
Nuno C. Marques,male,1.0
Madalina Croitoru,female,0.99
Carlos Ansótegui,male,1.0
Franz Baader,male,0.99
Albert Bifet,male,0.99
Takehide Soh,male,1.0
Julien Lesca,male,0.99
Talal Rahwan,male,0.98
Krishna Sandeep Reddy Dubba,male,0.94
Manuela M. Veloso,female,0.99
Corrado Loglisci,male,1.0
Alberto Finzi,male,1.0
Orlando Ohashi,male,0.99
Matthias Westphal,male,1.0
Padraig Cunningham,male,1.0
Sylvie Thiébaux,female,0.99
Alessandro Cucchiarelli,male,1.0
Xavier Aimé,male,0.85
Tero Laitinen,male,0.98
Dominik Jain,male,0.99
Kateryna Tymoshenko,female,1.0
Hans Tompits,male,0.99
Kyriakos C. Chatzidimitriou,male,1.0
David C. Parkes,male,1.0
Kevin Tierney,male,1.0
Tarik Hadzic,male,0.98
Nizar Messai,male,0.97
Mehdi Dastani,male,0.98
Ryszard Kowalczyk,male,1.0
Pedro Meseguer,male,0.99
Junming Huang,male,0.95
Nils Bulling,male,1.0
John Levine,female,1.0
Nathalie Peyrard,female,0.99
Sanjay Modgil,male,0.99
Reinaldo A. C. Bianchi,male,1.0
Lutz Schröder,male,0.99
Norman Salazar,male,0.99
Manuel Baena-García,male,0.99
Ian Miguel,male,1.0
Cèsar Fernández,male,0.99
Enda Keane,female,0.63
Jae Hee Lee,male,0.76
Laura Giordano,female,0.99
Alexis Tsoukiàs,male,0.85
Wassila Ouerdane,female,0.97
Alexander Felfernig,male,1.0
Thomas Génin,male,1.0
Huiliang Zhang,male,0.82
Theofrastos Mantadelis,male,1.0
Marie-Dominique Devignes,female,0.99
Amir Hossein Razavi,male,0.97
Emil Keyder,male,0.99
Adnan Darwiche,male,0.99
Rodney W. Topor,male,1.0
Aladdin Ayesh,male,0.98
Marco Ragni,male,1.0
Ray Reza Amini,male,0.98
Alneu de Andrade Lopes,unknown,0.0
Araceli Sanchis,female,0.99
Trevor J. M. Bench-Capon,male,1.0
Hans van Ditmarsch,male,0.99
Henry Soldano,male,0.99
Paul E. Dunne,male,1.0
Hongyang Qu,male,0.78
Carles Sierra,male,0.99
Frédéric Fürst,male,1.0
