author_name
Diedrich Wolter
David Lorenzo
António Ribeiro
Alessandro Sperduti
Alessandro Agostini
Peter Jarvis
Pierre Marquis
Béatrice Fuchs
Cristiano Castelfranchi
Philip Kilby
Steffen Staab
Eugene C. Freuder
Olivier Ferret
Giorgio Satta
Hector J. Levesque
Laura Sebastia
Alexander Maedche
Jean Lieber
Nathanaël Rota
John K. Slaney
William J. Black
Johannes Fürnkranz
Diana Cukierman
Ari K. Jónsson
Alberto Riva
Sylvie Thiébaux
Alessandro Cucchiarelli
Pedro Barahona
Erik Skarman
Peter Poller
Rik Gerrits
Toramatsu Shintani
Hans Tompits
Maurice D. Mulvenna
Carlos Areces
Sam Watson
Mitsunori Matsushita
Paolo Liberatore
Daniele Theseider Dupré
Corinna Richter
Érick Alphonse
Ian Miguel
Clara Bagnasco
Louise Travé-Massuyès
Frédérick Garçia
Helmut Horacek
Laura Giordano
Alberto Lavelli
Alexis Tsoukiàs
Alexander Felfernig
Mark Lee
Ioannis Refanidis
Mario Martín
Erica Melis
Sung Wook Baik
Angelo Oddi
Romuald Debruyne
Miguel Toro
Emil Weydert
Christophe Vaudry
Johan Wiklund
Yves Lespérance
Henrik Grosskreutz
Alain Bidault
Andrea Panati
Jean-Christophe Baillie
Andreas Seyfang
João Marques-Silva
Michael J. Wooldridge
Lluís Màrquez
Churn-Jung Liau
Thorsten Belker
José Gabriel Pereira Lopes
Mihai Barbuceanu
Sylvie Coste-Marquis
Alex G. Büchner
Patrick Rammelt
Dietmar Jannach
François Lévy
Nicola Olivetti
Massimo Ferraro
William Millar
Cora B. Excelente-Toledo
Christine Largouët
Barbara M. Smith
Wolfgang Rosenstiel
Ioannis P. Vlahavas
Antonio D'Angelo
Michel Dumas
Ramón P. Otero
Johannes Matiasek
P. Pandurang Nayak
Marie-Odile Cordier
Jimmy Ho-Man Lee
Lars Asker
Jonas Kvarnström
Christine Froidevaux
Jeremy Pitt
Paolo Frasconi
Patrice Lopez
Silvia Miksch
Bob Kanefsky
Francesco M. Donini
Gerhard Lakemeyer
Elizabeth McKenna
Grigoris Antoniou
José Cristóbal Riquelme Santos
Jérôme Lang
