author_name
Lawrence C. Walters
David Levine
Jussi Rintanen
Dongmo Zhang
Olivier Bernard
Mark Witkowski
Jonathan Schaeffer
Gilles Dequen
Martha Stone Palmer
Andreas Herzig
Adriana Zapico
Ronen I. Brafman
Henrik Jacobsson
Jin-Kao Hao
Floriana Esposito
Lucas Bordeaux
Jeffrey O. Kephart
Massimo Narizzano
Hiroshi Ishiguro
Stefano Ferilli
Andrew Gilpin
Luca Chittaro
Fabio Aiolli
Michael H. Bowling
Kalyan Moy Gupta
Alessandro Moschitti
Maria Fox
Andrei A. Krokhin
Micha Janssen
Ulrike Sattler
David A. Randell
Bob Price
Piotr J. Gmytrasiewicz
Dimitris Achlioptas
Randall Davis
Antonis C. Kakas
William E. Walsh
Yoav Shoham
Tuomas Sandholm
James Reich
Wen-tau Yih
Rong Zhou
Philip R. Cohen
Marc Denecker
Leonardo Romero
Fredrik Linåker
Stuart Russell
Hideo Shimazu
Holger H. Hoos
Fatma Ozcan
Lina Khatib
Steven Mitchell
Salem Benferhat
Gabriele M. T. D'Eleuterio
James N. K. Liu
Maurizio Panti
Alessandro Saffiotti
Wee Kheng Leow
XuanLong Nguyen
Thomas L. Dean
Yue Cao
Jianwen Yin
Luca Spalazzi
Francesca Rossi
Fei Xia
Thomas Eiter
Tony Belpaeme
Xuequan Sun
Thierry Vidal
Kee-Eung Kim
Attilio Giordana
Mikhail Soutchanski
Patrick Doherty
Susan Craw
Lars Karlsson
Simon Parsons
Jayant Kalagnanam
Carla P. Gomes
Pavlos Peppas
Vili Jussila
Takashi Kokubo
Bernhard Nebel
V. S. Subrahmanian
Rajarshi Das
Yan Zhang
Petr Hájek
Josefina Sierra-Santibáñez
Michael H. Coen
Guy W. Mineau
Yongshao Ruan
Stéphane Cardon
Manfred Jaeger
Wang Ying
G. Neelakantan Kartha
Gerald Pfeifer
Pedro M. Domingos
Henry A. Kautz
Diego Calvanese
Giovanni Semeraro
Shifu Chen
Foster J. Provost
Alain Dutech
Jean-Charles Régin
Ian Horrocks
Marta Eso
Alan C. Schultz
