author_name,Gender,Gender Probability
Claudia Hess,female,0.99
John O'Donovan,male,1.0
Fábio Gagliardi Cozman,male,1.0
Linda Peelen,female,0.99
G. Praveen,male,1.0
Dan Yang,female,1.0
Bernadette Martínez Hernández,female,1.0
Kwong-Sak Leung,male,0.64
Stuart N. K. Watt,male,1.0
Kenji Shoji,male,0.99
Chee K. Wong,male,0.68
Russell Greiner,male,1.0
Doina Precup,female,0.99
Vishwajeet Singh,male,1.0
Pierre Marquis,male,0.99
Yuehua Xu,female,0.75
Cristiano Castelfranchi,male,1.0
Madalina Croitoru,female,0.99
Laszlo Szathmary,male,0.99
Doug Downey,male,1.0
Mohan Sridharan,male,0.99
Aakanksha Gagrani,female,1.0
Nicolas Baskiotis,male,1.0
Carlos Ansótegui,male,1.0
Donald Metzler,male,1.0
Eugene C. Freuder,male,0.99
Christopher Amato,male,1.0
Daniel J. Lizotte,male,0.99
Franz Baader,male,0.99
Jan Struyf,male,0.89
Hector J. Levesque,male,1.0
Kiyoshi Izumi,male,0.98
Michael D. Moffitt,male,1.0
Michael E. Samples,male,1.0
Renu Kurien Bostwick,female,0.97
Abhaya C. Nayak,male,0.87
Xiangyu Duan,male,0.69
Michael Esser,male,1.0
Murray Patterson,male,0.99
Talal Rahwan,male,0.98
Guy Shani,male,1.0
Huan Liu,male,1.0
Christopher L. Barrett,male,1.0
Maurizio Lenzerini,male,1.0
Jean Lieber,female,0.62
Andreas Krause,male,1.0
Adrian Kaehler,male,0.99
Manuela M. Veloso,female,0.99
Mehran Asadi,male,0.99
Andreas Wendemuth,male,1.0
Changshui Zhang,unknown,0.0
Andrew M. Lovett,male,1.0
Alberto Finzi,male,1.0
Yee Whye Teh,male,0.52
Wenhui Liao,female,0.55
Raúl Rojas,male,1.0
Young-In Shin,male,0.55
Madhav V. Marathe,male,1.0
Pavithra Babu,female,0.99
Stephen Soderland,male,1.0
Hujun Bao,male,0.88
Jeffrey Junfeng Pan,male,1.0
Joshua Goodman,male,1.0
Conor Hayes,male,1.0
Sylvie Thiébaux,female,0.99
Morteza Dehghani,male,0.98
Sabyasachi Saha,male,0.99
Saroj Kaushik,male,0.73
Jia Li,female,0.84
Qiang Ji,male,0.95
Yorick Wilks,male,1.0
Pierre Le Maigat,male,0.99
Hans Tompits,male,0.99
Jonathan P. Pearce,male,1.0
Hong-Bin Dai,male,0.67
Dan Roth,male,0.99
Krishna P. Miyapuram,male,0.85
Xiaohua Zhou,female,0.69
Jin Huang,male,1.0
Don Poldermans,male,0.99
Tarik Hadzic,male,0.98
Dirk Walther,male,1.0
M. C. Nataraja,male,0.87
Richard Edwin Stearns,male,1.0
Lane A. Hemaspaandra,male,0.7
Shin-ichi Minato,male,0.99
Maria Luisa Bonet,female,0.99
Facundo Bromberg,male,1.0
Jianqiang Shen,male,0.99
Ilgaz Sungur,male,0.64
M. Syamala Devi,female,0.92
Shigeki Sagayama,male,1.0
Lucy Vanderwende,female,0.99
Vítor Santos Costa,male,1.0
Rayid Ghani,male,0.97
Elsa D. Angelini,female,0.99
Pedro Meseguer,male,0.99
Sven Seuken,male,1.0
Rajiv T. Maheswaran,male,1.0
Michael S. Ryoo,male,1.0
Eyal Amir,male,1.0
Wei Liu,male,0.69
David Lawless,male,1.0
Senjian An,male,1.0
Sabri Bayoudh,male,0.9
Daniele Theseider Dupré,male,0.92
Svetha Venkatesh,female,1.0
Craig A. Tovey,male,1.0
Jorge Jambeiro Filho,male,1.0
Michael P. Wellman,male,1.0
Roni Khardon,male,0.74
Reinaldo A. C. Bianchi,male,1.0
Irfan A. Essa,male,0.98
A. E. Eiben,male,0.65
Klaus Brinker,male,0.99
Georgios Chalkiadakis,male,1.0
Wolfgang Faber,male,1.0
Ian Miguel,male,1.0
David Guthrie,male,1.0
Sanjiang Li,male,1.0
Nico von Hoyningen-Huene,male,0.95
Yilan Gu,female,0.7
Donald S. Fussell,male,1.0
Daniel J. Rosenkrantz,male,0.99
Vincent Ng,male,1.0
Sylvia Estivie,female,1.0
Mengqiu Wang,female,0.82
Hong Chang,male,1.0
Guang Dai,male,0.9
Paul Baumstarck,male,1.0
Rajesh P. N. Rao,male,0.99
Benjamin Sapp,male,1.0
Ryan F. Kelly,male,0.99
William C. Regli,male,1.0
Claire Cardie,female,1.0
Yong Shi,female,0.5
Narayanan Unny Edakunni,female,0.58
Seungchan Kim,male,0.96
Bo Xu,male,0.77
George Dimitri Konidaris,male,0.99
Alan M. Frisch,male,1.0
Brett Benyo,male,1.0
J. Andrew Bagnell,male,1.0
Pasquale Lops,male,0.99
Juan Carlos Santamaría,male,0.99
Deepak Ramachandran,male,0.99
Adnan Darwiche,male,0.99
François Dubeau,male,0.99
Stéphane Galland,male,0.99
Antonio Bahamonde,male,0.99
Roie Zivan,male,0.94
Seungjin Choi,male,0.86
Abder Koukam,male,0.98
Manu Sharma,male,1.0
Vishal Soni,male,1.0
Jicheng Zhao,male,0.91
Jieshan Lu,male,0.55
Michel C. A. Klein,male,0.94
Eric Breck,male,1.0
Adrian Petcu,male,0.99
Yejin Choi,female,0.99
Sheila A. McIlraith,female,1.0
Enrico Malizia,male,1.0
Megan M. Olsen,female,1.0
Vincent Vidal,male,0.99
Minh Binh Do,male,0.75
Michael R. James,male,1.0
Andrew H. Sung,male,1.0
Aviv Zohar,male,0.81
Dale Schuurmans,male,0.93
Erik Talvitie,male,0.99
Xing Wei,male,0.63
Teresa Maria Altomare Basile,female,0.99
Alessandro Artale,male,1.0
Carles Sierra,male,0.99
Laurence White,female,0.54
Lawrence Mandow,male,0.99
Moshe Tennenholtz,male,0.99
Ashish Sabharwal,male,1.0
Takuya Matsuzaki,male,1.0
Yoshiyuki Nakamura,male,1.0
Avi Pfeffer,male,0.92
John Thornton,male,1.0
Brahim Chaib-draa,male,0.98
Robert Givan,male,1.0
Yoshimasa Tsuruoka,male,1.0
Irene M. Ong,female,0.99
Maria Silvia Pini,female,1.0
Huan Wang,male,0.89
Daniel M. Roy,male,0.99
Juan A. Rodríguez-Aguilar,male,0.99
Tao Wang,male,1.0
Paul Harrenstein,male,1.0
P. P. Chakrabarti,male,0.76
Jianzhuang Liu,male,1.0
Toni Mancini,female,0.52
Huiru Zheng,female,0.99
Guillermo Ricardo Simari,male,1.0
Csaba Szepesvári,male,0.99
Giovanni Angelini,male,0.99
István Bíró,male,1.0
Subbarao Kambhampati,male,0.97
Paul R. Cohen,male,1.0
Ting Liu,female,0.66
Cyril Terrioux,male,0.99
Stephan Bernard,male,1.0
Joakim Arfvidsson,male,1.0
David Toman,male,1.0
Antonio Morales,male,1.0
Mausam,male,0.79
Gabriel Hoffmann,male,0.99
Ronny Tjahyadi,male,0.98
Isabelle Alvarez,female,0.99
Isabel Navarrete,female,0.99
Shiqi Zhao,female,0.77
Craig A. Knoblock,male,1.0
Mo Chen,male,0.85
Carsten Lutz,male,1.0
Jason D. R. Farquhar,male,1.0
Xiaojin Zhu,female,0.61
Anarosa Brandão,female,0.98
Pragnesh Jay Modi,male,0.99
Nick Hawes,male,0.99
Peter Weigele,male,1.0
Punam Bedi,female,0.93
Joseph Y. Halpern,male,0.99
Mark T. Keane,male,1.0
David J. Harper,male,1.0
Mark Richards,male,1.0
Gerhard Widmer,male,1.0
Vincent Schickel-Zuber,male,0.99
Joanna Bryson,female,0.99
Yevgeny Kazakov,male,1.0
Alice M. Mulvehill,female,0.99
Tapana Gupta,male,0.78
Óscar Martínez Mozos,male,0.99
Manfred Hild,male,1.0
Chitta Baral,male,0.88
Aleksander Kolcz,male,1.0
Lakhdar Sais,male,0.98
Mathias Paulin,male,0.99
Michael J. Wooldridge,male,1.0
Wenye Li,female,0.57
Arvind Gupta,male,0.93
Clare Dixon,female,0.99
Xincheng Yuan,male,0.86
Bikramjit Banerjee,male,0.98
Johan de Kleer,male,0.99
Nguyen Thanh Tri,male,0.91
Ming Zhou,male,0.67
Christian Plagemann,male,0.99
Michalis Vazirgiannis,male,0.99
Qin Iris Wang,female,0.99
Han Lin,male,0.82
Luigi Palopoli,male,0.99
Carlos Grandón,male,1.0
Rajdeep K. Dash,male,0.85
Chenggang Wang,male,1.0
Jan Bandouch,male,0.89
Hongyuan Zha,male,0.84
Michael Dahlin,male,1.0
Bart Selman,male,1.0
Alon Altman,male,0.96
Edith Hemaspaandra,female,0.99
Peng Dai,male,0.54
Oliviero Stock,male,0.98
George Tsatsaronis,male,0.99
Christophe Lecoutre,male,1.0
Fred Hemery,male,0.98
Mukund Narasimhan,male,1.0
Sebastian Thrun,male,1.0
Gary R. Bradski,male,1.0
Eric Horvitz,male,1.0
Olivier Buffet,male,0.99
Stefan Schlobach,male,0.99
Jimeng Sun,male,0.7
Sheng Li,male,0.6
Marius Messner,male,0.99
Xiaoming Jin,male,0.79
Thomas Hofmann,male,1.0
Gianluigi Greco,male,1.0
Sebastian Bader,male,1.0
Sriraam Natarajan,male,0.92
Yi Zhang,male,1.0
Katharina Probst,female,0.99
Bart Verheij,male,1.0
David McSherry,male,1.0
C. N. Ravikumar,male,0.97
Benjamin W. Wah,male,1.0
Xiaofei He,female,0.56
Dietmar Jannach,male,1.0
Li-Lun Wang,male,1.0
Juichi Miyamichi,male,0.95
Andrew G. Barto,male,1.0
Pascal Van Hentenryck,male,0.99
Andrew Y. Ng,male,1.0
Mirella Lapata,female,0.99
Anika Schumann,female,0.98
Ivan Serina,male,0.99
Hema Raghavan,female,0.57
David Sarne,male,1.0
Jian-Tao Sun,male,1.0
Richard Schmidt,male,1.0
Jörg Hoffmann,male,1.0
Robert Lothian,male,1.0
Dieter Fox,male,1.0
Rónán Mac Ruairi,male,1.0
Benjamin Snyder,male,1.0
Andrea Giovannucci,female,0.69
Cristina Conati,female,0.99
Shiming Xiang,male,0.69
Glenn Fung,male,1.0
Hélène Fargier,female,1.0
Hiromitsu Hattori,male,0.99
Long Jiang,male,1.0
