author_name,Gender,Gender Probability
John O'Donovan,male,1.0
Fábio Gagliardi Cozman,male,1.0
Xiaochun Cheng,female,0.51
Bernadette Martínez Hernández,female,1.0
Francesco Ricca,male,1.0
Kenji Shoji,male,0.99
Russell Greiner,male,1.0
Shinichi Nakajima,male,0.99
Oisín Boydell,male,0.99
Doina Precup,female,0.99
Pierre Marquis,male,0.99
Philip Kilby,male,1.0
Christine Clark,female,1.0
Yong Gao,male,0.73
Doug Downey,male,1.0
Eugene C. Freuder,male,0.99
Neal Snooke,male,1.0
Franz Baader,male,0.99
Igor Cavrak,male,1.0
Hector J. Levesque,male,1.0
Nicola Leone,male,1.0
Michael D. Moffitt,male,1.0
Alexander Bochman,male,1.0
Victor R. Lesser,male,1.0
Petri Kontkanen,male,0.82
Huan Liu,male,1.0
Raghu Ramakrishnan,male,0.97
John K. Slaney,male,1.0
Masahiro Fujita,male,1.0
Joseph Kopena,male,0.99
Edmund H. Durfee,male,1.0
Igor Razgon,male,1.0
Andreas Krause,male,1.0
Jason Andrew Wolfe,male,1.0
Radu Marinescu,male,0.94
David A. Cohen,male,1.0
Alberto Finzi,male,1.0
Brian C. Williams,male,1.0
Rita Sharma,female,1.0
Stephen Soderland,male,1.0
Jeffrey Junfeng Pan,male,1.0
Padraig Cunningham,male,1.0
Ari K. Jónsson,male,0.65
Daniel Winterstein,male,0.99
Ehud Reiter,male,1.0
Petri Myllymäki,male,0.82
Hans Tompits,male,0.99
Geoffrey E. Hinton,male,1.0
David C. Parkes,male,1.0
Wenbin Chen,male,0.95
Dan Roth,male,0.99
Julie Porteous,female,0.99
Blake Hannaford,male,0.96
Michael Thielscher,male,1.0
Stacy Marsella,female,0.93
Peter Haddawy,male,1.0
David C. Wilkins,male,1.0
David Rajaratnam,male,1.0
Sylvain Lagrue,male,0.99
Neil Madden,male,1.0
Aaron Sloman,male,1.0
Vítor Santos Costa,male,1.0
Miguel Ángel Sotelo,male,1.0
Pedro Meseguer,male,0.99
Eyal Amir,male,1.0
Mark H. Liffiton,male,1.0
Dorian Suc,male,0.95
Gerald Steinbauer,male,1.0
Richard Dearden,male,1.0
Arnab Dhua,male,1.0
Michael P. Wellman,male,1.0
Edwin O. Heierman III,male,1.0
Jens-Steffen Gutmann,male,1.0
Emir Kapanci,male,0.97
Wolfgang Faber,male,1.0
John L. Bresina,male,1.0
Francesco Calimeri,male,1.0
Ian Miguel,male,1.0
Kenji Araki,male,0.99
Gal Bahar,female,0.89
David A. McAllester,male,1.0
Cèsar Fernández,male,0.99
Marc Gyssens,male,1.0
Robert F. Lax,male,1.0
René Bañares-Alcántara,male,0.98
William C. Regli,male,1.0
Helmut Horacek,male,1.0
Matjaz Gams,male,0.98
Hiroshi Motoda,male,1.0
Julien Velcin,male,0.99
Christoph Lüth,male,1.0
Alan M. Frisch,male,1.0
Yaniv Hamo,male,1.0
Javier Larrosa,male,1.0
Deepak Ramachandran,male,0.99
Adnan Darwiche,male,0.99
Brian Milch,male,1.0
José del R. Millán,male,0.98
Chiaki Sakama,female,0.94
Marco Ragni,male,1.0
Valentina Poggioni,female,0.99
Jean-Francois Puget,male,0.99
Somayajulu Sripada,male,1.0
Guillaume Letellier,male,1.0
Adrian Petcu,male,0.99
Elena Sánchez-Nielsen,female,0.99
Magnus Danielsson,male,1.0
Trevor J. M. Bench-Capon,male,1.0
Minh Binh Do,male,0.75
Michael R. James,male,1.0
Paul E. Dunne,male,1.0
Dale Schuurmans,male,0.93
Amy Loutfi,female,0.99
Avi Pfeffer,male,0.92
Laurence White,female,0.54
I-Fan Shen,male,0.83
Pascal Poupart,male,0.99
Lawrence Mandow,male,0.99
Moshe Tennenholtz,male,0.99
Branislav Kveton,male,0.99
Ben Hachey,male,0.98
Georgios Sakellariou,male,1.0
Romuald Debruyne,male,0.99
Nicolas Tarrisson,male,1.0
Stephanie Elzer,female,1.0
Olga Kornienko,female,0.99
Ilya Shpitser,male,0.97
Jérôme Fortin,male,1.0
