author_name,Gender,Gender Probability
Lin Xu,female,0.67
Mauro Javier Gómez Lucero,male,1.0
Qingguo Wang,male,0.78
Doina Precup,female,0.99
Hector Geffner,male,1.0
Pierre Marquis,male,0.99
Kurt Konolige,male,1.0
Steffen Staab,male,1.0
Alexander Feldman,male,1.0
Carmel Domshlak,female,0.86
Jürgen Sturm,male,1.0
Radha-Krishna Balla,unknown,0.0
Carlos Ansótegui,male,1.0
Eugene C. Freuder,male,0.99
Shuo Chen,male,0.66
Yiling Chen,female,0.93
Ying-Xin Li,female,1.0
Peter McBurney,male,1.0
Hector J. Levesque,male,1.0
Anil Gürsel,male,0.99
Pawel Dybala,male,1.0
Victor R. Lesser,male,1.0
Guy Shani,male,1.0
Talal Rahwan,male,0.98
Huan Liu,male,1.0
Zhengzheng Xing,female,0.57
Andreas Krause,male,1.0
Ryan B. Hayward,male,0.99
Fei Wang,male,1.0
Honglak Lee,male,1.0
Changshui Zhang,unknown,0.0
Gert Rickheit,male,0.98
Fedor V. Fomin,male,0.99
Christopher Raphael,male,1.0
Hujun Bao,male,0.88
Matthias Westphal,male,1.0
Frances A. Rosamond,female,0.99
Martin Leucker,male,0.99
Liyun Ru,female,0.87
Eric Salvat,male,1.0
Tae-Won Kim,male,1.0
Amy Isard,female,0.99
Fani Athienitou,female,0.87
Pingzhong Tang,male,1.0
Shirin Sohrabi,female,0.98
Irwin King,male,1.0
David C. Parkes,male,1.0
Alois C. Knoll,male,0.98
Dan Roth,male,0.99
Joelle Pineau,female,0.98
Laura M. Hiatt,female,0.99
Michael Thielscher,male,1.0
Michael Jakl,male,1.0
Carlos Areces,male,1.0
Yagil Engel,male,0.92
Lane A. Hemaspaandra,male,0.7
Dirk Walther,male,1.0
Nicholas Morsillo,male,1.0
Maria Luisa Bonet,female,0.99
Chang Wang,male,0.67
Xu Miao,female,1.0
Dmitry Korkin,male,1.0
Eyal Amir,male,1.0
Jie Yin,female,1.0
Wei Liu,male,0.69
Barteld P. Kooi,male,1.0
Richard Dearden,male,1.0
Craig A. Tovey,male,1.0
Michael P. Wellman,male,1.0
Hidetomo Nabeshima,male,1.0
Roni Khardon,male,0.74
Reid G. Simmons,male,0.78
Sanjay Modgil,male,0.99
Lutz Schröder,male,0.99
Georgios Chalkiadakis,male,1.0
Sanjiang Li,male,1.0
Kenji Araki,male,0.99
Gabriele Musillo,male,0.86
Nuria Oliver,female,0.99
William C. Regli,male,1.0
Noam Hazon,male,0.75
Rajesh P. N. Rao,male,0.99
Hiroshi Motoda,male,1.0
Jaesik Choi,male,0.98
Alexander Felfernig,male,1.0
George Dimitri Konidaris,male,0.99
Pasquale Lops,male,0.99
Shane Bergsma,male,0.97
Emil Keyder,male,0.99
Adnan Darwiche,male,0.99
Susanne Hemmann,female,1.0
Chiaki Sakama,female,0.94
Michael Zuckerman,male,1.0
Seth Lemons,male,1.0
Guohui Yao,male,0.92
Enrico Malizia,male,1.0
Michelle L. Blom,female,1.0
Hans van Ditmarsch,male,0.99
Sheila A. McIlraith,female,1.0
Wen Jun Yin,male,0.85
Zheshen Wang,male,1.0
Marcelo Gabriel Armentano,male,1.0
Lukas Kroc,male,0.99
Minh Binh Do,male,0.75
Philipp Cimiano,male,1.0
Paul E. Dunne,male,1.0
Shirish K. Shevade,male,0.99
Erik Talvitie,male,0.99
Anbu Yue,male,0.92
Avi Pfeffer,male,0.92
Hongyang Qu,male,0.78
I-Fan Shen,male,0.83
Takuya Matsuzaki,male,1.0
Moshe Tennenholtz,male,0.99
Brahim Chaib-draa,male,0.98
Tomoharu Iwata,male,1.0
Ashish Sabharwal,male,1.0
Maria Silvia Pini,female,1.0
Fabian Bohnert,male,1.0
Clemens Kupke,male,0.99
Suresh Venkatasubramanian,male,0.99
Qiong Luo,female,0.89
Jianzhuang Liu,male,1.0
Ilya Shpitser,male,0.97
Ming Ji,male,1.0
Guillermo Ricardo Simari,male,1.0
Subbarao Kambhampati,male,0.97
Paul R. Cohen,male,1.0
Nadja Betzler,female,0.99
Songcan Chen,male,1.0
Chun Chen,male,0.89
David Toman,male,1.0
Mausam,male,0.79
Derek Hao Hu,male,1.0
Yangqiu Song,unknown,0.0
Craig A. Knoblock,male,1.0
Carsten Lutz,male,1.0
Eric Yeh,male,1.0
You Xu,male,1.0
Baoxin Li,male,0.53
Afsaneh Shirazi,female,0.99
Zenglin Xu,male,1.0
Joseph Y. Halpern,male,0.99
Abdel-Illah Mouaddib,male,1.0
Khalil Challita,male,0.98
Federico Chesani,male,1.0
Peter Kissmann,male,1.0
Yevgeny Kazakov,male,1.0
Tom Y. Ouyang,male,0.99
Abraham Othman,male,1.0
Akshat Kumar,female,1.0
Raymond J. Mooney,male,1.0
Christopher J. Pal,male,1.0
Richard B. Borie,male,1.0
Lakhdar Sais,male,0.98
João Marques-Silva,male,0.99
Chad Hogg,male,1.0
Diane J. Cook,female,1.0
Benjamin Lubin,male,1.0
Michael J. Wooldridge,male,1.0
Tsung-Chieh Chang,male,1.0
Aitor Soroa,male,0.99
Johan de Kleer,male,0.99
May H. C. Woo,female,0.95
Christian Plagemann,male,0.99
Meng Wang,male,1.0
Carsten Moldenhauer,male,1.0
Luigi Palopoli,male,0.99
Ronald Parr,male,1.0
Bart Selman,male,1.0
Alon Altman,male,0.96
Edith Hemaspaandra,female,0.99
Peng Dai,male,0.54
Sven Wachsmuth,male,1.0
Alireza Vahdatpour,male,0.99
Masashi Sugiyama,male,1.0
Knot Pipatsrisawat,male,0.81
Bramley J. Murton,male,0.88
Héctor Muñoz-Avila,male,0.99
Eric Horvitz,male,1.0
Simina Brânzei,female,0.95
Lilyana Mihalkova,female,0.99
Robby Goetschalckx,male,0.97
Mark H. Burstein,male,1.0
Dewei Chen,male,0.91
Gianluigi Greco,male,1.0
Jaedeug Choi,unknown,0.0
Sriraam Natarajan,male,0.92
Yi Zhang,male,1.0
Claude-Guy Quimper,unknown,0.0
Feng Liu,male,0.92
Xiaofei He,female,0.56
Benjamin Kuipers,male,1.0
Robin Cohen,female,1.0
Weiru Liu,female,0.71
Andrew G. Barto,male,1.0
Andrew Y. Ng,male,1.0
Derek Long,male,1.0
Robert C. Holte,male,1.0
Eneko Agirre,male,0.99
Piyush Rai,male,1.0
Pietro Baroni,male,1.0
Shinji Watanabe,male,0.99
Cristina Conati,female,0.99
Noa Agmon,female,0.77
Vladimir Sadov,male,1.0
Tristan Cazenave,male,0.98
Clemens Drews,male,0.99
Hélène Fargier,female,1.0
Taisuke Sato,male,1.0
Zeyn A. Saigol,male,0.71
Glenn Fung,male,1.0
Valeria Fionda,female,0.99
Jeff Yan,male,1.0
David Talbot,male,1.0
Deepak Mehta,male,1.0
Rie Tanaka,female,1.0
Xi Li,female,0.5
Takayuki Ito,male,1.0
Glenn Taylor,male,1.0
Rong Yan,female,1.0
Diego Figueira,male,1.0
Andrey Kolobov,male,0.99
Daniel Sonntag,male,0.99
Michal Ptaszynski,male,0.91
Martin Müller,male,1.0
Dong Xu,male,0.95
Jimmy Ho-Man Lee,male,0.99
Matthew Rognlie,male,1.0
Sudhir Kumar,male,0.95
Ruben Stranders,male,1.0
Daniel Lokshtanov,male,0.99
Fahiem Bacchus,male,0.96
Ugur Kuter,male,0.97
Carsten Kern,male,1.0
Paul Doran,male,1.0
Michel Leclère,male,0.94
Eugenia Ternovska,female,0.99
Qiang Yang,male,1.0
Yifeng Zeng,male,0.84
Christian Bessiere,male,0.99
Andrew Coles,male,1.0
Dimitrios Antos,male,1.0
Francesco M. Donini,male,1.0
Gerhard Lakemeyer,male,1.0
Miguel A. López-Carmona,male,1.0
Vadim Bulitko,male,1.0
Shlomo Zilberstein,male,0.99
Richard Booth,male,1.0
Philip S. Yu,male,1.0
Jeffrey Richard Long,male,1.0
Scott Sanner,male,1.0
Laurent Simon,male,1.0
Adam Drake,male,0.98
Mark Dredze,male,1.0
Kenichi Okuno,male,1.0
Antje Schultz,female,0.99
Giuseppe De Giacomo,male,0.99
Daisuke Okanohara,male,1.0
Jérôme Lang,male,1.0
Enrico Franconi,male,1.0
Xiaojun Wan,male,0.68
Yu-Ta Lu,male,1.0
Nobuyuki Shimizu,male,1.0
Jun Liu,male,0.85
Jean-François Baget,male,0.99
Thomas Schiex,male,1.0
Robert N. Lass,male,1.0
Saket Joshi,male,1.0
Marie-Laure Mugnier,female,0.99
Bill N. Schilit,male,1.0
Yohei Murakami,male,1.0
Ely Porat,female,0.86
Su-Yang Yu,male,1.0
Vijay Pradeep,male,1.0
Jian Pei,male,0.86
Lei Tang,female,0.53
Yi Shang,male,1.0
David Allouche,male,1.0
Joachim Neumann,male,1.0
Stephen F. Smith,male,1.0
Massimiliano Giacomin,male,1.0
Shuiwang Ji,male,1.0
Roberto Micalizio,male,1.0
Maurice Pagnucco,male,0.99
Angelika Kimmig,female,0.99
Eric A. Hansen,male,1.0
Zhifu Zhang,male,0.88
Eric Huang,male,1.0
Tracy Hammond,female,0.94
Ronald Alford,male,1.0
Buyue Qian,male,0.8
Jilles Steeve Dibangoye,male,0.98
Terry R. Payne,male,0.75
Biplav Srivastava,male,0.93
Ashwin Ram,male,1.0
Rafal Rzepka,male,0.99
Fernando A. Tohmé,male,1.0
Zhao Xu,male,1.0
Jacek Kisynski,male,1.0
Takeshi Yamada,male,0.99
Terry L. Zimmerman,male,0.75
Magdalena Ortiz,female,1.0
Grant E. Weddell,male,1.0
Martín O. Moguillansky,male,0.99
Jibin Gong,male,0.98
Piotr Faliszewski,male,1.0
Jin Tian,male,1.0
Richard J. Wallace,male,1.0
Nada Abdallah,female,1.0
Mark Klein,male,1.0
Xiao-Bing Xue,female,0.67
Ivan José Varzinczak,male,0.99
Timothy Furtak,male,1.0
Wolfram Burgard,male,1.0
Monika Schubert,female,0.99
Amanda Jane Coles,female,1.0
Sylvain Bouveret,male,0.99
Duane Szafron,male,1.0
Benedikt Bollig,male,1.0
Toru Ishida,male,0.99
Mika Cohen,male,0.69
Brian Logan,male,1.0
Peter Habermehl,male,1.0
Francesco Scarcello,male,1.0
Spyros Angelopoulos,male,1.0
Sajjad Ahmed Siddiqi,male,0.98
Arman Melkumyan,male,0.98
Chao Zhang,male,0.83
Miquel Ramírez,male,0.99
Xu Sun,female,0.51
Armando Tacchella,male,0.99
Jochen Renz,male,1.0
Wanquan Liu,male,0.9
Colin Matheson,male,1.0
Alessandro Farinelli,male,1.0
Javad Azimi,male,0.99
François Goasdoué,male,0.99
Yunsong Guo,male,0.67
André A. Ciré,male,0.99
Wheeler Ruml,male,1.0
Xuanhui Wang,female,0.88
Thomas Schneider,male,1.0
Ariel Felner,male,0.83
Zhiyuan Liu,male,0.88
Antonio Roque,male,1.0
David Poole,male,1.0
Bernardo Cuenca Grau,male,1.0
Fabio Ramos,male,1.0
Alessio Lomuscio,male,0.99
Jude W. Shavlik,male,0.82
Sivan Albagli,female,0.67
Daniel Francis Schmidt,male,0.99
Leila Amgoud,female,0.99
Dekang Lin,male,0.8
Jon Froehlich,male,0.99
Daoqiang Zhang,male,1.0
Randy Goebel,male,0.99
Petra Selmer,female,0.99
Sergej Sizov,male,0.99
Evan Sultanik,male,0.98
James T. Kwok,male,1.0
Navid Amini,male,0.98
Oier Lopez de Lacalle,male,0.98
Gang Chen,male,0.96
Michael Zakharyaschev,male,1.0
Ruoming Jin,female,0.62
Aaron Adler,male,1.0
Haoqi Zhang,male,0.74
Georgia Kastidou,female,0.99
Philip Henderson,male,1.0
Loizos Michael,male,1.0
Wiebe van der Hoek,male,0.66
Solomon Eyal Shimony,male,1.0
Tran Cao Son,male,0.7
Nic Wilson,male,0.86
Philipp Sorg,male,1.0
Xin Wang,male,0.67
Gang Chen,male,0.96
Martha White,female,1.0
Stefano Borgo,male,1.0
Wu-Jun Li,unknown,0.0
Xiangyang Xue,male,0.85
Michael R. Lyu,male,1.0
Kate Larson,female,0.99
Prakash Panangaden,male,0.99
Jianguo Xiao,male,0.99
Hong Peng,male,0.7
Marco Faella,male,1.0
Saeed Bagheri Shouraki,male,0.98
Fusun Yaman,female,0.96
Xinxin Bai,female,0.73
Frank Wolter,male,1.0
Shipeng Yu,male,0.9
Paola Mello,female,0.99
Hootan Nakhost,male,0.99
Arvind Agarwal,male,0.99
Erik Halvorson,male,0.99
Ivana Kruijff-Korbayová,female,0.99
Ignazio Palmisano,male,0.99
Michael Fink,male,1.0
Santiago Ontañón,male,0.99
Shuicheng Yan,male,1.0
Zengfu Wang,female,0.5
Yunfei Jiang,male,0.71
Jianwen Zhang,male,0.87
Deng Cai,male,0.6
Dongwon Lee,male,0.98
Thomas G. Dietterich,male,1.0
Naonori Ueda,male,1.0
Zhi-Hua Zhou,female,1.0
Alex Teichman,male,0.95
Srdjan Vesic,male,0.99
Oliver Schulte,male,0.99
Katsumi Inoue,male,0.73
Yin Zhang,female,0.83
Jennifer G. Dy,female,1.0
Hung Bui,male,1.0
Ece Kamar,female,0.96
Sebastian Stein,male,1.0
Xian-Sheng Hua,unknown,0.0
Lawrence B. Holder,male,0.99
Daniel Hewlett,male,0.99
Boris Konev,male,0.99
Constanze Vorwerg,female,0.98
Maosong Sun,male,0.83
Craig Boutilier,male,1.0
Wenhan Shi,male,0.73
Luc De Raedt,male,0.99
S. Sundararajan,male,0.69
Sandip Sen,male,0.99
Alex Rogers,male,0.95
Vladimir Lifschitz,male,1.0
Juan R. Velasco,male,0.99
Patrice Perny,female,0.53
Hal Daumé III,male,0.96
Randal Nelson,male,0.99
Christopher Archibald,male,1.0
Eric Jeffrey Peterson,male,1.0
Fangzhen Lin,male,0.67
Luo Si,male,0.62
Vincent Wenchen Zheng,male,0.99
Jeffrey S. Rosenschein,male,1.0
Simona Colucci,female,0.99
Jingyu Cui,female,0.57
Tommaso Di Noia,male,1.0
Tony White,male,1.0
Amarjeet Singh,male,0.98
William Yeoh,male,1.0
Arjan J. C. van Gemund,male,0.99
Rachel Ben-Eliyahu-Zohary,female,1.0
Helen Kwong,female,1.0
Zheng Zhao,male,1.0
Jainarayan Radhakrishnan,male,1.0
Sinno Jialin Pan,female,0.91
Michael J. Maher,male,1.0
Cyrill Stachniss,male,0.97
Chongjie Zhang,male,0.91
Piero A. Bonatti,male,0.99
Valentina Tamma,female,0.99
Xingquan Zhu,male,1.0
Inon Zuckerman,male,0.9
Jianfeng Du,male,0.94
Dana S. Nau,female,0.94
Michael Buro,male,1.0
Alan Fern,male,1.0
Wei Huang,male,0.78
Jérôme Mengin,male,1.0
Mantas Simkus,male,1.0
Dafna Shahaf,female,1.0
Takayuki Akiyama,male,1.0
James Henderson,female,1.0
Yat Chiu Law,male,0.66
Roberto Navigli,male,1.0
Carlos Iván Chesñevar,male,1.0
Roman Kontchakov,male,0.99
Jie Tang,male,0.52
Jieping Ye,female,0.76
Toby Walsh,male,0.91
Allen Hicken,male,0.99
Kazuhiro Fukui,male,1.0
Eugenio Di Sciascio,male,1.0
Changhe Yuan,male,1.0
Yongmei Liu,female,0.96
Katsuhide Fujita,male,1.0
Raphaël Chenouard,male,0.99
Jean-Philippe Dubus,male,1.0
Rong Jin,male,1.0
Abdur Rakib,male,0.94
Mads Dam,male,0.99
Zinovi Rabinovich,male,0.93
Thomas S. Richardson,male,1.0
Guang Qiu,male,0.9
Christopher W. Geib,male,1.0
Prashant J. Shenoy,male,1.0
Paola Merlo,female,0.99
Neil Burch,male,1.0
Guillaume Ravilly-Abadie,male,1.0
Ashwin Lall,male,1.0
Tessa A. Lau,female,1.0
Yngvi Björnsson,male,0.89
Jordi Levy,male,0.99
Luigi Sauro,male,0.99
Makoto Yokoo,male,0.97
Analía Amandi,female,0.99
Michael Gleicher,male,1.0
Simone Paolo Ponzetto,female,0.57
Omid Madani,male,0.99
Diarmuid Grimes,male,1.0
Jonathan Mugan,male,1.0
Ashiqur R. KhudaBukhsh,male,0.99
Markus Mairitsch,male,1.0
Thomas F. Stahovich,male,1.0
Paolo Torroni,male,1.0
Yixin Chen,female,0.93
Ivor W. Tsang,male,0.99
Barry O'Sullivan,male,0.99
David Tyler Bischel,male,1.0
Hector Muñoz-Avila,male,1.0
Ko-Hsin Cindy Wang,female,1.0
Pranjal Awasthi,male,0.84
Broderick Arneson,male,1.0
Majid Sarrafzadeh,male,0.98
Marie-Christine Rousset,female,1.0
Thomas Krennwallner,male,1.0
François Schwarzentruber,male,0.99
Jane Yung-jen Hsu,male,1.0
Ming Li,female,0.7
Matthew Michelson,male,1.0
Emiliano Lorini,male,0.99
Jun'ichi Tsujii,male,1.0
Nguyen Hoang Nga,female,0.95
Bin Li,male,1.0
Gerhard Friedrich,male,1.0
Yangqing Jia,male,0.56
Masahiro Kimura,male,1.0
Iyad Rahwan,male,0.91
Grant Anderson,male,1.0
Daniel S. Weld,male,0.99
Yngve Villanger,male,1.0
Akshay Bhat,male,1.0
George Katsirelos,male,0.99
Zhonghua Wen,male,0.81
Dimitris Plexousakis,male,1.0
Volkan Vural,male,1.0
Xiaoming Zheng,male,0.79
Tim Oates,male,1.0
Sven Koenig,male,1.0
Ho-fung Leung,male,1.0
Zahy Bnaya,male,0.86
Frédéric Koriche,male,1.0
Joohyung Lee,male,0.84
Jianhui Chen,male,0.9
Ivan Marsá-Maestre,male,0.99
Ravi Palla,male,0.99
Saïd Jabbour,male,0.98
Jos de Bruijn,male,0.97
Michael Spranger,male,1.0
Martí Sánchez-Fibla,male,0.94
Rui Abreu,male,1.0
Xian-Xing Zhang,male,0.55
Hirotaka Hachiya,male,0.99
Ta-Hsin Li,unknown,0.0
Yoshitaka Kameya,male,1.0
Matthew Kitching,male,1.0
Alfredo Gabaldon,male,1.0
Kristian Kersting,male,0.97
Zheng Wang,male,1.0
Inês Lynce,female,1.0
Robert West,male,1.0
Nicholas R. Jennings,male,1.0
Jiajun Bu,male,0.91
Matthew E. Taylor,male,1.0
Chris Urmson,male,0.91
Jason Jingshi Li,male,1.0
Yuzhen Niu,female,0.87
Ethan Burns,male,0.99
Dongmo Zhang,male,0.55
Kazumi Saito,female,0.75
Alexandre Klementiev,male,0.99
Stefan Edelkamp,male,0.99
Simon de Givry,male,0.99
Gilles Audemard,male,0.99
Hannaneh Hajishirzi,female,0.98
Jinyuan Jia,male,0.76
Marco Montali,male,1.0
Jonathan Schaeffer,male,1.0
Bin Zhang,male,0.95
Theodore Patkos,male,0.99
Boris Motik,male,0.99
Natasha Alechina,female,0.99
Rafael Pass,male,1.0
Zhi Zhong,male,1.0
Kevin Small,male,1.0
Bing Liu,male,0.8
Ronen I. Brafman,male,1.0
Erich Teppan,male,0.99
Reshef Meir,male,0.99
Yannis Dimopoulos,male,0.94
James M. Robins,male,1.0
Jens Witkowski,male,1.0
Lucas Bordeaux,male,0.99
Nanning Zheng,male,0.92
Jeffrey O. Kephart,male,1.0
Jeremy L. Wyatt,male,1.0
Michael Benisch,male,1.0
Stefan Woltran,male,0.99
Rajat Raina,male,1.0
Yoram Bachrach,male,0.99
Stefan Wölfl,male,0.99
Monika Mandl,female,0.99
Michael H. Bowling,male,1.0
Chia-chun Lian,female,0.73
Maria Fox,female,1.0
Nicolás D. Rotstein,male,0.99
Gian Piero Favini,male,0.99
Horst Samulowitz,male,0.99
Ulrike Sattler,female,0.99
Pushpak Bhattacharyya,male,0.98
Kevin Leyton-Brown,male,1.0
Thomas Ströder,male,1.0
Quanquan Gu,male,0.52
Milind Tambe,male,1.0
Peter Norvig,male,1.0
Satinder Singh,male,1.0
Enrico H. Gerding,male,1.0
Randall Davis,male,1.0
Ka Lun Leung,male,0.57
Ulle Endriss,female,0.58
Dit-Yan Yeung,unknown,0.0
David R. Thompson,male,1.0
Hyunyoung Kil,female,0.85
Yevgeniy Vorobeychik,male,1.0
Masakazu Ishihata,male,1.0
Jason Naradowsky,male,1.0
Jorge A. Baier,male,1.0
Sébastien Lahaie,male,1.0
Yoav Shoham,male,1.0
Amirali Salehi-Abari,male,0.98
Tuomas Sandholm,male,1.0
Max Barer,male,0.99
Thierry Petit,male,1.0
Lirong Xia,female,0.8
Yabin Zheng,male,0.76
Hwee Tou Ng,male,0.76
Youssef Hamadi,male,0.97
Rong Zhou,female,0.55
P. Alex Dow,male,0.95
David Schnizlein,male,1.0
Nina Narodytska,female,0.98
Wonhong Nam,male,0.88
Kristen Brent Venable,female,0.99
Luca Pulina,male,0.97
Jacob Beal,male,1.0
Bruno Zanuttini,male,1.0
Phan Minh Thang,male,0.88
Nikhil S. Ketkar,male,1.0
Tomasz P. Michalak,male,1.0
Qiming Tian,male,0.86
Josep Argelich,male,1.0
Tao Mei,female,0.97
Avi Rosenfeld,male,1.0
Pablo Samuel Castro,male,0.99
Volker Tresp,male,1.0
Holger H. Hoos,male,1.0
Jeffrey Nichols,male,1.0
Sung Wook Yoon,male,0.82
Xiaoxun Sun,male,0.57
Jian Zhang,male,1.0
Peter Zoeteweij,male,1.0
Jie Zhou,male,0.52
Norman M. Sadeh,male,0.99
Ariel D. Procaccia,male,0.83
Christophe Jermann,male,1.0
Sridhar Mahadevan,male,1.0
Akira Utsumi,male,0.73
Mahdieh Soleymani Baghshah,female,0.98
Luis Quesada,male,1.0
Francesca Rossi,female,1.0
Guilin Qi,male,0.84
Thomas Eiter,male,1.0
Tuan Anh Nguyen,male,0.96
Yutian Chen,male,0.58
Hendrik Zender,male,1.0
Edith Elkind,female,0.99
Kurt Driessens,male,1.0
Michael R. Fellows,male,1.0
Kamaljeet S. Verma,male,0.58
Erez Karpas,male,0.99
Tao Li,female,1.0
Kee-Eung Kim,unknown,0.0
David R. Traum,male,1.0
Feiping Nie,male,0.83
Stephan Schiffel,male,1.0
Dirk Pattinson,male,1.0
Agnes Swadzba,female,0.99
Adi Botea,male,0.72
Dan Ventura,male,0.99
Xiaoli Z. Fern,female,0.92
Nicolas Maudet,male,1.0
David G. Mitchell,male,1.0
Phan Minh Dung,male,0.6
Nan Li,female,1.0
Yang Zhang,male,1.0
Jin Dong,male,0.67
Neil Yorke-Smith,male,1.0
Geert-Jan M. Kruijff,male,1.0
Yonatan Aumann,male,0.99
Alexandre Goldsztejn,male,0.99
Jon Oberlander,male,0.99
Manish Jain,male,1.0
Quang Duong,male,1.0
Carla P. Gomes,female,0.99
Héctor Palacios,male,0.99
Dan Zhang,male,0.99
William J. Kaiser,male,1.0
Weiming Liu,male,0.94
Alex Nash,male,0.95
Andrew R. Haas,male,1.0
Manuel Giuliani,male,0.99
Bernhard Nebel,male,1.0
Mary Ellen Foster,female,0.99
Maria Polukarov,female,0.99
Jiawei Han,male,0.75
Michael Quist,male,1.0
Rajarshi Das,male,1.0
Thomas Andreas Meyer,male,1.0
Paolo Ciancarini,male,1.0
Ian Davidson,male,1.0
Christophe Gonzales,male,1.0
Liang Sun,male,1.0
Benjamin Van Durme,male,1.0
Liviu Badea,male,0.99
Ingrid Zukerman,female,1.0
Shoou-I Yu,female,0.51
Qiyong Guo,male,0.79
Nathan Sprague,male,1.0
Nathan R. Sturtevant,male,1.0
Bernhard Pfahringer,male,1.0
Jinbo Huang,male,0.88
Inanç Seylan,female,0.73
David Lesaint,male,1.0
Gal A. Kaminka,male,0.63
Prashant Doshi,male,1.0
Reinhard Pichler,male,1.0
Sebastian Sardiña,male,1.0
Rolf Niedermeier,male,1.0
Pierpaolo Basile,male,1.0
Rómer Rosales,male,1.0
Richard E. Korf,male,1.0
Young-Woo Seo,male,0.92
Saket Saurabh,male,1.0
Maxim Likhachev,male,0.99
Gregory M. Provan,male,1.0
Nathan D. Ratliff,male,1.0
Blai Bonet,male,0.94
Paolo Ferraris,male,1.0
Sharon Goldwater,female,0.99
