author_name,Gender,Gender Probability
Federico Fogolari,male,1.0
Luís Moniz Pereira,male,1.0
Alessandro Sperduti,male,1.0
Alex Krimkevitch,male,0.95
Robert A. Kowalski,male,1.0
S. Armagan Tarim,male,0.74
Prem Melville,male,0.97
Amitabha Mukerjee,male,0.96
Luísa Coheur,female,0.99
Moritz Göbelbecker,male,1.0
Shaoping Ma,female,0.6
Masaru Kitsuregawa,male,1.0
Eduardo F. Morales,male,1.0
Zhi Qiang Zhuang,male,0.95
Hector Geffner,male,1.0
Pierre Marquis,male,0.99
Hans Georg Seedig,male,0.99
Cristiano Castelfranchi,male,1.0
Heng Tao Shen,male,0.84
Dongho Kim,male,0.94
Ji Wang,male,0.75
Deepayan Chakrabarti,male,1.0
Makram Bouzid,male,0.98
James Pita,male,1.0
Fei Tony Liu,male,0.99
Pascal Bercher,male,0.99
Christopher Amato,male,1.0
Elsa Lopes,female,0.99
Albert S. Huang,male,0.99
Giovanni Casini,male,0.99
Maria Garcia de la Banda,female,0.99
Hector J. Levesque,male,1.0
Daniele Magazzeni,male,0.92
Kuiyu Chang,male,0.78
Nir Lipovetzky,male,0.96
Guy Shani,male,1.0
Talal Rahwan,male,0.98
Ofra Amir,female,0.98
Keith Sullivan,male,1.0
Zhenming Liu,male,0.91
Jean Lieber,female,0.62
Serena Villata,female,0.99
Jason Andrew Wolfe,male,1.0
Grigorios Tsoumakas,male,1.0
Andreas Krause,male,1.0
Matthijs T. J. Spaan,male,1.0
Saeed Amizadeh,male,0.98
Manuela M. Veloso,female,0.99
Changshui Zhang,unknown,0.0
David B. Leake,male,1.0
Marc Hanheide,male,1.0
Olivier Pietquin,male,0.99
Johannes Fürnkranz,male,1.0
Nozomi Nori,female,0.94
Francesc Esteva,male,0.98
Wen-Lian Hsu,unknown,0.0
Stephen Soderland,male,1.0
Xiaohua Liu,female,0.69
Conor Hayes,male,1.0
Matthias Westphal,male,1.0
François Pachet,male,0.99
Frances A. Rosamond,female,0.99
Hossein Shahbazi,male,0.99
Liyun Ru,female,0.87
Martin Field,male,0.99
Andrés Legarra,male,0.99
Conrad Drescher,male,1.0
Pingzhong Tang,male,1.0
Jintao Tang,male,0.8
Baylor Wetzel,male,0.82
Dan Roth,male,0.99
Mohsen Jamali,male,0.99
Henry Anaya-Sánchez,male,0.99
Laura M. Hiatt,female,0.99
Michael Thielscher,male,1.0
Junfa Liu,male,0.93
Kennard R. Laviers,male,0.77
Han The Anh,female,0.51
Xiaoping Chen,female,0.63
Enrique Machuca,male,1.0
Chang Wang,male,0.67
Sylvain Lagrue,male,0.99
Mehdi Dastani,male,0.98
Armen Aghasaryan,male,0.98
Xu-Yao Zhang,female,1.0
Gildas Jeantet,male,0.97
Pedro Meseguer,male,0.99
Eyal Amir,male,1.0
Jie Yin,female,1.0
Nils Bulling,male,1.0
Barteld P. Kooi,male,1.0
Marco Roveri,male,1.0
Gerald Steinbauer,male,1.0
Richard Dearden,male,1.0
Xiaochuan Ni,male,0.86
Lutz Schröder,male,0.99
Sanjay Modgil,male,0.99
Reinaldo A. C. Bianchi,male,1.0
Scott E. Friedman,male,1.0
Artur S. d'Avila Garcez,male,1.0
Harry Halpin,male,0.99
Sergio Escalera,male,1.0
Ian Miguel,male,1.0
Luis C. Cobo,male,1.0
Hao Jiang,male,1.0
Vincent Ng,male,1.0
José Martínez Sotoca,male,0.98
Kilho Shin,male,1.0
Xiaojing Huang,female,0.92
Julien Cojan,male,0.99
Ioannis Caragiannis,male,1.0
Rajesh P. N. Rao,male,0.99
Noam Hazon,male,0.75
Justin Yip,male,0.99
Wolfgang Dvorák,male,1.0
Laura Giordano,female,0.99
Julien Velcin,male,0.99
Ayumu Sugiyama,male,0.94
Jaesik Choi,male,0.98
Alexander Kleiner,male,1.0
Scott R. Klemmer,male,1.0
Pedro Larrañaga,male,0.99
HweeHwa Pang,unknown,0.0
Egor Ianovski,male,0.99
Nicolas Usunier,male,1.0
Evgenij Thorstensen,male,0.97
Christophe Senot,male,1.0
Shane Bergsma,male,0.97
