author_name,Gender,Gender Probability
Fei Wu,male,1.0
Francesco Ricca,male,1.0
Han Liu,male,0.62
Ke Tang,male,0.84
Yolanda E-Martín,female,0.99
Yeow Meng Chee,male,0.77
Christopher Makoto Wilt,male,1.0
Maurizio Gabbrielli,male,1.0
Pascal Bercher,male,0.99
Giovanni Casini,male,0.99
Xingyu Gao,male,0.61
Matthijs T. J. Spaan,male,1.0
David A. Cohen,male,1.0
Olivier Pietquin,male,0.99
Oleksandr Polozov,male,1.0
Yasuo Ariki,male,0.98
Lei Song,male,1.0
Jie Jiang,male,0.52
Pedro Martins,male,0.94
André Abramé,male,0.99
Kevin Tierney,male,1.0
Huaping Liu,male,0.68
Michael Thielscher,male,1.0
Alfredo Cuesta-Infante,male,1.0
Mengjiao Xie,female,0.92
Alina Strachocka,female,0.99
Chang Wang,male,0.67
David Rajaratnam,male,1.0
Ke Wang,male,0.84
Mark A. Cameron,male,1.0
Mehdi Dastani,male,0.98
Yanghua Xiao,male,0.52
Lukás Chrpa,male,1.0
Laurent Soulier,male,0.99
Mingyu Fan,male,0.66
Nils Bulling,male,1.0
Meghyn Bienvenu,female,1.0
Svetha Venkatesh,female,1.0
Sanjay Modgil,male,0.99
Yu Zhao,male,1.0
Wolfgang Faber,male,1.0
Brian Charles Williams,male,1.0
Ariel Rosenfeld,male,0.83
Xue Mao,female,0.81
Alexander Motzek,male,1.0
Soma Biswas,female,1.0
Satoshi Oyama,male,1.0
Wolfgang Dvorák,male,1.0
Denis Deratani Mauá,male,0.94
Ronghua Liang,male,0.61
Minh Do,male,0.74
Partha Pratim Talukdar,male,1.0
Xu-Ying Liu,unknown,0.0
Georgios Theocharous,male,1.0
Shilad Sen,male,1.0
Yarden Naveh,female,0.67
Yingke Chen,female,0.5
Amos Azaria,female,0.66
Xin Wang,male,0.67
Svetlana Obraztsova,female,0.99
Ruihua Song,female,0.58
Dale Schuurmans,male,0.93
Michail Fasoulakis,male,1.0
Nawal Benabbou,female,0.95
Matthieu Geist,male,1.0
Benjamin Zarrieß,male,1.0
Pierre Bourhis,male,0.99
Dougal Maclaurin,male,0.99
Huaimin Wang,male,0.67
Somak Aditya,male,0.98
Wei Zhang,male,1.0
Shujian Huang,male,0.93
Adish Singla,male,0.91
Zhiyong Wu,male,0.97
Mausam,male,0.79
Kinzang Chhogyal,male,0.69
Charles L. Isbell Jr.,male,1.0
Piotr Sankowski,male,1.0
Duy-Tin Vo,male,0.68
Jie Wu,male,1.0
Zoran Popovic,male,1.0
Xiaodong Zheng,male,0.88
Xixian Chen,male,0.63
Dakun Zhang,male,0.85
Gerhard Widmer,male,1.0
Albert Ali Salah,male,0.99
Thomas Linsbichler,male,1.0
Maria Dagioglou,female,0.99
Chitta Baral,male,0.88
Lei Xu,female,0.53
Raymond J. Mooney,male,1.0
Xiangyan Sun,female,0.69
Zhigang Chen,male,0.99
Marc Cavazza,male,1.0
