author_name,Gender,Gender Probability
Michael G. Madden,male,1.0
Elliot Salisbury,male,0.98
Jun Suzuki,male,0.85
J. Peter Campbell,male,1.0
Haoli Bai,female,0.59
Arjun Guha,male,0.98
Jakob Nordström,male,1.0
Son Tran,male,0.7
Songlei Jian,male,0.86
Ying Ding,female,0.88
Bradley Oosterveld,male,1.0
Yongxin Wang,male,0.59
Hao Peng,male,0.75
Octavian Udrea,male,1.0
Jie Hu,male,0.52
Leslie Pack Kaelbling,female,0.83
Xia Zheng,male,1.0
Chenhui Zhang,male,0.73
Ruoyu Li,male,0.52
Wanli Ouyang,male,0.71
Jordi Grau-Moya,male,0.99
Li Sun,female,1.0
David Yun Dai,male,1.0
Cheng Deng,male,0.63
Pierfrancesco Veltri,male,1.0
Weixiong Zhang,male,0.96
ThaiBinh Nguyen,male,0.73
Thomas Lukasiewicz,male,1.0
Nishant Gurrapadi,male,1.0
Mengli Cheng,female,0.9
Hong Xie,male,0.59
George H. L. Fletcher,male,0.99
Yongjie Yang,male,0.92
Jun-Kun Chen,unknown,0.0
Ofer Meshi,male,0.97
Jun-Yan Zhu,male,0.8
Khaled Belahcène,male,0.98
Xinxiao Wu,male,0.64
Thomas Kirste,male,1.0
Bao Sheng Loe,male,0.69
Dapeng Liu,male,1.0
Mathieu Roche,male,0.99
Hai Wan,female,1.0
Qianrong Zhou,female,1.0
Pi-Cheng Hsiu,unknown,0.0
Antonín Kucera,male,1.0
Arun Iyengar,male,0.99
Michael Baeriswyl,male,1.0
Yue Hu,female,0.67
Tao Shen,male,1.0
Hyojin Bahng,female,0.79
Pierre Schaus,male,0.99
Antonella Poggi,female,0.99
Keze Wang,female,0.71
Guohui Xiao,male,0.92
Li Zhong,male,1.0
Kush R. Varshney,male,0.98
Jianxin Wu,male,0.87
Sih-Pin Lai,unknown,0.0
Wei Ji,male,1.0
Rupert Freeman,male,1.0
Bita Banihashemi,female,0.93
Marta Kwiatkowska,female,0.99
Cheng Luo,male,0.63
Marie D. Manner,female,0.99
Yuanrong Xu,male,0.56
Antonius Weinzierl,male,0.99
Diptikalyan Saha,unknown,0.0
Nitesh V. Chawla,male,0.99
Duc-Trong Le,unknown,0.0
Minsu Ahn,male,0.91
Amin Jaber,male,1.0
Min Wang,male,1.0
Malte Helmert,male,0.99
Jiangchao Yao,male,1.0
Lingxiao Huang,male,0.51
Jyh-Shing Roger Jang,unknown,0.0
Weichao Mao,male,0.94
Barnaby Martin,male,0.99
Ali Borji,male,0.95
Yizheng Zhao,male,0.51
Marco Rospocher,male,1.0
Peter J. Stuckey,male,1.0
Brian Logan,male,1.0
Chi Zhang,male,0.55
Shirui Pan,female,0.56
Shital Shah,female,1.0
Katarzyna Budzynska,female,0.99
Takashi Miyazaki,male,1.0
Weixue Lu,female,0.64
Claudiu Musat,male,0.99
Bingbing Ni,female,0.79
Chao Bian,male,0.83
Olaf Hartig,male,0.99
Wuhao Zhang,male,1.0
Benyou Wang,male,0.97
Warren He,male,1.0
Saheb Chhabra,male,0.97
Yang Wei,male,1.0
Jiawen Wu,female,0.8
Tianqi Zhao,male,0.5
Xiao Ding,male,1.0
Xiaochun Cao,female,0.51
Ying Nian Wu,female,0.59
Ping Luo,female,0.61
Zhimou Yang,male,1.0
Kentaro Yahiro,male,1.0
Kamalakar Karlapalem,male,0.98
Kun Bai,male,0.78
Xuanhui Wang,female,0.88
Chen Zhu,female,1.0
Xin Yang,male,0.75
Samuel Kolb,male,0.99
Chao Feng,male,1.0
Yuxuan Du,male,0.52
Piotr Skowron,male,1.0
