author_name
Tiago Raul de Sousa Pereira
Peter J. Stuckey
Brian Logan
Damir Lotinac
Simon Ståhlberg
Gerhard Brewka
Bruno Lacerda
Bryan Wilder
Jesse Glass
Mihaela Verman
Kenneth N. Brown
Matthew Brown
Moacir Ponti
Miguel Sales Dias
Miquel Ramírez
Daan Bloembergen
Marco Rocco
Thushan Ganegedara
Jochen Renz
Pradeep Varakantham
Na Li
Stephen Cranefield
Kei Ujimoto
Zhenhua Wang
Shiyao Wang
Sven Buechel
Alessandro Farinelli
Silja Renooij
Gerard de Melo
Katarzyna Musial
Milos Hauskrecht
Hiroshi Kajino
André A. Ciré
Ye Liu
Dimitris Kalles
James P. Delgrande
Éric Grégoire
Oskar Skibski
Ariel Felner
Yassine Mrabet
Y. Narahari
Alessio Lomuscio
Sarvapali D. Ramchurn
Fabio Ramos
Douglas Kirkpatrick
Paolo Felli
Zheng Wang
Sebastijan Dumancic
Nicolas Hug
Antonio Salmerón
Adolfo Martínez Usó
Rafael Peñaloza
Liqing Zhang
Luca Benini
Lukas Schweizer
Felix Kuhr
Mona Lange
Ruta Mehta
Claudia V. Goldman
Giorgos Flouris
Francesco Parisi
Marcello Restelli
Gian Luca Pozzato
Florence Dupin de Saint-Cyr
Catholijn M. Jonker
Giuseppe Cota
James Harland
Johannes Teschner
Abdul Sattar
Sarvar Abdullaev
Hagit Shatkay
Héla Gouider
Katie Atkinson
Elena Bellodi
Halil Kilicoglu
Akihiro Kishimoto
Praphul Chandra
Antônio Carlos da Rocha Costa
Yan Wang
Hongwei Hu
Jamal Atif
Vanessa Teague
Paola Mello
Jakub Michaliszyn
Xavier Molinero
Yong Zhang
Régis Riveret
Anders L. Madsen
Padraic D. Edgington
Henri Prade
Ute Schmid
Ernst Moritz Hahn
Tianyi Lin
Udo Hahn
Vadim Malvone
Mauro Vallati
Thomas D. Nielsen
Jianye Hao
Raj Kumar Maity
Gaël Dias
Sindhu Padakandla
José Hernández-Orallo
Mark Roberts
Felipe Bravo-Marquez
Anthony S. Maida
Eibe Frank
Yuan-Fang Li
Fabio Zambetta
Ajin George Joseph
Derek R. Magee
Ruimin Hu
Martin J. Kollingbaum
Birte Glimm
Eva Onaindia
Antonín Komenda
Deepak P
Chong-Jun Wang
Vojtech Uher
Zhongbao Zhang
Marharyta Aleksandrova
Federico Cerutti
Shalabh Bhatnagar
Luc De Raedt
Sandip Sen
Paolo Bouquet
Patrice Perny
Lorenzo Bottarelli
Wai Leung Sze
Daniel Hennes
Eyke Hüllermeier
Boi Faltings
Masoume M. Raeissi
Joost Vennekens
Andrea Formisano
Scott A. DeLoach
Tuan-Fang Fan
Zhongyuan Wang
Jean Christoph Jung
Roni Stern
Rasmus Ibsen-Jensen
Fan Yang
Chris Percy
Andrea Bertolaso
Manuel Gentile
Riccardo Muradore
Tiago de Lima
Odile Papini
Liping Xiong
Anne-France Viet
Sen Su
Auke J. Wiggers
Manuel Sorge
Riccardo Zese
Charilaos Akasiadis
Laurent Gourvès
Georgios Feretzakis
Meili Wei
Frits de Nijs
Jack C. Chaplin
Cheng Jin
Jérôme David
Erwin Walraven
Frank van Harmelen
David L. Dowe
Jan Treur
Tibor Bosse
Sergio Tessaris
Sergio Greco
Andreas Pfandler
Nadin Kökciyan
Andrzej Nagórko
Khanh-Chuong Duong
Martin Olsen
Luchao Tian
Ralf Möller
Nardine Osman
Vladik Kreinovich
David W. Aha
Béatrice Finance
Paul Saikko
Toby Walsh
Anton V. Riabov
António Paulo Moreira
Lei Liu
Shuai Lü
Marco Chiarandini
Yongmei Liu
Shourya Roy
Pierre Bisquert
Gregor Behnke
Tadayoshi Nonoyama
Jörg Pührer
Ondrej Kuzelka
Xiaohong Li
Jessica Rivera-Villicana
Steffen Lalande
Francisco S. Melo
Kleanthi Georgala
Angelos Chliaoutakis
Bastien Sage-Vallier
Christopher Ren
Darío Ramos-López
Felipe Meneguzzi
Baoquan Chen
Michael Sioutis
Jaap Kamps
Adrian Haret
Steven Kutsch
Evelina Lamma
Fabien Mathieu
Dana Thomas
Pavel Janovsky
Ashiqur R. KhudaBukhsh
Soufian Jebbara
Arthur Bit-Monnot
Hui Wei
Yu Gu
Chao Yu
Isil Doga Yakut Kiliç
W. T. Luke Teacy
Tom Duckett
Antonis Bikakis
Sarah Alice Gaggl
Karl Tuyls
Heng Song
Heiner Stuckenschmidt
Christel Vrain
Greg G. Slabaugh
Reem Al-Otaibi
Livia Predoiu
Cynthia Maushagen
Anni-Yasmin Turhan
Dominikus Krüger
Francesco Belardinelli
Marie-Christine Rousset
Jasper De Bock
Longwen Gao
Junzhou Huang
Vikas Joshi
Ana Paiva
Zhiwei Lin
Bofang Li
João Leite
Christian Meilicke
Hristijan Gjoreski
Linbo Qiao
Gerhard Friedrich
Jun Wu
Fred Charles
Bin Li
Martine De Cock
Kim S. Larsen
Marsha Berry
Alberto Speranzon
Anne Roefs
Bastin Tony Roy Savarimuthu
Boaz Lerner
Gilles Richard
Frédéric Koriche
Christian Eichhorn
Buser Say
Quan Yu
Saïd Jabbour
Richard Klíma
Malte Neuss
Chandrashekar Lakshminarayanan
Anicet Bart
Andreas Niskanen
Nicola Bellotto
Gabriele Kern-Isberner
Rui Abreu
Asaf Feniger
Ken C. K. Fong
Zhimin Wu
Michela Milano
Yakoub Salhi
Himanshu S. Bhatt
Marco Ortolani
Francesco G. B. De Natale
Shahrzad Gholami
Anaëlle Wilczynski
Myra Spiliopoulou
Sujit Gujar
Max Knobbout
Mohammed Hasanuzzaman
Marco Schorlemmer
Naiqi Li
Olivier Spanjaard
Philippe Dague
Yash Raj Shrestha
Georg Krempl
Didier Dubois
Nicholas R. Jennings
Koen V. Hindriks
Yiwei Zhou
Joaquin Valdes
Osamu Yamamura
Diederik M. Roijers
Leonor Becerra-Bonache
Filippos Christianos
Gerasimos Spanakis
Oliver Lemon
Guido Governatori
Abraham Bernstein
Kang Feng
Tillman Weyde
Jaime G. Carbonell
Felip Manyà
Lavindra de Silva
Ann Nowé
Luís Nunes
Lucas Weideveld
Chu Min Li
Lei Zhang
Min Chen
Marco Montali
Axel-Cyrille Ngonga Ngomo
Sergio Flesca
Theodore Patkos
Hisashi Kashima
Sho Yokoi
Tias Guns
Irma Ravkic
Mohamed Wahbi
Peiming Mo
Aniello Murano
Meysam Aghighi
Andreas Herzig
David E. Smith
Guodong Chen
Gavin Rens
Teofilo de Campos
Yafang Wang
Ye Liu
Bernhard Bliem
Alison R. Panisson
Jiang Rong
Thomas Kalinowski
Dario Izzo
Erich Christian Teppan
Jörg Rothe
Matthias Knorr
Anders Jonsson
Weipéng Huáng
Zhenyang Wang
Huayong Xu
Zhiqiang Zhuang
Melisachew Wudage Chekol
Ping Sun
Guillaume Casanova
Stefan Woltran
Chih-Kuan Yeh
Hongning Yuan
Antoine Nongaillard
Omer Reingold
Laura Brandán Briones
Maria Fox
Elizabeth Daly
Hoong Chuin Lau
Aaron Schlenker
Anthony Hunter
Vadim Indelman
Britta Dorn
L. Venkata Subramaniam
Yoshihide Sawada
Andrés R. Masegosa
Milind Tambe
Wenjie Wang
Junyuan Xie
Alexey Ignatiev
Sonje Finnestad
Ulle Endriss
Siddharth Srivastava
Lining Sun
Paul Vicol
Antonis C. Kakas
David Jardim
Xiaoyu Ge
Pavel Surynek
Faustine Maffre
Zoran Obradovic
Nobuhiro Hayashi
Zhiyong Feng
Bettina Fazzinga
Shuigeng Zhou
Ugo Pagallo
Thi-Bich-Hanh Dao
Lirong Xia
Badran Raddaoui
Frank Dignum
Frank Jensen
Jesse Davis
Amélie Levray
Samir Aknine
Nina Narodytska
Yan Qiu Chen
Yeqing Li
Oliver Fernandez Gil
Martin Gjoreski
Marco Tamassia
Francesco Trovò
Shu-Tao Xia
Tomasz P. Michalak
Michele Lombardi
Johannes Wollenberg
Qi Zhang
Junwu Zhu
Eric Neufeld
Luca Gasparini
René van Bevern
William Lam
Gerhard Weiss
David C. Hogg
Salem Benferhat
Rina Dechter
Frans A. Oliehoek
Shimei Pan
François Durand
António Morgado
Günther Palm
Han-Xiong Li
Emanuele Sansone
Claudia Carapelle
Freddy Lécué
Muhammad Owais Mehmood
Davide Nitti
Manoel V. M. França
Isabelle Bloch
Mingfu Xiong
Eric O. Postma
Giuseppe Lo Re
Guilin Qi
Timothy J. Norman
Yoshikuni Sato
Kurt Driessens
Thierry Vidal
Josef Bajada
Cédric Pralet
Mehmet Gönen
Athanasios Papagelis
Johannes Peter Wallner
Susanne Biundo
Ron Tidhar
Dorothea Baumeister
Mahammad Parvez Salim
Florian 'Floyd' Mueller
Martin C. Cooper
Adi Botea
Nir Oren
Matti Järvisalo
Cheng Chang
Philip Stutz
Zhujin Li
Panagiotis Kouvaros
Minming Li
Chengwei Zhang
Chunyan Miao
Janneke H. Bolt
Kang Xu
Qingtao Tang
Electa A. Baker
Lenka Mudrová
Michal Sofka
Shashank Pathak
Musad Haque
Ajay Chander
Patrik Haslum
Agnes Madalinski
Michael Rovatsos
Helge Langseth
Piotr L. Szczepanski
Vassilios S. Verykios
Nader Chmait
Ann-Kathrin Selker
Jan Karwowski
Julie A. Adams
Ian Davidson
Thomas Andreas Meyer
Hai-Xiang Lin
Alexander A. Semenov
Pieter Spronck
Zhendong Niu
Zhangquan Zhou
Karel Bartos
Fernando Martínez-Plumed
Yu-Gang Jiang
Anne Boyer
Concha Bielza
Toni Böhnlein
Shoaib Jameel
