author_name,Gender,Gender Probability
Diedrich Wolter,male,0.98
David Lorenzo,male,1.0
António Ribeiro,male,1.0
Alessandro Sperduti,male,1.0
Alessandro Agostini,male,1.0
Peter Jarvis,male,1.0
Pierre Marquis,male,0.99
Béatrice Fuchs,female,0.99
Cristiano Castelfranchi,male,1.0
Philip Kilby,male,1.0
Steffen Staab,male,1.0
Eugene C. Freuder,male,0.99
Olivier Ferret,male,1.0
Giorgio Satta,male,0.99
Hector J. Levesque,male,1.0
Laura Sebastia,female,0.99
Alexander Maedche,male,1.0
Jean Lieber,female,0.62
Nathanaël Rota,male,0.99
John K. Slaney,male,1.0
William J. Black,male,1.0
Johannes Fürnkranz,male,1.0
Diana Cukierman,female,0.99
Ari K. Jónsson,male,0.65
Alberto Riva,male,1.0
Sylvie Thiébaux,female,0.99
Alessandro Cucchiarelli,male,1.0
Pedro Barahona,male,0.99
Erik Skarman,male,0.99
Peter Poller,male,1.0
Rik Gerrits,male,0.99
Toramatsu Shintani,unknown,0.0
Hans Tompits,male,0.99
Maurice D. Mulvenna,male,0.99
Carlos Areces,male,1.0
Sam Watson,male,0.9
Mitsunori Matsushita,male,1.0
Paolo Liberatore,male,1.0
Daniele Theseider Dupré,male,0.92
Corinna Richter,female,0.99
Érick Alphonse,male,0.99
Ian Miguel,male,1.0
Clara Bagnasco,female,0.99
Louise Travé-Massuyès,female,0.99
Frédérick Garçia,male,0.99
Helmut Horacek,male,1.0
Laura Giordano,female,0.99
Alberto Lavelli,male,1.0
Alexis Tsoukiàs,male,0.85
Alexander Felfernig,male,1.0
Mark Lee,male,0.97
Ioannis Refanidis,male,1.0
Mario Martín,male,1.0
Erica Melis,female,1.0
Sung Wook Baik,male,0.82
Angelo Oddi,male,0.99
Romuald Debruyne,male,0.99
Miguel Toro,male,1.0
Emil Weydert,male,0.99
Christophe Vaudry,male,1.0
Johan Wiklund,male,0.99
Yves Lespérance,male,0.98
Henrik Grosskreutz,male,1.0
Alain Bidault,male,0.99
Andrea Panati,female,0.69
Jean-Christophe Baillie,male,1.0
Andreas Seyfang,male,1.0
João Marques-Silva,male,0.99
Michael J. Wooldridge,male,1.0
Lluís Màrquez,male,1.0
Churn-Jung Liau,unknown,0.0
Thorsten Belker,male,1.0
José Gabriel Pereira Lopes,male,0.99
