author_name
Bernard Levrat
Finnegan Southey
Axel Polleres
Dov Monderer
Ashutosh Saxena
Keith Grochow
Shumeet Baluja
Marie-Odile Cordier
Mark A. Wood
Martin Müller
Mark Edgington
Franco Raimondi
Fahiem Bacchus
Marius Pasca
Setsuo Yamada
Yuval Marom
Eugenia Ternovska
Qiang Yang
Raquel Ros
Chih-Wei Hsu
Theo P. van der Weide
Bernard Colin
Michele Banko
Christian Bessiere
Jens Claßen
Susan T. Dumais
Thomas R. Hinrichs
Tassadit Amghar
Bin Cao
Gerhard Lakemeyer
Vadim Bulitko
Hans-Joachim Wünsche
Shlomo Zilberstein
Ivett Szabó
Hedda Rahel Schmidtke
Sandrine-Dominique Gouraud
David Robertson
Arpita Sinha
Laurent Simon
Gemma C. Garriga
Rino Falcone
Zhao-Fu Fan
Giuseppe De Giacomo
Balaraman Ravindran
Jérôme Lang
Xiaojun Wan
J. Christopher Beck
Dimitris Margaritis
Zhao Xing
Octavian Udrea
Faruk Polat
Leslie Pack Kaelbling
Thomas Schiex
Carolyn Penstein Rosé
Bo An
Matt Hunsaker
Mayur Thakur
Mathieu d'Aquin
Souhila Kaci
Carlos Guestrin
Maxim A. Batalin
Saket Joshi
Yohei Murakami
Dhanalakshmi Chandrasekaran
Nicola Di Mauro
Vijay Kumar Mago
Weixiong Zhang
Thomas Lukasiewicz
Hui Wang
Janusz Marecki
Sumit Basu
Mario Vento
Seunghak Lee
Angelika Kimmig
Francisco Taboada
Levent Bolelli
Louise Guthrie
Eric A. Hansen
William Dabney
Akinori Fujino
Patrick W. Yaner
Paul Scerri
Carole R. Beal
Susana Fernández
Richard S. Sutton
Volker Nannen
Cédric Piette
Laurent Vercouter
Marek Petrik
Biplav Srivastava
Stephen Gould
Gregory Dudek
Victor Naroditskiy
Michele Covell
Ashwin Ram
Harish Srinivasan
Kiyotaka Uchimoto
Frank Pasemann
Matthew Grum
Lin Liao
Peter Tiño
Paolo Avesani
Mark Steedman
Wolfgang Mayer
Xu Yang
Ananth Ranganathan
Franco Scarselli
Timothy M. Hospedales
Mark Klein
Nga Lam Law
Leliane Nunes de Barros
Andrew E. Fano
Floris Roelofsen
Jacques Wainer
A. Ricardo Morales
Samba Ndiaye
Krisztian Balog
Maarten de Rijke
Ganesh P. Kumar
Wolfram Burgard
Charles Pecheur
Antonio Sgorbissa
Rajesh Gautam
Yusuke Miyao
Josep Lluís Arcos
Yannick Pencolé
Sylvain Bouveret
Toru Ishida
Aaron Hunter
Wee Sun Lee
Yuhong Guo
Lijun Jiang
Jason Baldridge
Clayton T. Morrison
Gerhard Brewka
Peter J. F. Lucas
Shravan Matthur Narayanamurthy
Francesco Scarcello
Mehmet A. Orgun
Amy Greenwald
Sajjad Ahmed Siddiqi
Marco Benedetti
Kasia Muldner
Esra Erdem
Felix A. Fischer
Sébastien Tabary
Yutaka Matsuo
Dou Shen
John D. Kelleher
Philippe Laborie
Jochen Renz
Alexander I. Rudnicky
Rajeev Kumar
Ben Allison
David Minnen
Wanquan Liu
Pradeep Varakantham
S. Sathiya Keerthi
Alessandro Farinelli
Yuu Nakajima
Tal Arbel
Charles X. Ling
Leonardo Rigutini
Renato Zaccaria
David C. Noelle
Dmitri A. Dolgov
Xuanhui Wang
Michael Kaess
Wheeler Ruml
James P. Delgrande
Éric Grégoire
Amedeo Napoli
Ariel Felner
Alun D. Preece
Britton Wolfe
Søren Tjagvad Madsen
Bernardo Cuenca Grau
Alessio Lomuscio
Sarvapali D. Ramchurn
Leila Amgoud
Dekang Lin
Tanzeem Choudhury
Sham M. Kakade
Junichiro Mori
Randy Goebel
Shaul Markovitch
Pasquale Foggia
Hao-Chuan Wang
Pascal Denis
Jun Wang
Michael Brenner
Henrik Reif Andersen
James T. Kwok
Evan Sultanik
Leonid Peshkin
Augusto Pucci
Paola Velardi
Claudia V. Goldman
Loizos Michael
Felipe W. Trevizan
Wiebe van der Hoek
Solomon Eyal Shimony
Ali Ghodsi
Rohit Kumar
Maurice Bruynooghe
Harald Steck
Tran Cao Son
Brian Tanner
Daniel Borrajo
Jianwu Yang
Abdul Sattar
Haiying Wang
Rahul Bhagat
Jürgen Schmidhuber
Niall Rooney
Ashok K. Goel
Matthew Broadhead
Stefano Borgo
Sriharsha Veeramachaneni
Arya Irani
Piergiorgio Bertoli
Sven E. Krüger
Andreas Witzel
Fubito Toyama
Jianguo Xiao
Sarah L. Hickmott
Alan Bundy
Frank Nielsen
Ansaf Salleb-Aouissi
Akihiro Kishimoto
Markus Stumptner
Michel Lemaître
Minh Le Nguyen
Fusun Yaman
D. S. Guru
Balaji Krishnapuram
Kazuhiro Yoshida
Pascal Hitzler
Frank Wolter
Louis-Xavier Storme
Jamal Atif
Gilles Chabert
Ion Androutsopoulos
Kin-Hong Lee
Daniel Bryce
Frédéric Saubion
Kurt M. Dresner
Tian Sang
Munindar P. Singh
Stavros Vassos
David B. Grimes
Kun Zhou
Zhiwei Zhu
Thomas Ågotnes
Henri Prade
Karolina Eliasson
Daniel Lowd
Nathanael Hyafil
Alejandro Javier García
Amnon Meisels
Philippe Jégou
Elena Kelareva
Christopher Jefferson
Zoltán Szamonek
Sandip Aine
Michael Fink
Harry B. Hunt III
Santiago Ontañón
Shuicheng Yan
Jonathan Wildstrom
Paul Beame
Claudia Picardi
Giovanni Pezzulo
Yunfei Jiang
Frank Kirchner
Jochen Schmidt
Yimin Zhang
Vanathi Gopalakrishnan
Deng Cai
Thanukrishnan Srinivasan
Naonori Ueda
James Allan
Upali Sathyajith Kohomban
Sriram Krishnan
Fulvio Mastrogiovanni
Thomas G. Dietterich
Yingchuan Wong
Guihua Wen
Zhi-Hua Zhou
Xiaohua Hu
Taghi M. Khoshgoftaar
Michael T. Cox
Birte Glimm
Andrew McCallum
Ding Zhou
Oscar Luaces
Boris Konev
Mohamed Aounallah
Peng Zang
Lee-Feng Chien
Bernhard Ganter
Teddy Candale
Stefan Schaal
Craig Boutilier
Luc De Raedt
Christophe Dousson
Sandip Sen
Alex Rogers
D. Chris Rayner
Vladimir Lifschitz
Jeff A. Bilmes
Peter Stone
Hisami Suzuki
Vesile Evrim
Iryoung Jeong
Patrice Perny
Guohua Hao
See-Kiong Ng
Fangzhen Lin
Cosmin Paduraru
Sathiamoorthy Subbarayan
Arnaud Delhay
Jeffrey S. Rosenschein
Eyke Hüllermeier
Yan Tong
Boi Faltings
Xuerui Wang
Chavalit Likitvivatanavong
Chaithanya Pichuka
Amarjeet Singh
Yuichiro Yonebayashi
M. A. Jayaram
Zheng Zhao
Jian Huang
Martin Schafföner
Zheng Chen
David W. Patterson
Julien Bidot
Marco Degemmis
Jürgen Kuster
Hanna Pasula
Dav Zimak
Phan Huy Tu
Shiau Hong Lim
Xingquan Zhu
Inon Zuckerman
Ming Zhou
Michael Fisher
Luc Mercier
Dana S. Nau
Alan Fern
Wei Huang
Dafna Shahaf
Torsten Schaub
Jan Treur
Tibor Bosse
Jonathan Dinerstein
Rohini K. Srihari
Charles Lee Isbell Jr.
Roberto Navigli
Hua Li
Bernhard Kirchlechner
Carlos Iván Chesñevar
Arnaud Lallouet
Cheng Niu
Ted Kremenek
David W. Aha
Yu-Han Chang
Nardine Osman
Marko Krema
Steven Shapiro
Toby Walsh
Sashank Varma
Michael Beetz
Partha Sarathi Dutta
Habiba Drias
Levente Kocsis
David Stavens
William Pentney
Céline Hudelot
Anna Helena Reali Costa
Changhe Yuan
Hirokazu Kameoka
Qingzhong Liu
Xiaoou Tang
J. Benton
André Neumann
Yongmei Liu
Ben H. Williams
Sertan Girgin
Marcel Katz
Nancy Fulda
Jaime Simão Sichman
Nirmalie Wiratunga
Zhiqi Shen
Anna Koop
Lorenza Saitta
Manfred Huber
Christopher W. Geib
Guido Sciavicco
Maleeha Qazi
Georg Gottlob
Alex Ferguson
Shehroz S. Khan
Abdur Chowdhury
Stephen Friedman
Shen-Shyang Ho
Nigel R. Shadbolt
Suat Gedikli
Jordi Levy
Laurent Orseau
Yohannes Kassahun
Hava T. Siegelmann
Tu Bao Ho
Carlo Strapparava
Menkes van den Briel
Jizhou Huang
Kees van Deemter
Murat Dundar
Ioannis A. Vetsikas
Guillermo M. Albaiceta
Richard Nock
Woontack Woo
Michaël Petit
Enric Plaza
Wai K. Yeap
Mark James Carman
Yixin Chen
Yuanlin Zhang
Ivor W. Tsang
Xiaodan Zhang
Stéphane Ross
Barry O'Sullivan
Marie-Claude Gaudel
John Bigham
Christel Vrain
Takamasa Tanaka
Mohit Kumar
Vikas Sindhwani
Pranjal Awasthi
Benjamin Kaufmann
Alan Holland
Dawson R. Engler
T. K. Satish Kumar
Seong Jae Lee
Romain Gérard
András György
Patrick Eyerich
Ryoji Kataoka
Marc Toussaint
Jingrui He
Jun'ichi Tsujii
Chris Pal
Martin Gebser
Srinivas Medimi
Gerhard Friedrich
Shiaokai Wang
Matteo Gagliolo
Sanasam Ranbir Singh
Klaus Stein
Daniel S. Weld
Jake K. Aggarwal
Martine De Cock
Luca Console
Edin Andelic
Zhonghua Wen
Elizabeth S. Burnside
Lucian Vlad Lita
Xiaoming Zheng
D. Rama Sanand
Alfonso Gerevini
Shih-Fen Cheng
Tim Oates
Sven Koenig
K. Madhava Krishna
Nicolas Gaud
Guillaume Deffuant
Joohyung Lee
Ana-Maria Popescu
Yishay Mansour
Robert Mateescu
Saïd Jabbour
Jos de Bruijn
Jinbo Bi
Carlos Hernández
Marc R. C. van Dongen
Luís C. Lamb
Yonghong Wang
Matthew Kitching
Anna Petrovskaya
Nikolaos Gianniotis
Lijuan Cai
Olivier Spanjaard
Tsai-Yen Li
Andrzej Wasowski
Santiago Fernández
Hideyuki Nakashima
Harmeet Kaur
R. Bharat Rao
Ricardo Aler
Safa Yahi
Virginia Savova
Marco Block
Kshitij Judah
Sariel Har-Peled
Nicholas R. Jennings
Daniel T. Halstead
Luciano Serafini
Etienne E. Kerre
David Silver
Joel J. Cartwright
Chandrasekar Ramachandran
Evgeniy Gabrilovich
Kazumi Saito
Jussi Rintanen
Jaime G. Carbonell
Felip Manyà
Sethu Vijayakumar
Simon de Givry
Gilles Audemard
Yan Liu
James Shaw
Thomas S. Huang
William Cushing
Riadh Ksantini
Robert Mattmüller
Vincenzo Moscato
Jonathan Schaeffer
Franck Gechter
Aarti Gupta
Kenichi Kurihara
Boris Motik
Sutanu Chakraborti
Barry Smyth
Massimiliano Albanese
Yoram Moses
Manish Mehta
Bing Liu
Marenglen Biba
Tao Wang
Ramakant Nevatia
Gerald DeJong
Ronen I. Brafman
Antonio Picariello
Geoffroy Fouquier
Alberto Ingenito
Felix Brandt
Saher Esmeir
Jose de Gea
Nicolas Meuleau
Floriana Esposito
Daniel S. Bernstein
Alessandro Limongiello
Jeremy L. Wyatt
Jörg Rothe
Hannu Toivonen
Stefano Ferilli
Remi Coletta
Anders Jonsson
Lihua Wu
Viet Dung Dang
Steffen Hölldobler
Andrew Gilpin
Stefan Woltran
Peter Struss
Alban Grastien
Yoram Bachrach
Alexander Clifford Perzylo
Jérôme Euzenat
Yanxin Shi
Rawichote Chalodhorn
Prasad Tadepalli
Eduard H. Hovy
Michael H. Bowling
Marco Cuturi
Chun-Yen Chang
Laurent Miclet
Gian Piero Favini
Rudolph Triebel
Sara J. Casare
Ulrike Sattler
Pushpak Bhattacharyya
Philip J. Willis
Claudia Henry
L. Venkata Subramaniam
Ricardo M. Araújo
Qiong Yang
Milind Tambe
Jean-Michel Jolion
Wei Chu
Djemel Ziou
Yan Zhang
