author_name
Luís F. Simões
David Del Pozo
José Luis Montaña
Pierre Marquis
Jean-Michel Contet
Hector Geffner
Madalina Croitoru
Suresh Manandhar
Robert Lokaiczyk
Nasim Farsinia
Nicolás Hormazábal
Priscilla Kan John
Antonello Scalmato
Florian Letombe
Sarit Kraus
Matti Pöllä
Domenico Maisto
Pascal Bercher
Antonio Della Cioppa
Manolis Maragoudakis
Peter McBurney
Ioannis Partalas
Laura Sebastia
Sven Hartrumpf
Grigorios Tsoumakas
Philippe Besnard
Feiyu Xu
Xiaoyu Mao
Charlie Abela
Radu Marinescu
Wataru Sunayama
Arndt Faulhaber
Yoko Nishihara
Roberta Annicchiarico
Ehud Reiter
Liang Zhang
Matteo Matteucci
Alessandro Cucchiarelli
A. Mihailidis
Yingqian Zhang
Sylvain Giroux
Zoubin Ghahramani
Tarik Hadzic
Emanuel Kitzelmann
Dirk Walther
George Metakides
Patrice Roy
Nizar Messai
Evert Haasdijk
Luigi Iannone
Mehdi Dastani
Élisa Fromont
Xuhui Shen
Katsumi Tanaka
Elsa D. Angelini
Belarmino Pulido Junquera
David M. W. Powers
Laurence Rozé
Vera Kamp
Mihai Nica
Meghyn Bienvenu
Daniele Theseider Dupré
Reinaldo A. C. Bianchi
Georgios Paliouras
Georgios Chalkiadakis
Sanjiang Li
Roberto Prevete
Norman Salazar
Pan Xiong
Louise Travé-Massuyès
Frédérick Garçia
Satoshi Oyama
Laura Giordano
Enrico Giunchiglia
Thomas Génin
Marie-Dominique Devignes
Emil Keyder
Chiaki Sakama
Abder Koukam
Michel C. A. Klein
Somayajulu Sripada
Mirco Curzi
Nico Roos
Cristian Barrué
Araceli Sanchis
Erica Melis
Alain Léger
Anbu Yue
Emmanuel Blanchard
Raphaël Maîtrepierre
Moshe Tennenholtz
Lawrence Mandow
Zohreh Azimifar
Angelo Oddi
Sergios Petridis
Sébastien Picault
Euripidis N. Loukis
Géraldine Polaillon
Nikolaos M. Avouris
Juan M. Corchado
Juan A. Rodríguez-Aguilar
