author_name
Maarika Teose
Ashutosh Saxena
Andrew M. Finch
Víctor Sánchez-Anguix
Ko Fujimura
Alok N. Choudhary
Trevor Scott Standley
Jimmy Ho-Man Lee
Margareta Ackerman
Lan Yu
Saurabh Kataria
Tiansi Dong
Fahiem Bacchus
Quang-Thang Dinh
Noam Slonim
Zbigniew Stachniak
Siyu Xia
Tyler Lu
Daisuke Hatano
Qiang Yang
José Miguel Hernández-Lobato
Koby Crammer
Allen Van Gelder
Ismael Pascual-Nieto
Florentin Wörgötter
Tobias Friedrich
Bin Cao
Dimitrios Antos
Gerhard Lakemeyer
Ruggiero Cavallo
Estefania Argente
Levente Molnar
Vadim Bulitko
Levan Uridia
Shlomo Zilberstein
Meng Chang
Marcelo Finger
Malcolm Slaney
Scott Sanner
Jeffrey Richard Long
Vikas Kedia
Laurent Simon
David M. Pennock
Rino Falcone
Patrick Krümpelmann
Grigoris Antoniou
Sergio Pajares
Ximing Wen
Giuseppe De Giacomo
Peter Nightingale
Dimitre Kostadinov
Jérôme Lang
Enrico Franconi
Geoffrey Chu
Zhaoyi Zhang
J. Christopher Beck
Yasin Abbasi-Yadkori
Luis Enrique Sucar
Leslie Pack Kaelbling
Jean-François Baget
Thomas Schiex
Matthew D. Luciw
Jerry O. Talton
Hongwei Jin
Benjamin Rozenfeld
Carlos Guestrin
Alex Roper
Mingjie Liu
Sook-Ling Chua
Marie-Laure Mugnier
Anwitaman Datta
Saket Joshi
Xiaorui Sun
Shai Shalev-Shwartz
Dimitrios Mavroeidis
Takayuki Mouri
Jin Tang
Wei Bian
Alexa Breuing
Nadeschda Nikitina
Stephen F. Smith
Yong Wang
Vittorio A. Ziparo
Antonino Rotolo
Mathijs de Weerdt
Maurice Pagnucco
Girish Chafle
William Groves
Sindhu V. Raghavan
Rong Yang
Jeffrey Chan
Tracy Hammond
Enric Celaya
Satomi Baba
Miguel Á. Carreira-Perpiñán
Michaël Thomazo
Zhifeng Hao
Songshan Guo
Hua Wang
Pei Yue
Suchi Saria
Richong Zhang
Ingo Glöckner
Zhaoyin Jia
Reinhold Scherer
Osamu Watanabe
Sergio Esparcia
Zhiyong Shen
Jianxin Wu
Stephanie Valentine
Magdalena Ortiz
Tomoe Kitahara
Grant E. Weddell
Hong Zhang
Piotr Faliszewski
Hongxun Yao
Stephen Marsland
Valentin Goranko
Amin Haji Abolhassani
Benjamin M. Marlin
Cynthia Fisher
Raghudeep Gadde
Antonius Weinzierl
Jackson Paul Matsuura
Luciana S. Buriol
Frederik Janssen
Kalina Yacef
Ankur Kamthe
Fangtao Li
Ulrich Furbach
Dengdi Sun
Timothy Furtak
James C. Boerkoel Jr.
Yiqiang Chen
Malte Helmert
Yannick Pencolé
Katrien Beuls
Sylvain Bouveret
Duane Szafron
Hossam Sharara
Yu Hao
Toru Ishida
James Fogarty
Ueli Meier
Hongsong Li
Yuhong Guo
Chao He
Peter J. Stuckey
Michael Bartholomew
Yiqun Liu
Gerhard Brewka
Peter J. F. Lucas
Jean Oh
Francesco Scarcello
Angelo Montanari
Geoff James
Sajjad Ahmed Siddiqi
Julien Hué
Qing He
Márcio Dorn
Samantha Lam
Arman Melkumyan
Peter Novák
Félix Bou
Sicco Verwer
Ou Wu
Chih-Jen Lin
Ronen Feldman
Jaakko Peltonen
Joop van de Ven
Miquel Ramírez
Yutaka Matsuo
Ana Cristina Mendes
Dou Shen
Dhirendra Singh
Jiefei Li
Zi Huang
Jochen Renz
Rene Quiniou
Patrick Maupin
Desney S. Tan
Virginia Vassilevska Williams
Yajun Wang
David Feil-Seifer
Ping Luo
Zijian Zhao
Charles X. Ling
Petr Kosina
Milos Hauskrecht
Kamalakar Karlapalem
Shaishav Kumar
Wheeler Ruml
Bhavani Thuraisingham
Thomas Schneider
James P. Delgrande
Aurélie Favier
Amedeo Napoli
Xudong Luo
Jaesong Lee
Ariel Felner
Kyriakos Mouratidis
Sophia Yat Mei Lee
Rong Pan
Jon Conrad
Elisa Marengo
Bernardo Cuenca Grau
Constantinos Papatheodorou
Alessio Lomuscio
Fabio Ramos
Jude W. Shavlik
Jan Noessner
Nagiza F. Samatova
Elad Yom-Tov
Gita Sukthankar
Yufeng Li
Alice X. Zheng
Songhua Xu
Peter Jeavons
Adolfo Martínez Usó
Shaul Markovitch
Rafael Peñaloza
Pascal Denis
Fang Kong
Anqi Cui
Zhongtang Zhao
Bo Liu
Michael Zakharyaschev
Wamberto Weber Vasconcelos
Paola Velardi
Riccardo Rasconi
Nick Bassiliades
Zhongqing Wang
Myra Norton
Kai-Wei Chang
Amedeo Cesta
Andrew W. Moore
Berthold Vöcking
Alexander Skopalik
Carme Torras
Loizos Michael
Wiebe van der Hoek
Solomon Eyal Shimony
Gian Luca Pozzato
Stefan Szeider
Anat Hashavit
Dave Cliff
Orkunt Sabuncu
Sildomar T. Monteiro
Christopher Kiekintveld
Abner Guzmán-Rivera
Tran Cao Son
James Harland
Jürgen Schmidhuber
Li Zhang
Guoqing Liu
James P. McGlothlin
Wu-Jun Li
Shoushan Li
Sebastian Höfer
Xiangyang Xue
Martin Caminada
Kate Larson
Björn Pelzer
Richard S. Zemel
Huan Xu
Peter Hatherly
Steven Mark Drucker
Akihiro Kishimoto
Nicolas Beldiceanu
Marco Faella
Vijil Chenthamarakshan
Kaizhu Huang
Ulit Jaidee
Go Irie
Frank Wolter
Patrice Seyed
Claudiu Cristian Musat
Leendert W. N. van der Torre
Ian D. Watson
Dmytro Korzhyk
Chi-kiu Lo
Paul Groth
John Augustine
Pablo Morales-Mombiela
Wei Zhang
Arvind Agarwal
Anna Zamansky
Ingo Pill
Valentin Robu
Giorgos Stoilos
Christopher Jefferson
David Andrzejewski
Michael Fink
Santiago Ontañón
Dekai Wu
Giorgio Dalla Pozza
Hugo Gonçalo Oliveira
Andrew Lim
Giovanni Pezzulo
Mark Craven
Anthony Fader
XiaoJian Wu
Cheng Jin
Joshua Akehurst
Zhi-Hua Zhou
Katsumi Inoue
Min Zhang
Danny Hermelin
Daniele Porello
W. Marco Schorlemmer
Cristian Molinaro
I-Ling Yen
Nick Gravin
Kuan Li
Stefano Faralli
Jesus Boticario
Ohad Shamir
Yongyi Mao
Pierre Roy
Philippe Muller
Birte Glimm
Nathan Nan Liu
Eva Onaindia
Yuxiao Hu
Jeremy Stober
Cornelia Caragea
Michael Connor
Peng Zang
Hieu-Chi Dam
Torsten Hahmann
John Grant
Marco Bozzano
Zhenhui Li
Federico Cerutti
Craig Boutilier
Martin Hils
Wei Wu
Maosong Sun
Luc De Raedt
Matteo Venanzi
Sandip Sen
Nicolas Troquard
Ana Cortés
Noah D. Goodman
William John Teahan
Hal Daumé III
Mike Smith
Karl Bringmann
Christopher Archibald
See-Kiong Ng
Yair Zick
Jay H. Powell
Vincent Wenchen Zheng
Roberto Centeno
Qi Guo
Jeffrey S. Rosenschein
Bas van Gijzel
Boi Faltings
Yun Fu
Jian Su
Joshua T. Guerin
William Yeoh
Xiaofang Zhou
Sameep Mehta
Roni Stern
Yi Yang
Rajhans Samdani
Sinno Jialin Pan
Eiichiro Sumita
Piero A. Bonatti
Volkan Isler
Wei Song
Suicheng Gu
Anthony J. Bonner
Inon Zuckerman
Xingquan Zhu
Daphne Koller
Anatoli V. Melechko
Ulli Waltinger
Ming Zhou
Zhongyang Xiong
Minghua He
Michael Buro
Samy Bengio
Mantas Simkus
Siu Cheung Hui
Joel Uckelman
Wen Gao
Torsten Schaub
Valentina Gliozzi
Katsutoshi Hirayama
Jan Treur
Kevin Waugh
Dafna Shahaf
Martin Ester
Charles Lee Isbell Jr.
Yat Chiu Law
Roberto Navigli
Tianshi Chen
Martin Zinkevich
David W. Aha
Roman Kontchakov
Arnaud Lallouet
Cassio P. de Campos
Samantha Kleinberg
Sören Auer
Xavier Baró
Vicente Julián
Toby Walsh
Alberto Suárez
Rebecca L. Smith
Kewei Tu
Chiara Del Vescovo
Jason Weston
Deepak Bhadauria
Makoto Nakatsuji
Changhe Yuan
Chew Lim Tan
Colin R. Williams
Ian P. Gent
Leo de Penning
Yongmei Liu
Haixun Wang
Wayne Iba
Zhiqi Shen
S. R. K. Branavan
Guido Sciavicco
Gabriele Barbieri
Joni Pajarinen
Latifur Khan
Chin-Yew Lin
Toshiharu Sugawara
Guni Sharon
Georg Gottlob
Smaranda Muresan
Felipe Meneguzzi
Bijan Parsia
Jordi Sabater-Mir
Marco Cerami
Brandon M. Malone
Ning Chen
Makoto Yokoo
Luigi Sauro
Xiao Li
Tu Bao Ho
Chen Li
Shafiq R. Joty
Christopher Mears
Haris Dindo
Ron van der Meyden
Mathias Niepert
Loukas Georgiou
James J. Clark
Yasaman Haghpanah
Qiang Lou
Richard D. Lawrence
Tian Liu
Guy Van den Broeck
Daniele Zambuto
Yingzi Jin
Michael Reip
Yasuhiro Fujiwara
Nicola Vitucci
Jordan Tyler Thayer
Varun Raj Kompella
Hiroshi Sawada
Dario Della Monica
Christel Vrain
Heiner Stuckenschmidt
Min-Ling Zhang
Yunsong Meng
Shane Cullen
Zhongyuan Wang
Vikas Sindhwani
Ko-Hsin Cindy Wang
Valerio Grossi
Mingsheng Ying
Francesco Belardinelli
Célia da Costa Pereira
Salman Ahmad
Zhaohui Wu
Marc Toussaint
Swee Chuan Tan
Taiki Todo
Runcong Li
Matthieu Exbrayat
Jane Yung-jen Hsu
Sam T. Roweis
João Leite
Emiliano Lorini
Paulo T. Guerra
Martin Gebser
Bin Li
Heng Huang
Chris Burnett
Yi Yang
Fuzhen Zhuang
Tam T. Nguyen
Daniel S. Weld
Huseyin Sencan
Nicholas Gibbins
John Dunagan
Alessandro Cimatti
Nidhi Raj
Danny Fernandes
Matteo Baldoni
Jiho Yoo
Stewart Massie
Yavor Nenov
Evan Wei Xiang
Javier Vélez
Feng Wu
Danqing Xu
Xiaoming Zheng
Danushka Bollegala
Sven Koenig
David Fernández-Duque
Blaine Christian
Joohyung Lee
Tim French
Johannes Klaus Fichte
Bongshin Lee
Carlos Hernández
Mengen Chen
Thomas Léauté
Bin Luo
Gabriele Kern-Isberner
Luís C. Lamb
Jicheng Fu
Stephan Gspandl
Ting Wang
Wei-Chi Tsai
Myra Spiliopoulou
Kristian Kersting
Pinghua Gong
Weike Pan
Jnaneshwar Das
Olivier Spanjaard
Andrzej Pronobis
Yi-Dong Shen
Chris H. Q. Ding
Tim Roughgarden
Nuno Belard
Minlie Huang
Robert Piro
Nicholas R. Jennings
Thomas T. Tran
David Tolpin
Enrico Pontelli
David Silver
Altaf Rahman
Ana García-Fornes
Rongrong Ji
Abdallah Saffidine
Henry Prakken
Kostas E. Bekris
Jussi Rintanen
Dongmo Zhang
Roberto Rossi
Felip Manyà
Federico Heras
Raz Nissim
William Hendrix
Garrett Hemann
Xiaowei Ying
Domenico Carbotta
Simon de Givry
Xiaxiang Lin
Kayur Patel
Xudong Ma
Saleema Amershi
Chu Min Li
Andreas Steck
Michal Penn
Manuel Bodirsky
Marian-Andrei Rizoiu
Axel-Cyrille Ngonga Ngomo
Weizhu Chen
Luís Torgo
Prithwijit Guha
Anton Belov
Massimiliano Albanese
Atsushi Iwasaki
Ramón López de Mántaras
Rafael Pass
Vicente J. Botti
Peng Wang
Everardo Bárcenas
Guodong Zhou
Baowen Xu
Nicholas Mattei
Andreas Herzig
Christian J. Muise
Ronen I. Brafman
Antonio Picariello
Ofer Arieli
Evgeniy Bart
Gang Wang
Gavin Rens
Aaron Gerow
Felix Brandt
Guido Fiorino
Reshef Meir
Robin Boswell
Jens Witkowski
Babak Ahmadi
Ingmar Posner
Jan M. Broersen
Jeremy L. Wyatt
Hao Ding
Frédéric Moisan
Gianfranco Lamperti
Heather S. Packer
Kai Ming Ting
Marc Pujol-Gonzalez
Nicholas Roy
Frantisek Simancik
Janara Christensen
João Gama
Diana Pérez-Marín
Stefan Woltran
Yoram Bachrach
Erin Steigerwald
Stefan Wölfl
Prasad Tadepalli
Jonathan Rubin
Luca Maria Gambardella
Michael H. Bowling
Jilian Zhang
Maria Fox
Julie Linsey
Arjen Hommersom
Irena Koprinska
Anthony Hunter
Yongjoon Joe
Ulrike Sattler
Yan Chuan Sim
Zhigang Ma
Quanquan Gu
Ricardo M. Araújo
Milind Tambe
Marco De Luca
Yan Zhang
Cees Witteveen
Enrico H. Gerding
Jeffrey Pound
Dit-Yan Yeung
Ulle Endriss
Raghavendra Udupa
Vasant G. Honavar
Michael Novati
Luiz A. Celiberto
Daniele Masato
Jichen Zhu
Jorge A. Baier
Seiya Miyazaki
Yoav Shoham
Zoran Obradovic
Julio H. Zaragoza
Zhu Zhu
Tuomas Sandholm
David Wingate
Thierry Petit
Lirong Xia
Yabin Zheng
Ryan Luna
Thomas Guyet
Stéphane Airiau
Wen-tau Yih
Jesse Davis
Michel Combacau
Fabio Patrizi
Nina Narodytska
Luiz Augusto Sangoi Pizzato
Dan Goldwasser
Cristina Baroglio
Gabriella Pigozzi
Kristen Brent Venable
Xintao Wu
Yi Zhou
Stefan Trausan-Matu
Tomás Lozano-Pérez
Xindong Wu
J. Gregory Trafton
Wei Zhang
Yunbo Cao
Mark B. Ring
Xavier Lorca
Tomasz P. Michalak
Stuart Russell
Holger Billhardt
Rianne van Lambalgen
Alessio Benavoli
Yoshihiro Maruyama
Xin Liu
Christopher D. Rosin
Salem Benferhat
Philippe Mathieu
Frans A. Oliehoek
Wenbin Zhu
Lei Cen
Regina Barzilay
Yoshikazu Kobayashi
Jennifer L. Barry
Daniel S. Farenzena
Patrick Olivier
Ariel D. Procaccia
Tsuhan Chen
Fan Bu
Sridhar Mahadevan
Fernando Ordóñez
Mitsuru Ishizuka
Alexander Ferrein
Francesca Rossi
Balder ten Cate
Thomas Eiter
Timothy J. Norman
Daniel Harabor
Hendrik Zender
Stefan Borgwardt
Tiejun Huang
Edith Elkind
Andrew Koster
Michael R. Fellows
Markus Krötzsch
Renata Wassermann
Steven D. Prestwich
Meir Goldenberg
Charles Gretton
David Pearce
Prashant P. Reddy
Kee-Eung Kim
Thomas Plötz
Xuemei Hu
Richard Tzong-Han Tsai
Mark C. Wilson
Giulia Andrighetto
Feiping Nie
Jiamin Zhu
Dirk Pattinson
Tomasz Rej
Susan Craw
Matti Järvisalo
Yuming Zhou
Serge Gaspers
S. K. Mirajul Haque
Huanhuan Chen
Ashish Kapoor
Mike Chung
Kiana Hajebi
Francesca Toni
Ian Pratt-Hartmann
Toshio Uchiyama
Andrea Lockerd Thomaz
Anthony M. Harrison
Kaile Su
Heng Zhang
Dmitry Shiryaev
Maite López-Sánchez
Khai N. Truong
Pavlos Peppas
Carla P. Gomes
Jan Johannsen
Riccardo Rosati
Zhengyu Yin
Zekai Jacob Gao
Alper Aydemir
Yrjö T. Gröhn
Alessandro Dal Palù
Koji Yatani
Maria Vanina Martinez
Huawei Shen
Bernhard Nebel
Yanshan Xiao
Kenneth D. Forbus
Marina Zanella
Ming Shao
V. S. Subrahmanian
Maria Polukarov
Jiawei Han
Alberto Cerpa
Suguru Ueda
Shai Ben-David
Vaishak Belle
Huzefa Rangwala
Willy Cheung
Benjamin Van Durme
Wee-Chong Oon
Mark Hoogendoorn
Tatdow Pansombut
Kiyan Ahmadizadeh
Fabio Persia
João G. Martins
Da Kuang
Markus Aschinger
Brahim Hnich
Jiewen Wu
C. Lee Giles
Pierre Ouellet
Arnon Avron
Xiaoyan Zhu
Nathan R. Sturtevant
Anthony G. Cohn
Andrea Tettamanzi
Concha Bielza
Inanç Seylan
Alejandro Agostini
Olga C. Santos
Michael Johanson
Sebastian Sardiña
Rolf Niedermeier
Ya'akov (Kobi) Gal
Christian Drescher
Richard E. Korf
Ipke Wachsmuth
Eli Ben-Sasson
Michael Grüninger
Umberto Grandi
Wei Chen
Xiaowei Huang
Sebastian Ordyniak
Mario Gorga
Daniel Villatoro
Blai Bonet
Jan Peters
Weiming Hu
Zhenglu Yang
Diego Calvanese
Sébastien Konieczny
Sebastian Rudolph
Gyana R. Parija
Hankz Hankui Zhuo
Ratul Mahajan
Vincent Conitzer
Laurent Perrussel
Chenping Hou
Chang Wan
Ben Horsburgh
Philip P. Kime
Eoin O'Mahony
Can Erdogan
Zhiyuan Chen
Hans W. Guesgen
Xiaoyan Zhu
Xiaoli Li
Judy Kay
Lipika Dey
Zhiwei Xu
Ian Horrocks
Michele Piunti
Jeff Pasternack
Shuguang Wang
Sarit Kraus
Wojciech Jamroga
