author_name,Gender,Gender Probability
Karim Tabia,male,0.98
Chuan Luo,male,0.85
Claudia Eckert,female,0.99
Hector Geffner,male,1.0
James Pita,male,1.0
Olivier Ferret,male,1.0
Franco Fassio,male,0.99
Nicolai Manie,female,0.69
Auroop R. Ganguly,male,1.0
Julien Lesca,male,0.99
Nir Lipovetzky,male,0.96
Rocco De Rosa,male,0.99
Talal Rahwan,male,0.98
Maurizio Lenzerini,male,1.0
Serena Villata,female,0.99
Philippe Besnard,male,1.0
Ji Ruan,male,0.98
Corrado Loglisci,male,1.0
Olivier Pietquin,male,0.99
Orlando Ohashi,male,0.99
Martin Cully,male,0.99
Anaïs Cadilhac,female,0.99
François Pachet,male,0.99
Malumbo Chipofya,male,0.78
Stefanie Neubert,female,0.99
Conrad Drescher,male,1.0
Kateryna Tymoshenko,female,1.0
Mario Mirabelli,male,0.99
Bruno Antunes,male,1.0
Erik Dovgan,male,0.99
Michael Thielscher,male,1.0
Lane A. Hemaspaandra,male,0.7
Xiaoping Chen,female,0.63
Riccardo De Masellis,male,1.0
Nan Li,female,1.0
Pedro Meseguer,male,0.99
Lukás Chrpa,male,1.0
Rajiv T. Maheswaran,male,1.0
Mehul Bhatt,male,1.0
Daniele Theseider Dupré,male,0.92
Bozidara Cvetkovic,female,1.0
Nathalie Peyrard,female,0.99
Georgios Paliouras,male,1.0
Reinaldo A. C. Bianchi,male,1.0
Georgios Chalkiadakis,male,1.0
Sanjiang Li,male,1.0
Andreas Hertle,male,1.0
Dusan Pavlícek,male,1.0
Cristina Cristalli,female,0.99
Matjaz Gams,male,0.98
Reyhaneh Reyhani,female,0.98
Enrico Giunchiglia,male,1.0
Branislav Bosanský,male,0.99
Wassila Ouerdane,female,0.97
Thanh-Tung Dang,male,1.0
Jens Kober,male,1.0
Adnan Darwiche,male,0.99
Xiuyi Fan,female,0.82
Igor Rochlin,male,1.0
Roie Zivan,male,0.94
Harald Frostel,male,1.0
Antonio Penta,male,0.99
Marco Ragni,male,1.0
Siqi Chen,female,0.95
Miguel Couceiro,male,1.0
Baojun Qiu,male,0.83
Robert Craven,male,1.0
Ramachandra Kota,male,0.96
Enrico Malizia,male,1.0
Giuseppe Pirrò,male,0.99
Alessandro Artale,male,1.0
Lawrence Mandow,male,0.99
Huang Xiao,female,0.56
Yang Gao,male,0.58
Michelangelo Ceci,male,1.0
Gianluca Quercini,male,1.0
Amon Rapp,male,0.76
Ilias Tachmazidis,male,0.99
Dengji Zhao,male,1.0
Christer Bäckström,male,1.0
Patricia Gutierrez,female,1.0
Guido Boella,male,1.0
Antonella Guzzo,female,0.99
Thomas Geier,male,1.0
Bostjan Kaluza,male,0.99
Víctor Gutiérrez-Basulto,male,0.99
Luigi Pontieri,male,0.99
Yves Lespérance,male,0.98
Carsten Lutz,male,1.0
Con Sheahan,male,0.85
Vinodkumar Prabhakaran,male,0.95
Michael Cashmore,male,1.0
Henning Schnoor,male,1.0
Costas Boletsis,male,0.99
Gerhard Widmer,male,1.0
Peter Kissmann,male,1.0
Debasish Das,male,0.99
Ringo Baumann,male,0.97
Raymond J. Mooney,male,1.0
Alan M. MacEachren,male,1.0
Lakhdar Sais,male,0.98
Michael J. Wooldridge,male,1.0
Alessandro Marcengo,male,1.0
Pierluigi Grillo,male,1.0
Luigi Palopoli,male,0.99
Joel Cordeiro,male,0.99
Paulo Gomes,male,1.0
Edith Hemaspaandra,female,0.99
Athanasios Aris Panagopoulos,male,1.0
Evgueni N. Smirnov,male,1.0
Christophe Lecoutre,male,1.0
Gianluigi Greco,male,1.0
Eddy C. Borera,male,0.96
Babak Bagheri Hariri,male,0.99
Charles Lesire,male,1.0
Michele Mioli,female,0.54
Francisco Javier Orellana,male,1.0
Óscar Sapena,male,0.99
Roland H. C. Yap,male,1.0
Prasenjit Mitra,male,0.97
Tanvi S. Motwani,female,0.99
Pascal Van Hentenryck,male,0.99
Ivan Serina,male,0.99
David Sarne,male,1.0
Alessandro Antonucci,male,1.0
Gianluca Torta,male,1.0
Katharina Mülling,female,0.99
Mohamadou Seck,male,0.98
Oana Mihaela Garbasevschi,female,0.97
Björn Zenker,male,1.0
Tristan Cazenave,male,0.98
Christophe Labreuche,male,1.0
Valeria Fionda,female,0.99
Domenico Fabio Savo,male,1.0
Sébastien Ramon,male,1.0
Bob Huisman,male,0.99
Christoph Benzmüller,male,1.0
Elizabeth Black,female,1.0
Rossana Simeoni,female,1.0
Vincenzo Cuciti,male,1.0
Peter Jonsson,male,1.0
Katia P. Sycara,female,0.99
Richard John,male,1.0
Kenneth R. Koedinger,male,1.0
Martin Müller,male,1.0
Louis Wehenkel,male,0.99
Martin Scholz,male,0.99
Geraint A. Wiggins,male,1.0
Gabriella Cortellessa,female,1.0
Azadeh Shakery,female,0.99
Jeremy Pitt,male,1.0
Christian Bessiere,male,0.99
Paolo Frasconi,male,1.0
Gerhard Lakemeyer,male,1.0
Florian Weisshardt,male,1.0
Stéphane Magnenat,male,0.99
Denis Cornaz,male,0.94
Alessandro Saetti,male,1.0
Jean-Marc Petit,male,1.0
Grigoris Antoniou,male,0.99
Giuseppe De Giacomo,male,0.99
Jérôme Lang,male,1.0
J. Christopher Beck,male,1.0
Pablo Almajano,male,1.0
Thomas Raths,male,1.0
Farah Benamara,female,0.95
Souhila Kaci,female,0.97
Florent Teichteil-Königsbuch,male,0.99
Maier Fenster,male,1.0
Thomas Lukasiewicz,male,1.0
Silvia Likavec,female,1.0
Nadeschda Nikitina,female,0.99
Caroline Ponzoni Carvalho Chanel,female,1.0
Abraham Schreiber,male,0.99
Roberto Micalizio,male,1.0
Matteo Demichelis,male,1.0
Václav Snásel,male,1.0
Mathieu Roche,male,0.99
Premysl Volf,male,1.0
Martin Wehrle,male,0.99
Francesca Carmagnola,female,1.0
Marina Geymonat,female,0.99
Elisa Chiabrando,female,0.99
Roman Barták,male,0.99
Guohui Xiao,male,0.92
Fabiana Vernero,female,1.0
Wolfgang Mayer,male,1.0
Piotr Faliszewski,male,1.0
Pierre Geurts,male,0.99
Felix Müller,male,0.99
Giulia Biamino,female,0.99
David Sanderson,male,1.0
Jure Polutnik,male,0.97
