author_name
Scott A. Wallace
Frank Wolter
Enver Sangineto
Leendert W. N. van der Torre
Masataka Goto
Ilkka Niemelä
Michelangelo Diligenti
Wulfram Gerstner
Ryan McKay
Henri Prade
Philippe Jégou
Donald Perlis
Monique Thonnat
Laurence A. Kramer
Andrew Lim
Paul Beame
Sergio Mascetti
Mark Craven
Igor L. Markov
Geoff Nitschke
Soumya Ray
Nazif Cihan Tas
Robert P. Goldman
Paul H. Morris
Debra Schreckenghost
Grzegorz Cielniak
Martin J. Kollingbaum
Eva Onaindia
Christian Fritz
Peter Briggs
Haym Hirsh
Vincenzo Pupillo
Shinichi Honiden
Craig Boutilier
Max M. Louwerse
Li-Yan Yuan
Rex Bing Hung Kwok
Vladimir Lifschitz
Hana Chockler
Marco Maggini
Darse Billings
Robert Kelly
Fangzhen Lin
Karen Fullam
Tetsuo Ono
Boi Faltings
Lijuan Qin
Chavalit Likitvivatanavong
Tommaso Di Noia
Francis C. Chu
Dennis Reidsma
Arathi Ramani
Bruce W. Porter
Rachel Ben-Eliyahu-Zohary
Thomas Bolander
Stefano Bertolo
Arthur C. Graesser
Cyrill Stachniss
Piero A. Bonatti
Barbara Engelhardt
Markus Enzenberger
Dirk Hähnel
Ted Pedersen
Daphne Koller
Justin Pearson
Evelyn Balfe
Xingquan Zhu
Michael Buro
Austin I. Eliazar
Daniela Rus
Maren Bennewitz
Arnaud Lallouet
Rajeev Motwani
Toby Walsh
Anthony Meehan
Bruno Scherrer
Eugenio Di Sciascio
John J. Leonard
Yongmei Liu
Haixun Wang
Lorenza Saitta
Christopher W. Geib
Michail G. Lagoudakis
Neil Burch
Georg Gottlob
Mingyi Zhang
Michael Montemerlo
Tessa A. Lau
Yngvi Björnsson
Makoto Yokoo
Carlo Strapparava
Tina Dell'Armi
Mark Johnson
Ananda Rangan
Paolo Torroni
Artur M. Arsénio
Yuanlin Zhang
Harry Chen
Bernard Manderick
Armin Heinzl
Hubie Chen
Heiner Stuckenschmidt
Amit Mandvikar
Mark d'Inverno
Tamara Babaian
Daniel S. Weld
Serge Ruff
Alessandro Cimatti
Pierre Grenon
Anaïs Fabre
Alfonso Gerevini
Tianhan Wang
Joohyung Lee
Fei Ling Woon
Yolanda Gil
Patrice Boizumault
Timothy Weale
Stuart M. Shieber
Thierry Declerck
Jill Freyne
Michel Galley
Hideaki Takeda
Tarek Abu-Amer
Alfredo Gabaldon
Youyong Zou
Cheryl Martin
Patricia G. Foschi
Chris H. Q. Ding
Itsuki Noda
Didier Dubois
Christopher Bailey-Kellogg
Andrei Voronkov
Nicholas R. Jennings
Yannis Vergados
Yiming Ye
Thomas T. Tran
Carroll Thronesbery
Alessandro Micarelli
Robert J. Ross
Massih-Reza Amini
Yang Wang
Bill MacCartney
Lihong Li
Henry Tirri
Loreto Bravo
Ivan Bratko
Min Chen
Jonathan Schaeffer
Fei Xiao
Mark Goldenberg
Peter Yap
Iván Dotú
Jimmy Jiang Liu
Pucktada Treeratpituk
Barry Smyth
Rune Møller Jensen
Brennan Sellner
Robert Holte
Bing Liu
Andreas Herzig
Ronen I. Brafman
Zack Thomsen-Gray
Yannis Dimopoulos
Rachael Rafter
Sue L. McHale
Guy De Pauw
Daniel S. Bernstein
Phanni Penumatsa
Jeffrey O. Kephart
Jan M. Broersen
Hiroshi Ishiguro
Bjørn Aldag
Victor Dias
Stefano Ferilli
Lorraine McGinty
Sylvie Galichet
Gianluca Moro
Assef Chmeiss
Nicholas Kushmerick
Alexander Kovarsky
Peter Struss
Fabio Aiolli
Zhiqiang Cai
Jérôme Euzenat
Pierre Flener
Tomás E. Uribe
Michael H. Bowling
Roberto Cavada
Andrei A. Krokhin
Anthony Hunter
Ulrike Sattler
Mark Brodie
J. Jeong
Ion Muslea
Kevin Leyton-Brown
Li Ding
Kathy Panton
Bob Price
Milind Tambe
Samir Loudni
Giuliano Armano
Yan Zhang
John Tromp
R. Paul Wiegand
Zeynep Kiziltan
Randall Davis
David Page
Dit-Yan Yeung
Tele Tan
James F. Allen
Daniel Vladusic
Nate Blaylock
William E. Walsh
Yoav Shoham
Tuomas Sandholm
Thi-Bich-Hanh Dao
Roberto Esposito
Rong Zhou
Peter Grünwald
Kristen Brent Venable
Russell Bent
Xindong Wu
Stuart Russell
Domenico Lembo
Aaron Davidson
Sarah Zelikovitz
Lina Khatib
Wee Kheng Leow
Lamia Keddar
Hu Liu
Christophe Jermann
Jayant Madhavan
Alexander Ferrein
Francesca Rossi
Aris Anagnostopoulos
Timothy J. Norman
Bertrand Neveu
James Fan
Joonoo Kim
Michael Luck
Yuhai Tu
Martin C. Cooper
Nicolas Maudet
Derry O'Sullivan
Hannes Werthner
Andrea Calì
Thuc Duong Nguyen
Francesca Toni
Karl Schultz
Nobuyuki Otsu
Sorin Moga
Neil Yorke-Smith
Masoumeh T. Izadi
Carla P. Gomes
Riccardo Rosati
Marco Anelli
Irina Rish
Ben Blum
Bernhard Nebel
V. S. Subrahmanian
Rajarshi Das
Max Horstmann
Daniel Faith
Terry Zimmerman
Catherine Tessier
Marco Gori
AbdelAli Ed-Dbali
Carlos Eisenberg
Brahim Hnich
Mark T. Maybury
Angelo C. Restificar
Nathan Sprague
Giancarlo Cherchi
Nathan R. Sturtevant
Claudio Bettini
Pietro Torasso
David Allen
Jinbo Huang
Jorge Santos
Gerald Pfeifer
Régis Sabbadin
Gal A. Kaminka
Sheila Tejada
Ben Wegbreit
Pedro M. Domingos
Henry A. Kautz
Richard E. Korf
Chiu Wo Choi
Timothy W. Finin
Eloisa Vargiu
Jason P. Garforth
Gregory M. Provan
Marcelo M. Vanzin
Kenil C. K. Cheng
Blai Bonet
Atsuhiro Takasu
Sébastien Konieczny
Brady Clark
Kin Chuen Hui
Natalia Odintsova
Hideki Asoh
Brad Lisien
Vincent Conitzer
Craig Silverstein
James Bowen
Maxim Peysakhov
Ilya Levner
Xiaoli Li
Ian Horrocks
Hendrik Blockeel
Maureen Donnelly
Alejandro López-Ortiz
Sarit Kraus
Patrick Gallinari
