author_name,Gender,Gender Probability
Kagan Tumer,male,0.95
Alessandro Sperduti,male,1.0
Russell Greiner,male,1.0
John Yen,male,1.0
Pierre Marquis,male,0.99
Carmel Domshlak,female,0.86
Sarit Kraus,female,0.98
Franz Baader,male,0.99
Nicola Leone,male,1.0
Delbert D. Bailey,male,1.0
Jacob Goldberger,male,1.0
Alexander Maedche,male,1.0
Yuko Sakurai,female,0.98
Maurizio Lenzerini,male,1.0
John K. Slaney,male,1.0
Phokion G. Kolaitis,unknown,0.0
Manuela M. Veloso,female,0.99
Xizhao Wang,male,0.67
Alberto Finzi,male,1.0
Alexandre Riazanov,male,0.99
Brian C. Williams,male,1.0
Francesc Esteva,male,0.98
Yorick Wilks,male,1.0
Hans Tompits,male,0.99
Michael I. Jordan,male,1.0
David C. Parkes,male,1.0
Dan Roth,male,0.99
Philippe Mulhem,male,1.0
Charles Elkan,male,1.0
Isabella Poggi,female,0.99
Eyal Amir,male,1.0
Marco Roveri,male,1.0
Hiroaki Kitano,male,1.0
Daniele Theseider Dupré,male,0.92
Michael P. Wellman,male,1.0
Daniel Le Berre,male,0.99
Wolfgang Faber,male,1.0
Raymond Reiter,male,1.0
Frédérick Garçia,male,0.99
Louise Travé-Massuyès,female,0.99
Satoshi Oyama,male,1.0
Enrico Giunchiglia,male,1.0
Alvaro del Val,male,1.0
Corin R. Anderson,female,0.73
Alan M. Frisch,male,1.0
Adnan Darwiche,male,0.99
Brian Milch,male,1.0
Yannic S. Tognetti,male,0.94
Joost N. Kok,male,0.99
Xiaoqin Zeng,female,0.95
Emmanuel Guere,male,0.99
Sheila A. McIlraith,female,1.0
Dale Schuurmans,male,0.93
Avi Pfeffer,male,0.92
Moshe Tennenholtz,male,0.99
Eduardo F. Morales,male,1.0
Joseph Sill,male,0.99
Linda C. van der Gaag,female,0.99
Witold Lukaszewicz,male,1.0
Simon Tong,male,1.0
Marc Downie,male,1.0
Teresa Escobet,female,1.0
Wilhelm Rödder,male,0.99
Tim D. Barfoot,male,1.0
Subbarao Kambhampati,male,0.97
Jia-Huai You,unknown,0.0
Richard Washington,male,1.0
Wolfgang Wahlster,male,1.0
Yuan Jiang,male,0.53
Arunava Banerjee,male,0.99
Marco Pistore,male,1.0
Cyril Terrioux,male,0.99
Giuseppe Carenini,male,0.99
Shigeo Matsubara,male,1.0
Carsten Lutz,male,1.0
Henrik Grosskreutz,male,1.0
Joseph Y. Halpern,male,0.99
Abdel-Illah Mouaddib,male,1.0
Joanna Bryson,female,0.99
Thierry Poibeau,male,0.99
Christopher G. Healey,male,1.0
Daniel S. Yeung,male,0.99
Jacek Jarmulak,male,1.0
Chitta Baral,male,0.88
Mark Abramson,male,1.0
Costas Tsatsoulis,male,0.99
Ramana Isukapalli,male,0.9
Raymond J. Mooney,male,1.0
Naren Ramakrishnan,male,0.97
Bikramjit Banerjee,male,0.98
Ronald Parr,male,1.0
Bart Selman,male,1.0
Yasuhiko Kitamura,male,1.0
Héctor Muñoz-Avila,male,0.99
Olivier Buffet,male,0.99
Tad Hogg,male,0.99
Leen-Kiat Soh,male,0.59
Robert A. Morris,male,1.0
Lynn Andrea Stein,female,0.69
Anna Goy,female,0.99
David McSherry,male,1.0
Hiroshi Mizoguchi,male,1.0
Benjamin W. Wah,male,1.0
Benjamin Kuipers,male,1.0
Silvia Coradeschi,female,1.0
Roland H. C. Yap,male,1.0
Andrew G. Barto,male,1.0
Pascal Van Hentenryck,male,0.99
Andrew Y. Ng,male,1.0
Derek Long,male,1.0
Jörg Hoffmann,male,1.0
Robert C. Holte,male,1.0
Norman Y. Foo,male,0.99
Cristina Conati,female,0.99
Lisa Meeden,female,1.0
Jing Peng,female,0.6
Tristan Cazenave,male,0.98
