author_name,Gender,Gender Probability
Ziliang Lin,male,0.96
Qian Chen,male,1.0
Jin Yuan,male,0.86
Jiuyong Li,female,0.5
Mohan Sridharan,male,0.99
Matteo Tiezzi,male,1.0
Adrian Ulges,male,0.99
Pencheng Liao,male,1.0
Franz Baader,male,0.99
Borja G. León,male,0.99
Albert Bifet,male,0.99
Philippe Besnard,male,1.0
Fano Ramparany,male,0.8
Jianbin Tang,male,0.96
Kevin Tierney,male,1.0
Willem Conradie,male,0.99
Yijun Duan,female,0.54
Qing Lu,female,0.89
Andrius Vaicenavicius,male,0.99
Zhiyong Li,male,0.97
Mehdi Dastani,male,0.98
Junhao Cheng,male,1.0
Mehul Bhatt,male,1.0
Mahdieh Abbasi,female,0.98
Georgios Paliouras,male,1.0
Tianxin Wang,female,0.6
Ian Miguel,male,1.0
Nuria Oliver,female,0.99
Yara Khaluf,female,0.97
Hiroki Fujiwara,male,1.0
Xin Du,female,0.64
Ka Chun Cheung,male,0.57
Wolfgang Dvorák,male,1.0
Congqing He,male,1.0
Minh Do,male,0.74
Javier Parapar,male,1.0
Alexander Felfernig,male,1.0
Juan Miguel Ortiz-de-Lazcano-Lobato,male,0.99
Theresa Eimer,female,1.0
Aris Gkoulalas-Divanis,male,0.83
Ziad Kobti,male,0.96
Patrick Philipp,male,1.0
Jorge García-González,male,1.0
Yishun Dou,male,0.76
Vamsi K. Potluru,male,1.0
Gilberto Pérez,male,1.0
Robert E. Tillman,male,1.0
Hans van Ditmarsch,male,0.99
Jean-Alexis Delamer,male,0.98
Severin Kacianka,unknown,0.0
Pierre Rust,male,0.99
Nawal Benabbou,female,0.95
Angelo Oddi,male,0.99
Ioan Calapodescu,male,0.98
Yuejie Zhang,female,0.63
Anders Ynnerman,male,1.0
Jie Gao,male,0.52
Changlong Sun,male,1.0
Antoine Honoré,male,0.99
Yves Lespérance,male,0.98
Amar Das,male,0.91
Bistra Dilkina,female,0.97
Jacopo Urbani,male,1.0
Raine Rönnholm,female,0.64
Mononito Goswami,unknown,0.0
Aneta Bera,female,0.99
Francesco Quinzan,male,1.0
Pengtao Xie,male,1.0
André Hottung,male,0.99
Manuel Ojeda-Aciego,male,0.99
Benjamin Schnieders,male,1.0
Samuel Kaski,male,0.99
Christophe Lecoutre,male,1.0
Yimin Wang,male,0.6
Olivier Buffet,male,0.99
Gianluigi Greco,male,1.0
Tongtong Wu,female,0.63
Hendrik ter Horst,male,1.0
Zied Bouraoui,male,0.98
Mengxue Zhang,female,0.92
Akihiro Yamamoto,male,1.0
Håkon Måløy,male,1.0
Daniel Neugebauer,male,0.99
Chao Gou,male,0.83
Yongjun Xu,male,0.96
Domenico Longo,male,1.0
Nimrod Talmon,male,0.99
Shaohui Kuang,male,0.75
Long Zhang,male,0.96
M. N. Murty,male,0.59
Emmanouil Z. Psarakis,male,0.99
Yuexin Wu,female,0.77
Jun Liao,male,0.85
Xiaoye Qu,female,0.67
Maurizio Parton,male,1.0
Feng Tian,male,1.0
Zelin Liu,female,0.51
Jens Lehmann,male,1.0
Qiang Yang,male,1.0
Pieter Simoens,male,1.0
Espen Meidell,male,1.0
Anirban Biswas,male,1.0
Cameron Browne,male,0.94
Frédéric Hébert,male,1.0
