author_name
Karim Tabia
Mohamed Nadif
África López-Illescas
Shell-Ying Huang
Richárd Farkas
Tadasu Uchiyama
Meritxell Vinyals
Hector Geffner
Pierre Marquis
Guillaume Infantes
Nuno C. Marques
Madalina Croitoru
Carlos Ansótegui
Franz Baader
Albert Bifet
Takehide Soh
Julien Lesca
Talal Rahwan
Krishna Sandeep Reddy Dubba
Manuela M. Veloso
Corrado Loglisci
Alberto Finzi
Orlando Ohashi
Matthias Westphal
Padraig Cunningham
Sylvie Thiébaux
Alessandro Cucchiarelli
Xavier Aimé
Tero Laitinen
Dominik Jain
Kateryna Tymoshenko
Hans Tompits
Kyriakos C. Chatzidimitriou
David C. Parkes
Kevin Tierney
Tarik Hadzic
Nizar Messai
Mehdi Dastani
Ryszard Kowalczyk
Pedro Meseguer
Junming Huang
Nils Bulling
John Levine
Nathalie Peyrard
Sanjay Modgil
Reinaldo A. C. Bianchi
Lutz Schröder
Norman Salazar
Manuel Baena-García
Ian Miguel
Cèsar Fernández
Enda Keane
Jae Hee Lee
Laura Giordano
Alexis Tsoukiàs
Wassila Ouerdane
Alexander Felfernig
Thomas Génin
Huiliang Zhang
Theofrastos Mantadelis
Marie-Dominique Devignes
Amir Hossein Razavi
Emil Keyder
Adnan Darwiche
Rodney W. Topor
Aladdin Ayesh
Marco Ragni
Ray Reza Amini
Alneu de Andrade Lopes
Araceli Sanchis
Trevor J. M. Bench-Capon
Hans van Ditmarsch
Henry Soldano
Paul E. Dunne
Hongyang Qu
Carles Sierra
Frédéric Fürst
Lawrence Mandow
Bernadette Bouchon-Meunier
Salma Mesmoudi
John Thangarajah
Michelangelo Ceci
Angelo Oddi
Rafael H. Bordini
Maria Silvia Pini
Linda C. van der Gaag
Anne-Gwenn Bosser
Jiafeng Guo
Juan A. Rodríguez-Aguilar
Patricia Gutierrez
P. P. Chakrabarti
Luís Correia
Guillermo Ricardo Simari
Guido Boella
Xueqi Cheng
Nazim Fatès
Xiaoqian Jiang
U. Farrokh Niaz
Allan Snyder
Isabelle Alvarez
Carsten Lutz
Eric Beaudry
Abdel-Illah Mouaddib
Anees ul Mehdi
Sergio Saugar
Debasish Das
Simon Pauw
Helder Coelho
João Marques-Silva
Michael J. Wooldridge
Carlos Viegas Damásio
Marc Cavazza
Daan Fierens
Thomas Voice
Paulo Gomes
Dorota Marciniak
Evgueni N. Smirnov
Gauvain Bourgne
Nicolas Schwind
Knot Pipatsrisawat
Alexandros G. Valarakos
Annalisa Appice
Julien Bourdon
Kun Yang
Hans L. Bodlaender
Charles Lesire
Ester Boldrini
Sophie Martin
Óscar Sapena
Muralikrishna Sridhar
João Pavão Martins
Pavel Brazdil
Tony Dujardin
Jordan Berg
Nicola Olivetti
Peter A. Flach
Anika Schumann
Le Xie
Derek Long
Vikas Shivashankar
Robert C. Holte
Jörg Hoffmann
Robert Lothian
Latanya Sweeney
John-Jules Ch. Meyer
Plamen Angelov
Tristan Cazenave
Hélène Fargier
Christophe Labreuche
Claudio Giuliano
Hui Shi
Deepak Mehta
Juan Pedro Valente
Slobodan Vucetic
Mark Bartlett
Derek Greene
Katia P. Sycara
Nicola Fanizzi
Arno Scharl
Hélène Paugam-Moisy
Martin Müller
Jonas Kvarnström
Berndt Farwer
Martin Hacker
Ruben Stranders
Stefan Gindl
Nam Nguyen
Juan Alfonso Lara
Yujia Cao
Alberto García-Sola
Hongkai Liu
