author_name
Karim Tabia
Chuan Luo
Claudia Eckert
Hector Geffner
James Pita
Olivier Ferret
Franco Fassio
Nicolai Manie
Auroop R. Ganguly
Julien Lesca
Nir Lipovetzky
Rocco De Rosa
Talal Rahwan
Maurizio Lenzerini
Serena Villata
Philippe Besnard
Ji Ruan
Corrado Loglisci
Olivier Pietquin
Orlando Ohashi
Martin Cully
Anaïs Cadilhac
François Pachet
Malumbo Chipofya
Stefanie Neubert
Conrad Drescher
Kateryna Tymoshenko
Mario Mirabelli
Bruno Antunes
Erik Dovgan
Michael Thielscher
Lane A. Hemaspaandra
Xiaoping Chen
Riccardo De Masellis
Nan Li
Pedro Meseguer
Lukás Chrpa
Rajiv T. Maheswaran
Mehul Bhatt
Daniele Theseider Dupré
Bozidara Cvetkovic
Nathalie Peyrard
Georgios Paliouras
Reinaldo A. C. Bianchi
Georgios Chalkiadakis
Sanjiang Li
Andreas Hertle
Dusan Pavlícek
Cristina Cristalli
Matjaz Gams
Reyhaneh Reyhani
Enrico Giunchiglia
Branislav Bosanský
Wassila Ouerdane
Thanh-Tung Dang
Jens Kober
Adnan Darwiche
Xiuyi Fan
Igor Rochlin
Roie Zivan
Harald Frostel
Antonio Penta
Marco Ragni
Siqi Chen
Miguel Couceiro
Baojun Qiu
Robert Craven
Ramachandra Kota
Enrico Malizia
Giuseppe Pirrò
Alessandro Artale
Lawrence Mandow
Huang Xiao
Yang Gao
Michelangelo Ceci
Gianluca Quercini
Amon Rapp
Ilias Tachmazidis
Dengji Zhao
Christer Bäckström
Patricia Gutierrez
Guido Boella
Antonella Guzzo
Thomas Geier
Bostjan Kaluza
Víctor Gutiérrez-Basulto
Luigi Pontieri
Yves Lespérance
Carsten Lutz
Con Sheahan
Vinodkumar Prabhakaran
Michael Cashmore
Henning Schnoor
Costas Boletsis
Gerhard Widmer
Peter Kissmann
Debasish Das
Ringo Baumann
Raymond J. Mooney
Alan M. MacEachren
Lakhdar Sais
Michael J. Wooldridge
Alessandro Marcengo
Pierluigi Grillo
Luigi Palopoli
Joel Cordeiro
Paulo Gomes
Edith Hemaspaandra
Athanasios Aris Panagopoulos
Evgueni N. Smirnov
Christophe Lecoutre
Gianluigi Greco
Eddy C. Borera
Babak Bagheri Hariri
Charles Lesire
Michele Mioli
Francisco Javier Orellana
Óscar Sapena
Roland H. C. Yap
Prasenjit Mitra
Tanvi S. Motwani
Pascal Van Hentenryck
Ivan Serina
David Sarne
Alessandro Antonucci
Gianluca Torta
Katharina Mülling
Mohamadou Seck
Oana Mihaela Garbasevschi
Björn Zenker
Tristan Cazenave
Christophe Labreuche
Valeria Fionda
Domenico Fabio Savo
Sébastien Ramon
Bob Huisman
Christoph Benzmüller
Elizabeth Black
Rossana Simeoni
Vincenzo Cuciti
Peter Jonsson
Katia P. Sycara
Richard John
Kenneth R. Koedinger
Martin Müller
Louis Wehenkel
Martin Scholz
Geraint A. Wiggins
Gabriella Cortellessa
Azadeh Shakery
Jeremy Pitt
Christian Bessiere
Paolo Frasconi
Gerhard Lakemeyer
Florian Weisshardt
Stéphane Magnenat
Denis Cornaz
Alessandro Saetti
Jean-Marc Petit
Grigoris Antoniou
Giuseppe De Giacomo
Jérôme Lang
J. Christopher Beck
Pablo Almajano
Thomas Raths
Farah Benamara
Souhila Kaci
Florent Teichteil-Königsbuch
Maier Fenster
Thomas Lukasiewicz
Silvia Likavec
Nadeschda Nikitina
Caroline Ponzoni Carvalho Chanel
Abraham Schreiber
Roberto Micalizio
Matteo Demichelis
Václav Snásel
Mathieu Roche
Premysl Volf
Martin Wehrle
Francesca Carmagnola
Marina Geymonat
Elisa Chiabrando
Roman Barták
Guohui Xiao
Fabiana Vernero
Wolfgang Mayer
Piotr Faliszewski
Pierre Geurts
Felix Müller
Giulia Biamino
David Sanderson
Jure Polutnik
Rolf Grütter
Michel Wilson
Michal Pechoucek
Wolfram Burgard
Martin Lackner
Malte Helmert
Sebastian Böck
Amanda Jane Coles
Sylvain Bouveret
Peter J. F. Lucas
Angelo Montanari
Francesco Scarcello
Andreas Sideris
Panagiotis Pandis
Fabrizio Franceschi
Inmaculada Rodríguez
David Kinny
Theodoros Varvadoukas
Simon Colton
Fredrik Heintz
Éric Grégoire
Quoc Bao Vo
Hosein Azarbonyad
Razvan C. Bunescu
Bernardo Cuenca Grau
Heribert Vollmer
Christian Späth
Paolo Felli
Larry D. Pyeatt
Charles Lumet
Thomas Leo McCluskey
Javier Coego
Lakhdar Saïs
Jens Pottebaum
Samuel Hiard
Swapna Somasundaran
Frederick Maier
Amedeo Cesta
Nicholas Asher
Giorgos Flouris
Wiebe van der Hoek
Gerardo I. Simari
Solomon Eyal Shimony
Christopher Kiekintveld
Nic Wilson
Abdul Sattar
Paul Weng
Franz Wotawa
Duy Nguyen-Tuong
Nicolas Beldiceanu
Markus Stumptner
Michel Lemaître
Pascal Hitzler
Liz Bacon
Leendert W. N. van der Torre
Oliver Krömer
Raghava Mutharaju
Davide Bresolin
Henri Prade
Thomas Ågotnes
Hootan Nakhost
Chang Liu
Amnon Meisels
Ingo Pill
Valentin Robu
Gianvito Pio
Álvaro Torralba
Hugo Gonçalo Oliveira
Claudia Picardi
Srdjan Vesic
Daniele Porello
David Sislák
Vladimir Popescu
Pierre Roy
Sebastian Stein
Carl Schultz
Eva Onaindia
Alexey Gribovskiy
Emmanuel Coquery
Jan Platos
Alex Rogers
Luc De Raedt
Patrice Perny
Martin Rehák
Eyke Hüllermeier
Roberto Furnari
Chavalit Likitvivatanavong
Jean Christoph Jung
Fabien Gandon
Lhouari Nourine
Inon Zuckerman
Dana S. Nau
Monica Perrero
Laurent Gourvès
Riccardo De Benedictis
Yujiao Zhou
Andreas Pfandler
Long Tran-Thanh
Salvatore Ruggieri
Mirko Degli Esposti
Remi van Trijp
Roman Kontchakov
Ralf Möller
Ioannis A. Vetsikas
Toby Walsh
Reinhard Sonnleitner
Anna Helena Reali Costa
Colin R. Williams
Lena Schend
Vladislav Ryzhikov
Luca Coraci
Gabriele Barbieri
Guido Sciavicco
Alon Grubshtein
António Gusmão
Moshe Laifenfeld
Guenther Goerz
Fabio Tango
Gert de Cooman
Federica Cena
Richard Anthony Valenzano
Yngvi Björnsson
Yusra Alkhazraji
Ernesto Jiménez-Ruiz
Olivier Lhomme
Donato Malerba
Dario Della Monica
Ognjen Savkovic
Violeta Mirchevska
Simon Fischer
Célia da Costa Pereira
Patrick Eyerich
Jasper De Bock
Nigel Shadbolt
Thach-Thao Duong
Hristijan Gjoreski
Gerhard Friedrich
Piercarlo Grimaldi
Luca Console
Lars Otten
Vladimír Rovenský
Alexander Artikis
Ruben Martins
Alfonso Gerevini
Feng Wu
William W. Cohen
Gilles Richard
Domenica D'Elia
Evan Kodra
Saïd Jabbour
Jean-Baptiste Gotteland
Nabeel Gillani
Mathieu Bonneau
Gabriele Kern-Isberner
Yakoub Salhi
Alexandru Surpatean
Nathan Griffiths
Katia Lida Kermanidis
Kristian Kersting
Isabel María del Águila
Olivier Spanjaard
Pavel Krömer
Jan Stiborek
Sara Grilli
Didier Dubois
Inês Lynce
Nicholas R. Jennings
Heshaam Faili
David Tolpin
Birgit Graf
Marc Schoenauer
Abdallah Saffidine
Anja Rey
Abraham Bernstein
Jussi Rintanen
Dongmo Zhang
Stefan Edelkamp
Jörg-Uwe Kietz
Mark H. M. Winands
Raz Nissim
Arthur Van Camp
Robert Mattmüller
Marco Montali
Alice Toniolo
Jonathan Schaeffer
Thomas Quaritsch
Alejandro Torreño
Luís Torgo
Sen Xu
Eftichios Koutroulis
Minyi Li
Ronen I. Brafman
Tony T. Tran
Ladislav Novak
Nicolas Durand
Luca Costabello
Yannis Dimopoulos
Lydia Tlilane
Shaowei Cai
Fabrizio Antonelli
Han Xiao
Jörg Rothe
Dario Mana
Vera Mersheeva
Matthias Knorr
José del Sagrado
Anders Jonsson
Daniel Beck
Giorgio Corani
Giacomo Angione
Maria Fox
Ilaria Lombardi
Anthony Hunter
William Fernando Correa
Stasinos Konstantopoulos
Georg Arbeiter
Pietro Sala
Mats Carlsson
Grégory Bonnet
Milind Tambe
Luca Lattanzi
Christian Dornhege
Krzysztof Dembczynski
Thomas Keller
Cees Witteveen
Jeroen Keppens
Tapani Raiko
Enrico H. Gerding
Vasco Manquinho
Jens Otten
Pavel Surynek
Zoran Obradovic
Andreas Arzt
Carleton Coffrin
Tim vor der Brück
Thierry Petit
Lirong Xia
Keith Strickland
Greg Hines
Youssef Hamadi
Dimitra Chasanidou
Nina Narodytska
Bruno Zanuttini
Birgit Hofer
Lars Kotthoff
Tamás Waldhauser
Gerhard Weiss
Radek Píbil
Magnus Roos
Robin Marterer
Salem Benferhat
Rina Dechter
Xiao Zhang
Milan Jaska
Francesco Mondada
Vinay D. Shet
Udi Apsel
Guilin Qi
Brett L. Moore
Lee McCluskey
Timothy J. Norman
Floarea Serban
Mehmet Gönen
Jean-Marc Alliot
Alexander Klippel
Mark C. Wilson
Susanne Biundo
Dorothea Baumeister
Álvaro Fialho
Michael Luck
Patrick Doherty
Tom M. Mitchell
Nicolas Maudet
Özgür L. Özçep
Francesca Toni
Lucie Galand
Viliam Lisý
Hendrik Baier
Maite López-Sánchez
Cristina Gena
Weiming Liu
Matthias Thimm
Maria Vanina Martinez
Bernhard Nebel
Yue Ma
David Gianazza
Fabio Torta
Liviu Badea
Zhangquan Zhou
Karel Bartos
Jesús Cerquides
Markus Aschinger
Spyros Kotoulas
Nathan R. Sturtevant
Ioannis Giotis
Andrea Tettamanzi
Jinbo Huang
Steven Schockaert
Carlos H. C. Ribeiro
Régis Sabbadin
José-Luis Pérez-de-la-Cruz
Austin Parker
Willem Waegeman
Elena Cabrio
Jan Peters
Duc Nghia Pham
